walt disney studios may have finally met its match with the lush animation in twentieth century fox's anastasia . 	Translation	Positive	Negative	EmotionRationale
but judging by the latest efforts from the don bluth studios , the visuals are the only thing fox has to brag about . 	but judging by the latest efforts from the don bluth studios , the visuals are the only thing fox has to brag about .	1	-2	 but[0] judging[0] by[0] the[0] latest[0] efforts[0] from[0] the[0] don[0] bluth[0] studios[0] the[0] visuals[0] are[0] the[0] only[0] thing[0] fox[0] has[0] to[0] brag[-1] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
disney's recent classics have occasionally stretched credibility in such films as pocahontas , the hunchback of notre dame , and to a lesser extent , hercules . 	disney's recent classics have occasionally stretched credibility in such films as pocahontas , the hunchback of notre dame , and to a lesser extent , hercules .	1	-1	 disney's[0] recent[0] classics[0] have[0] occasionally[0] stretched[0] credibility[0] in[0] such[0] films[0] as[0] pocahontas[0] the[0] hunchback[0] of[0] notre[0] dame[0] and[0] to[0] a[0] lesser[0] extent[0] hercules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with anastasia , fox has gone so far as to throw all facts completely out the window . 	with anastasia , fox has gone so far as to throw all facts completely out the window .	1	-1	 with[0] anastasia[0] fox[0] has[0] gone[0] so[0] far[0] as[0] to[0] throw[0] all[0] facts[0] completely[0] out[0] the[0] window[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some may say - so what ? 	some may say - so what ?	1	-1	 some[0] may[0] say[0] so[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just a kid's movie . 	it's just a kid's movie .	1	-1	 it's[0] just[0] a[0] kid's[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well . . . 	well .<br> .<br> .	1	-1	 well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you have young kids , beware , as they may be noticeably frightened by the visuals of a corpse-rotting rasputin zombie , whose body parts continually fall off in a disconcertingly real way . 	if you have young kids , beware , as they may be noticeably frightened by the visuals of a corpse-rotting rasputin zombie , whose body parts continually fall off in a disconcertingly real way .	1	-4	 if[0] you[0] have[0] young[0] kids[0] beware[-1] as[0] they[0] may[0] be[0] noticeably[0] frightened[-3] by[0] the[0] visuals[0] of[0] a[0] corpse[0] rotting[0] rasputin[0] zombie[0] whose[0] body[0] parts[0] continually[0] fall[0] off[0] in[0] a[0] disconcertingly[0] real[0] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
consider yourselves warned . 	consider yourselves warned .	1	-1	 consider[0] yourselves[0] warned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nevertheless , the animation is quite stunning at times . 	nevertheless , the animation is quite stunning at times .	1	-1	 nevertheless[0] the[0] animation[0] is[0] quite[0] stunning[0] at[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don bluth has used computer animation extensively throughout , occasionally rivalling photographic quality . 	don bluth has used computer animation extensively throughout , occasionally rivalling photographic quality .	1	-1	 don[0] bluth[0] has[0] used[0] computer[0] animation[0] extensively[0] throughout[0] occasionally[0] rivalling[0] photographic[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and yet in other scenes , the hand-drawn material seems of the saturday-morning tv crowd , which leads me to wonder . . . 	and yet in other scenes , the hand-drawn material seems of the saturday-morning tv crowd , which leads me to wonder .<br> .<br> .	1	-1	 and[0] yet[0] in[0] other[0] scenes[0] the[0] hand[0] drawn[0] material[0] seems[0] of[0] the[0] saturday[0] morning[0] tv[0] crowd[0] which[0] leads[0] me[0] to[0] wonder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was this rushed to market to combat disney ? 	was this rushed to market to combat disney ?	1	-2	 was[0] this[0] rushed[0] to[0] market[0] to[0] combat[-1] disney[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot , as anyone who had read history before knows , concerns the attempt to return anastasia to her royal family after she was lost in the overthrow of the romanovs in 1916 . 	the plot , as anyone who had read history before knows , concerns the attempt to return anastasia to her royal family after she was lost in the overthrow of the romanovs in 1916 .	1	-2	 the[0] plot[0] as[0] anyone[0] who[0] had[0] read[0] history[0] before[0] knows[0] concerns[-1] the[0] attempt[0] to[0] return[0] anastasia[0] to[0] her[0] royal[0] family[0] after[0] she[0] was[0] lost[0] in[0] the[0] overthrow[-1] of[0] the[0] romanovs[0] in[0] 1916[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not that anastasia is much concerned with what really happened . 	not that anastasia is much concerned with what really happened .	1	-2	 not[0] that[0] anastasia[0] is[0] much[0] concerned[-1] with[0] what[0] really[0] happened[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for the plot --- go rent disney's candleshoe . 	as for the plot - go rent disney's candleshoe .	1	-1	 as[0] for[0] the[0] plot[0] go[0] rent[0] disney's[0] candleshoe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll see 60% of anastasia there . 	you'll see 60% of anastasia there .	1	-1	 you'll[0] see[0] 60%[0] of[0] anastasia[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
