a movie laced with a good blend of action , comedy , and a heavy dose of musical celebrity guest appearances sounds pretty gourmet , but even the best ingredients can be thrown together in the wrong way , creating a dismal and unsatisfactory product . 	Translation	Positive	Negative	EmotionRationale
eighteen years after the blues brothers hit theaters , blues brothers 2000 is being unleashed , minus half of its original duo ( the late john belushi ) and nearly all of its original charm . 	eighteen years after the blues brothers hit theaters , blues brothers 200 is being unleashed , minus half of its original duo ( the late john belushi ) and nearly all of its original charm .	2	-1	 eighteen[0] years[0] after[0] the[0] blues[0] brothers[0] hit[0] theaters[0] blues[0] brothers[0] 2000/200[0] is[0] being[0] unleashed[0] minus[0] half[0] of[0] its[0] original[0] duo[0] the[0] late[0] john[0] belushi[0] and[0] nearly[0] all[0] of[0] its[0] original[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dan aykroyd reprises his role ( as well as his co-writing credit ) as elwood blues , the sharp dressed con man who wreaked havoc on a self-proclaimed " mission from god " along with his brother jake and their blues brothers band nearly eighteen years ago . 	dan aykroyd reprises his role ( as well as his co-writing credit ) as elwood blues , the sharp dressed con man who wreaked havoc on a self-proclaimed " mission from god " along with his brother jake and their blues brothers band nearly eighteen years ago .	1	-2	 dan[0] aykroyd[0] reprises[0] his[0] role[0] as[0] well[0] as[0] his[0] co[0] writing[0] credit[0] as[0] elwood[0] blues[0] the[0] sharp[0] dressed[0] con[0] man[0] who[0] wreaked[0] havoc[-1] on[0] a[0] self[0] proclaimed[0] mission[0] from[0] god[0] along[0] with[0] his[0] brother[0] jake[0] and[0] their[0] blues[0] brothers[0] band[0] nearly[0] eighteen[0] years[0] ago[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as we begin , elwood is being released from a state penitentiary along with the news of his brother's death in prison years ago . 	as we begin , elwood is being released from a state penitentiary along with the news of his brother's death in prison years ago .	1	-3	 as[0] we[0] begin[0] elwood[0] is[0] being[0] released[0] from[0] a[0] state[0] penitentiary[0] along[0] with[0] the[0] news[0] of[0] his[0] brother's[0] death[-2] in[0] prison[-1] years[0] ago[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
completely on his own , elwood decides to trace his roots back to the orphanage where he spent his childhood , only to discover that everyone he has ever known has passed away . 	completely on his own , elwood decides to trace his roots back to the orphanage where he spent his childhood , only to discover that everyone he has ever known has passed away .	1	-1	 completely[0] on[0] his[0] own[0] elwood[0] decides[0] to[0] trace[0] his[0] roots[0] back[0] to[0] the[0] orphanage[0] where[0] he[0] spent[0] his[0] childhood[0] only[0] to[0] discover[0] that[0] everyone[0] he[0] has[0] ever[0] known[0] has[0] passed[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but elwood isn't completely without family . 	but elwood isn't completely without family .	1	-1	 but[0] elwood[0] isn't[0] completely[0] without[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems he has a half-brother of sorts - not a real brother mind you , just the illegitimate child of his bluesman pseudo-father curtis ( cab calloway from the first film ) , who has also passed on . 	it seems he has a half-brother of sorts - not a real brother mind you , just the illegitimate child of his bluesman pseudo-father curtis ( cab calloway from the first film ) , who has also passed on .	1	-1	 it[0] seems[0] he[0] has[0] a[0] half[0] brother[0] of[0] sorts[0] not[0] a[0] real[0] brother[0] mind[0] you[0] just[0] the[0] illegitimate[0] child[0] of[0] his[0] bluesman[0] pseudo[0] father[0] curtis[0] cab[0] calloway[0] from[0] the[0] first[0] film[0] who[0] has[0] also[0] passed[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite inklings from mother superior mary stigmata ( kathleen freeman ) to do otherwise , elwood seeks out his only remaining family in an effort to start up an all new blues brothers band . 	despite inklings from mother superior mary stigmata ( kathleen freeman ) to do otherwise , elwood seeks out his only remaining family in an effort to start up an all new blues brothers band .	3	-1	 despite[0] inklings[0] from[0] mother[0] superior[2] mary[0] stigmata[0] kathleen[0] freeman[0] to[0] do[0] otherwise[0] elwood[0] seeks[0] out[0] his[0] only[0] remaining[0] family[0] in[0] an[0] effort[0] to[0] start[0] up[0] an[0] all[0] new[0] blues[0] brothers[0] band[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
working as a police commander , cabel chamberlain ( joe morton ) , has an immediate disliking for elwood , who nonchalantly fills cab in on his mother's affair years ago and then goes on to steal his wallet . 	working as a police commander , cabel chamberlain ( joe morton ) , has an immediate disliking for elwood , who nonchalantly fills cab in on his mother's affair years ago and then goes on to steal his wallet .	1	-3	 working[0] as[0] a[0] police[0] commander[0] cabel[0] chamberlain[0] joe[0] morton[0] has[0] an[0] immediate[0] disliking[-2] for[0] elwood[0] who[0] nonchalantly[0] fills[0] cab[0] in[0] on[0] his[0] mother's[0] affair[0] years[0] ago[0] and[0] then[0] goes[0] on[0] to[0] steal[-2] his[0] wallet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
following elwood around is the lonely orphan buster ( j . 	following elwood around is the lonely orphan buster ( j .	1	-2	 following[0] elwood[0] around[0] is[0] the[0] lonely[-1] orphan[-1] buster[0] j[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
evan bonifant ) , who quickly learns to become a mini-elwood . 	evan bonifant ) , who quickly learns to become a mini-elwood .	1	-1	 evan[0] bonifant[0] who[0] quickly[0] learns[0] to[0] become[0] a[0] mini[0] elwood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
