 " easely one of the worst films of the year . . " 	Translation	Positive	Negative	EmotionRationale
with the millenium just around the corner , hollywood is playing with our insecurities concerning the biggest event of this century . 	with the millenium just around the corner , hollywood is playing with our insecurities concerning the biggest event of this century .	2	-2	 with[0] the[0] millenium[0] just[0] around[0] the[0] corner[0] hollywood[0] is[0] playing[1] with[0] our[0] insecurities[-1] concerning[-1] the[0] biggest[0] event[0] of[0] this[0] century[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this time it is arnold schwartzenegger against the powers of evil . 	this time it is arnold schwartzenegger against the powers of evil .	1	-3	 this[0] time[0] it[0] is[0] arnold[0] schwartzenegger[0] against[-1] the[0] powers[0] of[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the result is somewhat predictable . 	the result is somewhat predictable .	1	-1	 the[0] result[0] is[0] somewhat[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't have high hopes about arnold's " much anticipated " return to the big screen . 	i didn't have high hopes about arnold's " much anticipated " return to the big screen .	2	-1	 i[0] didn't[0] have[0] high[0] hopes[1] about[0] arnold's[0] much[0] anticipated[0] return[0] to[0] the[0] big[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
schwarzenegger fans will probably be pleased , action lovers won't be bored , and the catholic league will be angry . 	schwarzenegger fans will probably be pleased , action lovers won't be bored , and the catholic league will be angry .	4	-4	 schwarzenegger[0] fans[0] will[0] probably[0] be[0] pleased[1] action[0] lovers[3] won't[0] be[0] bored[-1][NegatedDueToPreviousWord] and[0] the[0] catholic[0] league[0] will[0] be[0] angry[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
everyone else will see 'end of days' for what it is : a deliciously bad motion picture . 	everyone else will see 'end of days' for what it is : a deliciously bad motion picture .	3	-2	 everyone[0] else[0] will[0] see[0] 'end[0] of[0] days'[0] for[0] what[0] it[0] is[0] a[0] deliciously[2] bad[-1] motion[0] picture[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
think of it as hollywood's own y2k bug . 	think of it as hollywood's own y2k bug .	1	-2	 think[0] of[0] it[0] as[0] hollywood's[0] own[0] y2k[0] bug[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
did you know that if you turn the three diabolical numbers 666 you'll get 999 , as in 1999 ? 	did you know that if you turn the three diabolical numbers 66 you'll get 99 , as in 199 ?	1	-2	 did[0] you[0] know[0] that[0] if[0] you[0] turn[0] the[0] three[0] diabolical[-1] numbers[0] 666/66[0] you'll[0] get[0] 999/99[0] as[0] in[0] 1999/199[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , you better believe it . . satan is here on earth , working on his latest project -- the end of days . 	yes , you better believe it .<br> .<br> satan is here on earth , working on his latest project - the end of days .	1	-3	 yes[0] you[0] better[0] believe[0] it[0] [[Sentence=-1,1=word max, 1-5]] satan[-2] is[0] here[0] on[0] earth[0] working[0] on[0] his[0] latest[0] project[0] the[0] end[0] of[0] days[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time it is gabriel burne who gets the privilege to play lucifer and , although not al pacino , he is fun to behold . 	this time it is gabriel burne who gets the privilege to play lucifer and , although not al pacino , he is fun to behold .	2	-2	 this[0] time[0] it[0] is[0] gabriel[0] burne[-1] who[0] gets[0] the[0] privilege[1] to[0] play[0] lucifer[0] and[0] although[0] not[0] al[0] pacino[0] he[0] is[0] fun[1] to[0] behold[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
