even though i have the utmost respect for richard dreyfuss as an actor , his presence in a motion picture does not guarantee any particular level of quality . 	Translation	Positive	Negative	EmotionRationale
like everyone else , dreyfuss has bills to pay , so he occasionally accepts big paychecks for prominent roles in bad movies . 	like everyone else , dreyfuss has bills to pay , so he occasionally accepts big paychecks for prominent roles in bad movies .	2	-2	 like[1] everyone[0] else[0] dreyfuss[0] has[0] bills[0] to[0] pay[0] so[0] he[0] occasionally[0] accepts[0] big[0] paychecks[0] for[0] prominent[0] roles[0] in[0] bad[-1] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
consequently , while his career highlights include jaws , close encounters of the third kind , stakeout , and tin men , his resume is dotted with titles like moon over parador , let it ride , and now krippendorf's tribe . 	consequently , while his career highlights include jaws , close encounters of the third kind , stakeout , and tin men , his resume is dotted with titles like moon over parador , let it ride , and now krippendorf's tribe .	2	-1	 consequently[0] while[0] his[0] career[0] highlights[0] include[0] jaws[0] close[0] encounters[0] of[0] the[0] third[0] kind[1] stakeout[0] and[0] tin[0] men[0] his[0] resume[0] is[0] dotted[0] with[0] titles[0] like[1] moon[0] over[0] parador[0] let[0] it[0] ride[0] and[0] now[0] krippendorf's[0] tribe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
let me start out by saying that krippendorf's tribe is occasionally funny ( although never riotously so ) , but that's about its only asset . 	let me start out by saying that krippendorf's tribe is occasionally funny ( although never riotously so ) , but that's about its only asset .	2	-1	 let[0] me[0] start[0] out[0] by[0] saying[0] that[0] krippendorf's[0] tribe[0] is[0] occasionally[0] funny[1] although[0] never[0] riotously[0] so[0] but[0] that's[0] about[0] its[0] only[0] asset[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the best word to describe this film is " asinine . " 	the best word to describe this film is " asinine .<br> "	2	-2	 the[0] best[1] word[0] to[0] describe[0] this[0] film[0] is[0] asinine[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the target audience would appear to be recent nursery school graduates if not for the numerous sexual innuendoes , which are aimed at someone going through puberty . 	the target audience would appear to be recent nursery school graduates if not for the numerous sexual innuendoes , which are aimed at someone going through puberty .	1	-1	 the[0] target[0] audience[0] would[0] appear[0] to[0] be[0] recent[0] nursery[0] school[0] graduates[0] if[0] not[0] for[0] the[0] numerous[0] sexual[0] innuendoes[0] which[0] are[0] aimed[0] at[0] someone[0] going[0] through[0] puberty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
krippendorf's tribe tries to be a zany , off-the-wall comedy , but the film makers have forgotten three important rules . 	krippendorf's tribe tries to be a zany , off-the-wall comedy , but the film makers have forgotten three important rules .	1	-1	 krippendorf's[0] tribe[0] tries[0] to[0] be[0] a[0] zany[0] off[0] the[0] wall[0] comedy[0] but[0] the[0] film[0] makers[0] have[0] forgotten[0] three[0] important[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first is that some minimal level of plot credibility has to exist . 	the first is that some minimal level of plot credibility has to exist .	1	-1	 the[0] first[0] is[0] that[0] some[0] minimal[0] level[0] of[0] plot[0] credibility[0] has[0] to[0] exist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second is that viewers should be able to identify with , or at least care about , a character or two . 	the second is that viewers should be able to identify with , or at least care about , a character or two .	2	-1	 the[0] second[0] is[0] that[0] viewers[0] should[0] be[0] able[0] to[0] identify[0] with[0] or[0] at[0] least[0] care[1] about[0] a[0] character[0] or[0] two[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally , and most importantly , more than 5% of the jokes have to work . 	finally , and most importantly , more than 5% of the jokes have to work .	2	-1	 finally[0] and[0] most[0] importantly[0] more[0] than[0] 5%[0] of[0] the[0] jokes[1] have[0] to[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once upon a time , james krippendorf ( dreyfuss ) was a respected professor of anthropology at little bounderby college . 	once upon a time , james krippendorf ( dreyfuss ) was a respected professor of anthropology at little bounderby college .	3	-1	 once[0] upon[0] a[0] time[0] james[0] krippendorf[0] dreyfuss[0] was[0] a[0] respected[2] professor[0] of[0] anthropology[0] at[0] little[0] bounderby[0] college[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he and his wife obtained a grant to seek out a " lost tribe " somewhere in the wilds of new guinea , a goal which they never accomplished . 	he and his wife obtained a grant to seek out a " lost tribe " somewhere in the wilds of new guinea , a goal which they never accomplished .	1	-2	 he[0] and[0] his[0] wife[0] obtained[0] a[0] grant[0] to[0] seek[0] out[0] a[0] lost[0] tribe[0] somewhere[0] in[0] the[0] wilds[0] of[0] new[0] guinea[0] a[0] goal[0] which[0] they[0] never[0] accomplished[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
