if only austin powers : the spy who shagged me had been just half as original , zany , silly and totally enjoyable as its predecessor , it would have easily been one of this summer's biggest pleasures . 	Translation	Positive	Negative	EmotionRationale
if only . 	if only .	1	-1	 if[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the spy who shagged me is the exact opposite of the original ; instead of refreshing the audience with one clever parody after another , the filmmakers bombard us with used-up , tired jokes taken directly from the first one . 	in fact , the spy who shagged me is the exact opposite of the original ; instead of refreshing the audience with one clever parody after another , the filmmakers bombard us with used-up , tired jokes taken directly from the first one .	2	-2	 in[0] fact[0] the[0] spy[0] who[0] shagged[0] me[0] is[0] the[0] exact[0] opposite[0] of[0] the[0] original[0] instead[0] of[0] refreshing[0] the[0] audience[0] with[0] one[0] clever[0] parody[0] after[0] another[0] the[0] filmmakers[0] bombard[-1] us[0] with[0] used[0] up[0] tired[-1] jokes[1] taken[0] directly[0] from[0] the[0] first[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
take the scene where austin powers ( again played by mike myers , but with only a fraction of the giddy enthusiasm he displayed previously ) confronts a henchmen on the side of a cliff . 	take the scene where austin powers ( again played by mike myers , but with only a fraction of the giddy enthusiasm he displayed previously ) confronts a henchmen on the side of a cliff .	3	-3	 take[0] the[0] scene[0] where[0] austin[0] powers[0] again[0] played[0] by[0] mike[0] myers[0] but[0] with[0] only[0] a[0] fraction[0] of[0] the[0] giddy[0] enthusiasm[2] he[0] displayed[0] previously[0] confronts[-2] a[0] henchmen[0] on[0] the[0] side[0] of[0] a[0] cliff[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after being pushed off the ravine , the bad guy is of course assumed dead . 	after being pushed off the ravine , the bad guy is of course assumed dead .	1	-3	 after[0] being[0] pushed[0] off[0] the[0] ravine[0] the[0] bad[-1] guy[0] is[0] of[0] course[0] assumed[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but suddenly , we hear a pleading voice coming from down below ; he's only injured . 	but suddenly , we hear a pleading voice coming from down below ; he's only injured .	1	-1	 but[0] suddenly[0] we[0] hear[0] a[0] pleading[0] voice[0] coming[0] from[0] down[0] below[0] he's[0] only[0] injured[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a similar scene played very well in the original international man of mystery , but here i was insulted by it . 	a similar scene played very well in the original international man of mystery , but here i was insulted by it .	1	-3	 a[0] similar[0] scene[0] played[0] very[0] well[0] in[0] the[0] original[0] international[0] man[0] of[0] mystery[0] but[0] here[0] i[0] was[0] insulted[-2] by[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
did the filmmakers really believe the audience would laugh at a rip-off ? 	did the filmmakers really believe the audience would laugh at a rip-off ?	1	-2	 did[0] the[0] filmmakers[0] really[0] believe[0] the[0] audience[0] would[0] laugh[1][-1 LastWordBoosterStrength] at[0] a[0] rip[-1] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently i overestimated the intelligence of the average movie-goer , considering that the film has pulled in over  200 million in domestic theatrical grosses alone . 	apparently i overestimated the intelligence of the average movie-goer , considering that the film has pulled in over  200 million in domestic theatrical grosses alone .	1	-2	 apparently[0] i[0] overestimated[0] the[0] intelligence[0] of[0] the[0] average[0] movie[0] goer[0] considering[0] that[0] the[0] film[0] has[0] pulled[0] in[0] over[0] 200[0] million[0] in[0] domestic[0] theatrical[0] grosses[-1] alone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do i hear the sound of a franchise heading our way ? 	do i hear the sound of a franchise heading our way ?	1	-1	 do[0] i[0] hear[0] the[0] sound[0] of[0] a[0] franchise[0] heading[0] our[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having said that , though , i still cannot deny the film its merits . 	having said that , though , i still cannot deny the film its merits .	2	-1	 having[0] said[0] that[0] though[0] i[0] still[0] cannot[0] deny[-1][NegatedDueToPreviousWord] the[0] film[0] its[0] merits[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
