the following review encompasses two versions of dune : 	Translation	Positive	Negative	EmotionRationale
dune : the theatrical version ( 1984 ) runtime : 137 minutes capsule review : cut down to just over two hours by nervous studio executives , the theatrical version of dune is a spectacular mess and may be incomprehensible to those unfamiliar with the book . 	dune : the theatrical version ( 1984 ) runtime : 137 minutes capsule review : cut down to just over two hours by nervous studio executives , the theatrical version of dune is a spectacular mess and may be incomprehensible to those unfamiliar with the book .	1	-3	 dune[0] the[0] theatrical[0] version[0] 1984[0] runtime[0] 137[0] minutes[0] capsule[0] review[0] cut[0] down[0] to[0] just[0] over[0] two[0] hours[0] by[0] nervous[-2] studio[0] executives[0] the[0] theatrical[0] version[0] of[0] dune[0] is[0] a[0] spectacular[0] mess[0] and[0] may[0] be[0] incomprehensible[0] to[0] those[0] unfamiliar[-1] with[0] the[0] book[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's visual splendour , mystical beauty and impressive action scenes only partly compensate for gaping holes in the narrative . 	the film's visual splendour , mystical beauty and impressive action scenes only partly compensate for gaping holes in the narrative .	3	-1	 the[0] film's[0] visual[0] splendour[2] mystical[0] beauty[2] and[0] impressive[1] action[0] scenes[0] only[0] partly[0] compensate[0] for[0] gaping[0] holes[0] in[0] the[0] narrative[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dune : the extended version ( 1988 ) runtime : 189 minutes capsule review : a bit of a throw-together assembled by mca tv special projects for cable television . 	dune : the extended version ( 1988 ) runtime : 189 minutes capsule review : a bit of a throw-together assembled by mca tv special projects for cable television .	2	-1	 dune[0] the[0] extended[0] version[0] 1988[0] runtime[0] 189[0] minutes[0] capsule[0] review[0] a[0] bit[0] of[0] a[0] throw[0] together[0] assembled[0] by[0] mca[0] tv[0] special[1] projects[0] for[0] cable[0] television[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was disowned by director david lynch but it's considerably closer to his original vision by virtue of its improved characterisation and clearer storyline . 	it was disowned by director david lynch but it's considerably closer to his original vision by virtue of its improved characterisation and clearer storyline .	3	-1	 it[0] was[0] disowned[0] by[0] director[0] david[0] lynch[0] but[0] it's[0] considerably[0] closer[0] to[0] his[0] original[0] vision[0] by[0] virtue[2] of[0] its[0] improved[1] characterisation[0] and[0] clearer[0] storyline[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
quality dubs of this version from the out-of-print japanese laserdisc release are available from various dealers on the world wide web . 	quality dubs of this version from the out-of-print japanese laserdisc release are available from various dealers on the world wide web .	1	-1	 quality[0] dubs[0] of[0] this[0] version[0] from[0] the[0] out[0] of[0] print[0] japanese[0] laserdisc[0] release[0] are[0] available[0] from[0] various[0] dealers[0] on[0] the[0] world[0] wide[0] web[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * the review * * * 	 * * * the review * * *	1	-1	 the[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
released in 1984 and made on a then mammoth budget of  40 million , the film of frank herbert's cult novel dune was eagerly awaited by sci-fi fans . 	released in 1984 and made on a then mammoth budget of  40 million , the film of frank herbert's cult novel dune was eagerly awaited by sci-fi fans .	1	-1	 released[0] in[0] 1984[0] and[0] made[0] on[0] a[0] then[0] mammoth[0] budget[0] of[0] 40[0] million[0] the[0] film[0] of[0] frank[0] herbert's[0] cult[0] novel[0] dune[0] was[0] eagerly[0] awaited[0] by[0] sci[0] fi[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director david lynch ( blue velvet , eraserhead , twin peaks ) was working on his biggest production to date , a mammoth undertaking filmed under trying conditions on location in mexico . 	director david lynch ( blue velvet , eraserhead , twin peaks ) was working on his biggest production to date , a mammoth undertaking filmed under trying conditions on location in mexico .	1	-2	 director[0] david[0] lynch[0] blue[0] velvet[0] eraserhead[-1] twin[0] peaks[0] was[0] working[0] on[0] his[0] biggest[0] production[0] to[0] date[0] a[0] mammoth[0] undertaking[0] filmed[0] under[0] trying[0] conditions[0] on[0] location[0] in[0] mexico[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenplay was lynch's own , chosen after the script submitted by original author herbert was rejected . 	the screenplay was lynch's own , chosen after the script submitted by original author herbert was rejected .	1	-2	 the[0] screenplay[0] was[0] lynch's[0] own[0] chosen[0] after[0] the[0] script[0] submitted[0] by[0] original[0] author[0] herbert[0] was[0] rejected[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dune is set in a universe ruled by powerful families overseen by a successive line of emperors . 	dune is set in a universe ruled by powerful families overseen by a successive line of emperors .	1	-1	 dune[0] is[0] set[0] in[0] a[0] universe[0] ruled[0] by[0] powerful[0] families[0] overseen[0] by[0] a[0] successive[0] line[0] of[0] emperors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the key to cosmic power is the planet arrakis ( dune ) , a windswept desert planet that's home to giant sandworms and the precious spice melange . 	the key to cosmic power is the planet arrakis ( dune ) , a windswept desert planet that's home to giant sandworms and the precious spice melange .	3	-1	 the[0] key[0] to[0] cosmic[0] power[0] is[0] the[0] planet[0] arrakis[0] dune[0] a[0] windswept[0] desert[0] planet[0] that's[0] home[0] to[0] giant[0] sandworms[0] and[0] the[0] precious[2] spice[0] melange[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the spice is the most valuable commodity in the universe . 	the spice is the most valuable commodity in the universe .	2	-1	 the[0] spice[0] is[0] the[0] most[0] valuable[1] commodity[0] in[0] the[0] universe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it extends the life and expands the consciousness of those who consume it . 	it extends the life and expands the consciousness of those who consume it .	1	-1	 it[0] extends[0] the[0] life[0] and[0] expands[0] the[0] consciousness[0] of[0] those[0] who[0] consume[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most importantly , it allows the navigators of the spacing guild ( once human but now hideously mutated ) to " fold space " and navigate their spacecraft across mammoth distances instantaneously , enabling interstellar commerce and trade to flourish . 	most importantly , it allows the navigators of the spacing guild ( once human but now hideously mutated ) to " fold space " and navigate their spacecraft across mammoth distances instantaneously , enabling interstellar commerce and trade to flourish .	1	-1	 most[0] importantly[0] it[0] allows[0] the[0] navigators[0] of[0] the[0] spacing[0] guild[0] once[0] human[0] but[0] now[0] hideously[0] mutated[0] to[0] fold[0] space[0] and[0] navigate[0] their[0] spacecraft[0] across[0] mammoth[0] distances[0] instantaneously[0] enabling[0] interstellar[0] commerce[0] and[0] trade[0] to[0] flourish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lynch's film by necessity excises parts of the book while retaining the story's two main strands . 	lynch's film by necessity excises parts of the book while retaining the story's two main strands .	1	-1	 lynch's[0] film[0] by[0] necessity[0] excises[0] parts[0] of[0] the[0] book[0] while[0] retaining[0] the[0] story's[0] two[0] main[0] strands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one is the long-standing rivalry between two families , houses atreides and house harkonnen , and their battle for lucrative mining rights on arrakis . 	one is the long-standing rivalry between two families , houses atreides and house harkonnen , and their battle for lucrative mining rights on arrakis .	1	-2	 one[0] is[0] the[0] long[0] standing[0] rivalry[-1] between[0] two[0] families[0] houses[0] atreides[0] and[0] house[0] harkonnen[0] and[0] their[0] battle[-1] for[0] lucrative[0] mining[0] rights[0] on[0] arrakis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the second strand is the emergence of young paul atreides as the reluctant messiah long-awaited by the natives of arrakis , the fremen . 	the second strand is the emergence of young paul atreides as the reluctant messiah long-awaited by the natives of arrakis , the fremen .	1	-2	 the[0] second[0] strand[0] is[0] the[0] emergence[0] of[0] young[0] paul[0] atreides[0] as[0] the[0] reluctant[-1] messiah[0] long[0] awaited[0] by[0] the[0] natives[0] of[0] arrakis[0] the[0] fremen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the deeply religious fremen want control over their homeworld , and young paul may be the fulfilment of their prophecy that a man would come from the outer worlds and lead them to freedom . 	the deeply religious fremen want control over their homeworld , and young paul may be the fulfilment of their prophecy that a man would come from the outer worlds and lead them to freedom .	1	-1	 the[0] deeply[0] religious[0] fremen[0] want[0] control[0] over[0] their[0] homeworld[0] and[0] young[0] paul[0] may[0] be[0] the[0] fulfilment[0] of[0] their[0] prophecy[0] that[0] a[0] man[0] would[0] come[0] from[0] the[0] outer[0] worlds[0] and[0] lead[0] them[0] to[0] freedom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , this epic story unfolds in a confusing and haphazard manner in the theatrical cut of the film , which runs 30 to 60 minutes shorter than what lynch originally intended . 	unfortunately , this epic story unfolds in a confusing and haphazard manner in the theatrical cut of the film , which runs 30 to 60 minutes shorter than what lynch originally intended .	1	-2	 unfortunately[-1] this[0] epic[0] story[0] unfolds[0] in[0] a[0] confusing[-1] and[0] haphazard[-1] manner[0] in[0] the[0] theatrical[0] cut[0] of[0] the[0] film[0] which[0] runs[0] 30[0] to[0] 60[0] minutes[0] shorter[0] than[0] what[0] lynch[0] originally[0] intended[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the thinking among universal's oh-so-wise money men was that films over two hours in duration were not popular with audiences at the time and would not do well at the box office . 	the thinking among universal's oh-so-wise money men was that films over two hours in duration were not popular with audiences at the time and would not do well at the box office .	1	-1	 the[0] thinking[0] among[0] universal's[0] oh[0] so[0] wise[0] money[0] men[0] was[0] that[0] films[0] over[0] two[0] hours[0] in[0] duration[0] were[0] not[0] popular[0] with[0] audiences[0] at[0] the[0] time[0] and[0] would[0] not[0] do[0] well[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with lynch's initial cut running at closer to three or more hours , the studio demanded that further cuts be made . 	with lynch's initial cut running at closer to three or more hours , the studio demanded that further cuts be made .	1	-1	 with[0] lynch's[0] initial[0] cut[0] running[0] at[0] closer[0] to[0] three[0] or[0] more[0] hours[0] the[0] studio[0] demanded[0] that[0] further[0] cuts[0] be[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what a great idea ! 	what a great idea !	3	-1	 what[0] a[0] great[2] idea[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why not trim down an already complex film so as to make it almost incomprehensible ? 	why not trim down an already complex film so as to make it almost incomprehensible ?	1	-1	 why[0] not[0] trim[0] down[0] an[0] already[0] complex[0] film[0] so[0] as[0] to[0] make[0] it[0] almost[0] incomprehensible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most glaring consequence of this one-eyed stupidity is a hopelessly jumpy narrative , leaving us with badly underdeveloped characters . 	the most glaring consequence of this one-eyed stupidity is a hopelessly jumpy narrative , leaving us with badly underdeveloped characters .	1	-4	 the[0] most[0] glaring[0] consequence[0] of[0] this[0] one[0] eyed[0] stupidity[-1] is[0] a[0] hopelessly[-3] jumpy[-1] narrative[0] leaving[0] us[0] with[0] badly[-1] underdeveloped[0] characters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
thus their personalities are vague , their motivations unclear and , in the case of paul's father duke leto , their demise rather meaningless . 	thus their personalities are vague , their motivations unclear and , in the case of paul's father duke leto , their demise rather meaningless .	1	-2	 thus[0] their[0] personalities[0] are[0] vague[-1] their[0] motivations[0] unclear[-1] and[0] in[0] the[0] case[0] of[0] paul's[0] father[0] duke[0] leto[0] their[0] demise[-1] rather[0] meaningless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the end result is a distinct chill : we can't warm to most of the cast and we don't care much for them . 	the end result is a distinct chill : we can't warm to most of the cast and we don't care much for them .	1	-2	 the[0] end[0] result[0] is[0] a[0] distinct[0] chill[0] we[0] can't[0] warm[0] to[0] most[0] of[0] the[0] cast[0] and[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] much[0] for[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it hardly helps that the voice-over narration is sparse and that the dune-esque language and terminology sounds like so much gobbledegook to those unfamiliar with the book . 	and it hardly helps that the voice-over narration is sparse and that the dune-esque language and terminology sounds like so much gobbledegook to those unfamiliar with the book .	2	-2	 and[0] it[0] hardly[0] helps[0] that[0] the[0] voice[0] over[0] narration[0] is[0] sparse[0] and[0] that[0] the[0] dune[0] esque[0] language[0] and[0] terminology[0] sounds[0] like[1] so[0] much[0] gobbledegook[0] to[0] those[0] unfamiliar[-1] with[0] the[0] book[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dune is also a very serous film . 	dune is also a very serous film .	1	-1	 dune[0] is[0] also[0] a[0] very[0] serous[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the constant " self-talk " by various characters makes it so serious and self-absorbed at times that you may find it hard not to wince with embarrassment . 	the constant " self-talk " by various characters makes it so serious and self-absorbed at times that you may find it hard not to wince with embarrassment .	2	-3	 the[0] constant[0] self[0] talk[0] by[0] various[0] characters[0] makes[0] it[0] so[0] serious[-1] and[0] self[0] absorbed[0] at[0] times[0] that[0] you[0] may[0] find[0] it[0] hard[0] not[0] to[0] wince[-1][NegatedDueToPreviousWord] with[0] embarrassment[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
