 " gordy " is not a movie , it is a 90-minute-long " sesame street " skit , and a very bad one at that . 	Translation	Positive	Negative	EmotionRationale
this movie is so stupid and dumb that it's depressing to think that some hollywood executives actually gave this the green light , and even more surprising is the fact that this is a disney movie . 	this movie is so stupid and dumb that it's depressing to think that some hollywood executives actually gave this the green light , and even more surprising is the fact that this is a disney movie .	1	-4	 this[0] movie[0] is[0] so[0] stupid[-1] and[0] dumb[-1] that[0] it's[0] depressing[-3] to[0] think[0] that[0] some[0] hollywood[0] executives[0] actually[0] gave[0] this[0] the[0] green[0] light[0] and[0] even[0] more[0] surprising[0] is[0] the[0] fact[0] that[0] this[0] is[0] a[0] disney[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'm sure children are the target audience of this movie , but only kids under the age of five may be able to tolerate it . 	i'm sure children are the target audience of this movie , but only kids under the age of five may be able to tolerate it .	1	-1	 i'm[0] sure[0] children[0] are[0] the[0] target[0] audience[0] of[0] this[0] movie[0] but[0] only[0] kids[0] under[0] the[0] age[0] of[0] five[0] may[0] be[0] able[0] to[0] tolerate[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the story of a farm a piglet named gordy ( voiced by garms ) , whose family has been taken away to " up north , " which we know means death . 	it is the story of a farm a piglet named gordy ( voiced by garms ) , whose family has been taken away to " up north , " which we know means death .	1	-3	 it[0] is[0] the[0] story[0] of[0] a[0] farm[0] a[0] piglet[0] named[0] gordy[0] voiced[0] by[0] garms[0] whose[0] family[0] has[0] been[0] taken[0] away[0] to[0] up[0] north[0] which[0] we[0] know[0] means[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course we can hear the animals talk to each other , and they actually went to the trouble of attempting to sync the voices with their mouths but it comes out terrible . 	of course we can hear the animals talk to each other , and they actually went to the trouble of attempting to sync the voices with their mouths but it comes out terrible .	1	-4	 of[0] course[0] we[0] can[0] hear[0] the[0] animals[0] talk[0] to[0] each[0] other[0] and[0] they[0] actually[0] went[0] to[0] the[0] trouble[-1] of[0] attempting[0] to[0] sync[0] the[0] voices[0] with[0] their[0] mouths[0] but[0] it[0] comes[0] out[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
actually , it's almost funny in a way . 	actually , it's almost funny in a way .	2	-1	 actually[0] it's[0] almost[0] funny[1] in[0] a[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only remotely interesting and likable character soon appears , a little girl named jinnie sue macallister ( young ) who sees gordy on the back of a truck and essentially steals him . 	the only remotely interesting and likable character soon appears , a little girl named jinnie sue macallister ( young ) who sees gordy on the back of a truck and essentially steals him .	2	-3	 the[0] only[0] remotely[0] interesting[1] and[0] likable[0] character[0] soon[0] appears[0] a[0] little[0] girl[0] named[0] jinnie[0] sue[0] macallister[0] young[0] who[0] sees[0] gordy[0] on[0] the[0] back[0] of[0] a[0] truck[0] and[0] essentially[0] steals[-2] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jinnie is a country singer and the film goes off on a huge tangent to show her little concert and the people dancing to it . 	jinnie is a country singer and the film goes off on a huge tangent to show her little concert and the people dancing to it .	1	-1	 jinnie[0] is[0] a[0] country[0] singer[0] and[0] the[0] film[0] goes[0] off[0] on[0] a[0] huge[0] tangent[0] to[0] show[0] her[0] little[0] concert[0] and[0] the[0] people[0] dancing[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is the point of this ? 	what is the point of this ?	1	-1	 what[0] is[0] the[0] point[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe she is one of the producer's relatives and they wanted to show her on camera to promote her or something . 	maybe she is one of the producer's relatives and they wanted to show her on camera to promote her or something .	1	-1	 maybe[0] she[0] is[0] one[0] of[0] the[0] producer's[0] relatives[0] and[0] they[0] wanted[0] to[0] show[0] her[0] on[0] camera[0] to[0] promote[0] her[0] or[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we then cut to a huge social gathering and drop in on another young kid named hank royce ( roescher ) who is sad because his divorced mother is dating . 	we then cut to a huge social gathering and drop in on another young kid named hank royce ( roescher ) who is sad because his divorced mother is dating .	1	-4	 we[0] then[0] cut[0] to[0] a[0] huge[0] social[0] gathering[0] and[0] drop[-1] in[0] on[0] another[0] young[0] kid[0] named[0] hank[0] royce[0] roescher[0] who[0] is[0] sad[-3] because[0] his[0] divorced[-1] mother[0] is[0] dating[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
