if you haven't plunked down your hard-earned money yet for " wild wild west , " the latest summer holiday offering from will smith , let me say right now that your money will be better spent on a starbuck's frappacino or on a ben & jerry's sundae . 	Translation	Positive	Negative	EmotionRationale
these treats are great relief from the summer heat . 	these treats are great relief from the summer heat .	3	-1	 these[0] treats[0] are[0] great[2] relief[1] from[0] the[0] summer[0] heat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in contrast , this film made me simmer in disappointment . 	in contrast , this film made me simmer in disappointment .	1	-2	 in[0] contrast[0] this[0] film[0] made[0] me[0] simmer[0] in[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can accept the fact that summer movies tend to put more weight into special effects and that good stories and flavorful characters usually take a back seat . 	i can accept the fact that summer movies tend to put more weight into special effects and that good stories and flavorful characters usually take a back seat .	2	-1	 i[0] can[0] accept[0] the[0] fact[0] that[0] summer[0] movies[0] tend[0] to[0] put[0] more[0] weight[0] into[0] special[1] effects[0] and[0] that[0] good[1] stories[0] and[0] flavorful[0] characters[0] usually[0] take[0] a[0] back[0] seat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this was true of star wars episode i , but at least in that film , the story and the characters were still in the back seat . 	this was true of star wars episode i , but at least in that film , the story and the characters were still in the back seat .	2	-3	 this[0] was[0] true[1] of[0] star[0] wars[-2] episode[0] i[0] but[0] at[0] least[0] in[0] that[0] film[0] the[0] story[0] and[0] the[0] characters[0] were[0] still[0] in[0] the[0] back[0] seat[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in this film , they are no where to be found . 	in this film , they are no where to be found .	1	-1	 in[0] this[0] film[0] they[0] are[0] no[0] where[0] to[0] be[0] found[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what remains are hundreds of male extras costumed as gunslingers and foppish aristocrats , lots of female extras who look like can-can dancers , and a clunky , 80-foot tall instrument of destruction that resembles a mechanical tarantula . 	what remains are hundreds of male extras costumed as gunslingers and foppish aristocrats , lots of female extras who look like can-can dancers , and a clunky , 80-foot tall instrument of destruction that resembles a mechanical tarantula .	2	-2	 what[0] remains[0] are[0] hundreds[0] of[0] male[0] extras[0] costumed[0] as[0] gunslingers[-1] and[0] foppish[0] aristocrats[0] lots[0] of[0] female[0] extras[0] who[0] look[0] like[1] can[0] can[0] dancers[0] and[0] a[0] clunky[0] 80[0] foot[0] tall[0] instrument[0] of[0] destruction[-1] that[0] resembles[0] a[0] mechanical[0] tarantula[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
two men are asked to stop this threat . 	two men are asked to stop this threat .	1	-3	 two[0] men[0] are[0] asked[0] to[0] stop[0] this[0] threat[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one is artemus gordon ( kevin kline ) , an inventor who uses his intellect and array of disguises to best his opponents . 	one is artemus gordon ( kevin kline ) , an inventor who uses his intellect and array of disguises to best his opponents .	2	-1	 one[0] is[0] artemus[0] gordon[0] kevin[0] kline[0] an[0] inventor[0] who[0] uses[0] his[0] intellect[0] and[0] array[0] of[0] disguises[0] to[0] best[1] his[0] opponents[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
among his creations are false breasts and the bulletproof vest . 	among his creations are false breasts and the bulletproof vest .	1	-2	 among[0] his[0] creations[0] are[0] false[0] breasts[0] and[0] the[0] bulletproof[-1] vest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other man is jim west ( will smith ) , who prefers the shoot-first-then-shoot-some-more method of investigating . 	the other man is jim west ( will smith ) , who prefers the shoot-first-then-shoot-some-more method of investigating .	1	-2	 the[0] other[0] man[0] is[0] jim[0] west[0] will[0] smith[0] who[0] prefers[0] the[0] shoot[-1] first[0] then[0] shoot[-1] some[0] more[0] method[0] of[0] investigating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
