plot : set in the future , a courier has uploaded some data into a " hard drive " that resides in his head , and must now escape the bad guys who are after that very important information . 	Translation	Positive	Negative	EmotionRationale
since he overloaded his " hard drive " , he's also racing against the clock before the information seeps into his brain and kills him . 	since he overloaded his " hard drive " , he's also racing against the clock before the information seeps into his brain and kills him .	1	-2	 since[0] he[0] overloaded[0] his[0] hard[0] drive[0] he's[0] also[0] racing[0] against[-1] the[0] clock[0] before[0] the[0] information[0] seeps[0] into[0] his[0] brain[0] and[0] kills[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critique : incoherent , boring , one-act drivel with no suspense , horribly unbelievable futuristic environment , bad dialogue , career-defining bad acting by keanu reeves and a hilarious ending . 	critique : incoherent , boring , one-act drivel with no suspense , horribly unbelievable futuristic environment , bad dialogue , career-defining bad acting by keanu reeves and a hilarious ending .	3	-4	 critique[0] incoherent[0] boring[-1] one[0] act[0] drivel[-1] with[0] no[0] suspense[0] horribly[-3] unbelievable[-1] futuristic[0] environment[0] bad[-1] dialogue[0] career[0] defining[0] bad[-1] acting[0] by[0] keanu[0] reeves[0] and[0] a[0] hilarious[2] ending[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's too bad because the premise of the film was interesting , but unfortunately for my friends and i , this movie turned out to be just as bad as everyone had warned us . 	it's too bad because the premise of the film was interesting , but unfortunately for my friends and i , this movie turned out to be just as bad as everyone had warned us .	2	-2	 it's[0] too[0] bad[-1] because[0] the[0] premise[0] of[0] the[0] film[0] was[0] interesting[1] but[0] unfortunately[-1] for[0] my[0] friends[1] and[0] i[0] this[0] movie[0] turned[0] out[0] to[0] be[0] just[0] as[0] bad[-1] as[0] everyone[0] had[0] warned[0] us[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's one of those films that makes you start laughing half-way through , when you realize that most of the actors in it suck , the location shots are filmed in dark " junkyard " type areas which they would like to have us believe to be futuristic ( whatever . . . ) , and all the sets look like . . . . well , 	it's one of those films that makes you start laughing half-way through , when you realize that most of the actors in it suck , the location shots are filmed in dark " junkyard " type areas which they would like to have us believe to be futuristic ( whatever .<br> .<br> .<br> ) , and all the sets look like .<br> .<br> .<br> .<br> well ,	2	-2	 it's[0] one[0] of[0] those[0] films[0] that[0] makes[0] you[0] start[0] laughing[1] half[0] way[0] through[0] when[0] you[0] realize[0] that[0] most[0] of[0] the[0] actors[0] in[0] it[0] suck[-1] the[0] location[0] shots[0] are[0] filmed[0] in[0] dark[0] junkyard[0] type[0] areas[0] which[0] they[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] have[0] us[0] believe[0] to[0] be[0] futuristic[0] whatever[0] [[Sentence=-2,2=word max, 1-5]] and[0] all[0] the[0] sets[0] look[0] like[1] [[Sentence=-1,2=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
sets . 	sets .	1	-1	 sets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is also absolutely no arc to this story . 	there is also absolutely no arc to this story .	1	-1	 there[0] is[0] also[0] absolutely[0] no[0] arc[0] to[0] this[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it basically starts off with keanu uploading info into his brain , and then a bunch of folks chasing him from place to place until a laughable ending puts a stop to the former uneventful proceedings . 	it basically starts off with keanu uploading info into his brain , and then a bunch of folks chasing him from place to place until a laughable ending puts a stop to the former uneventful proceedings .	1	-2	 it[0] basically[0] starts[0] off[0] with[0] keanu[0] uploading[0] info[0] into[0] his[0] brain[0] and[0] then[0] a[0] bunch[0] of[0] folks[0] chasing[0] him[0] from[0] place[0] to[0] place[0] until[0] a[0] laughable[-1] ending[0] puts[0] a[0] stop[0] to[0] the[0] former[0] uneventful[0] proceedings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gibson should stick to writing novels and " x-files " episodes , since his segue into the paranormal tv series was much more entertaining than any of this garbage . 	gibson should stick to writing novels and " x-files " episodes , since his segue into the paranormal tv series was much more entertaining than any of this garbage .	2	-3	 gibson[0] should[0] stick[0] to[0] writing[0] novels[0] and[0] x[1] files[0] episodes[0] since[0] his[0] segue[0] into[0] the[0] paranormal[0] tv[0] series[0] was[0] much[0] more[0] entertaining[0] than[0] any[0] of[0] this[0] garbage[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
some other hilarities of this film include dolph lundgren as some futuristic jesus character whose supposed to kick ass , henry rollins as a pumped-up cyber-doctor or something , and ice-t as some kind of a hobo dude with paint all over his face ( don't ask ) . 	some other hilarities of this film include dolph lundgren as some futuristic jesus character whose supposed to kick ass , henry rollins as a pumped-up cyber-doctor or something , and ice-t as some kind of a hobo dude with paint all over his face ( don't ask ) .	1	-2	 some[0] other[0] hilarities[0] of[0] this[0] film[0] include[0] dolph[0] lundgren[0] as[0] some[0] futuristic[0] jesus[0] character[0] whose[0] supposed[0] to[0] kick[-1] ass[0] henry[0] rollins[0] as[0] a[0] pumped[0] up[0] cyber[0] doctor[0] or[0] something[0] and[0] ice[0] t[0] as[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] a[0] hobo[0] dude[0] with[0] paint[0] all[0] over[0] his[0] face[0] don't[0] ask[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ending is the funniest with some robot dolphin and a stupid ghost-lady from inside the computer doing some stuff that no one really cares about by that point . 	the ending is the funniest with some robot dolphin and a stupid ghost-lady from inside the computer doing some stuff that no one really cares about by that point .	3	-2	 the[0] ending[0] is[0] the[0] funniest[1] with[0] some[0] robot[0] dolphin[0] and[0] a[0] stupid[-1] ghost[0] lady[0] from[0] inside[0] the[0] computer[0] doing[0] some[0] stuff[0] that[0] no[0] one[0] really[0] cares[1][1 LastWordBoosterStrength] about[0] by[0] that[0] point[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm ashamed to say this film was shot in my hometown of montreal , canada , but sadly enough for us all , it was . 	i'm ashamed to say this film was shot in my hometown of montreal , canada , but sadly enough for us all , it was .	1	-2	 i'm[0] ashamed[-1] to[0] say[0] this[0] film[0] was[0] shot[-1] in[0] my[0] hometown[0] of[0] montreal[0] canada[0] but[0] sadly[-1] enough[0] for[0] us[0] all[0] it[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the cyber-travelling special effects were okay ( hence , the 2/10 ) , but overall , it's one of those bad movies that's just funny to watch and cringe at . 	some of the cyber-travelling special effects were okay ( hence , the 2/10 ) , but overall , it's one of those bad movies that's just funny to watch and cringe at .	2	-2	 some[0] of[0] the[0] cyber[0] travelling[0] special[1] effects[0] were[0] okay[0] hence[0] the[0] 2/10[0] but[0] overall[0] it's[0] one[0] of[0] those[0] bad[-1] movies[0] that's[0] just[0] funny[1][-1 LastWordBoosterStrength] to[0] watch[0] and[0] cringe[-1] at[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thankfully for keanu , he redeemed his sci-fi career with 1999's the matrix ( 7 . 5/10 ) . 	thankfully for keanu , he redeemed his sci-fi career with 199's the matrix ( 7 .<br> 5/10 ) .	2	-1	 thankfully[1] for[0] keanu[0] he[0] redeemed[0] his[0] sci[0] fi[0] career[0] with[0] 1999's/199's[0] the[0] matrix[0] 7[0] [[Sentence=-1,2=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
it's too bad that he has yet to redeem his lack of acting talent . 	it's too bad that he has yet to redeem his lack of acting talent .	2	-2	 it's[0] too[0] bad[-1] that[0] he[0] has[0] yet[0] to[0] redeem[0] his[0] lack[-1] of[0] acting[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
little known facts about this film and its stars : as of 1999 , director robert longo never directed another full-feature film . 	little known facts about this film and its stars : as of 199 , director robert longo never directed another full-feature film .	1	-1	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] as[0] of[0] 1999/199[0] director[0] robert[0] longo[0] never[0] directed[0] another[0] full[0] feature[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmm . . . now 	hm .<br> .<br> .<br> now	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] now[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
isn't that odd ? 	isn't that odd ?	1	-1	 isn't[0] that[0] odd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
