america's favorite homicidal plaything takes a wicked wife in " bride of chucky , " and their unholy matrimony is something old , nothing new . 	Translation	Positive	Negative	EmotionRationale
the burning question on the minds of most moviegoers , however , has nothing to do with nuptial specifics or even how the movie stacks up , but rather whether or not the duo gets down and dirty on their blood-soaked honeymoon . 	the burning question on the minds of most moviegoers , however , has nothing to do with nuptial specifics or even how the movie stacks up , but rather whether or not the duo gets down and dirty on their blood-soaked honeymoon .	1	-2	 the[0] burning[-1] question[0] on[0] the[0] minds[0] of[0] most[0] moviegoers[0] however[0] has[0] nothing[0] to[0] do[0] with[0] nuptial[0] specifics[0] or[0] even[0] how[0] the[0] movie[0] stacks[0] up[0] but[0] rather[0] whether[0] or[0] not[0] the[0] duo[0] gets[0] down[0] and[0] dirty[-1] on[0] their[0] blood[0] soaked[0] honeymoon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answer is a sick-and-twisted yes - and viewers are treated to a shadowy glimpse of some hot-enough-to-melt-rubber ( or at least singe it ) lovin' . 	the answer is a sick-and-twisted yes - and viewers are treated to a shadowy glimpse of some hot-enough-to-melt-rubber ( or at least singe it ) lovin' .	1	-2	 the[0] answer[0] is[0] a[0] sick[-1] and[0] twisted[0] yes[0] and[0] viewers[0] are[0] treated[0] to[0] a[0] shadowy[0] glimpse[0] of[0] some[0] hot[0] enough[0] to[0] melt[0] rubber[0] or[0] at[0] least[0] singe[0] it[0] lovin'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
guess they're anatomically correct . 	guess they're anatomically correct .	1	-1	 guess[0] they're[0] anatomically[0] correct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chucky ( again voiced by brad dourif ) , of course , is the star of the " child's play " series , a my buddy-type doll possessed by the spirit of a slain serial killer . 	chucky ( again voiced by brad dourif ) , of course , is the star of the " child's play " series , a my buddy-type doll possessed by the spirit of a slain serial killer .	1	-2	 chucky[0] again[0] voiced[0] by[0] brad[0] dourif[0] of[0] course[0] is[0] the[0] star[0] of[0] the[0] child's[0] play[0] series[0] a[0] my[0] buddy[0] type[0] doll[0] possessed[0] by[0] the[0] spirit[0] of[0] a[0] slain[0] serial[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in " bride , " the plot ( heh ) picks up with his girlfriend tiffany ( jennifer tilly ) resurrecting chucky's remains ( he was blown up at the end of " child's play 3 " ) with the help of a black arts manual called " voodoo for dummies . " 	in " bride , " the plot ( heh ) picks up with his girlfriend tiffany ( jennifer tilly ) resurrecting chucky's remains ( he was blown up at the end of " child's play 3 " ) with the help of a black arts manual called " voodoo for dummies .<br> "	1	-1	 in[0] bride[0] the[0] plot[0] heh[0] picks[0] up[0] with[0] his[0] girlfriend[0] tiffany[0] jennifer[0] tilly[0] resurrecting[0] chucky's[0] remains[0] he[0] was[0] blown[0] up[0] at[0] the[0] end[0] of[0] child's[0] play[0] 3[0] with[0] the[0] help[0] of[0] a[0] black[0] arts[0] manual[0] called[0] voodoo[0] for[0] dummies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
silly mortal . 	silly mortal .	1	-2	 silly[-1] mortal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
before long , she's also been reduced to shin-high figurine status , and the plastic incarnations of these one-time lunatic lovebirds hit the road to scope out some potential new human bodies . 	before long , she's also been reduced to shin-high figurine status , and the plastic incarnations of these one-time lunatic lovebirds hit the road to scope out some potential new human bodies .	1	-2	 before[0] long[0] she's[0] also[0] been[0] reduced[0] to[0] shin[0] high[0] figurine[0] status[0] and[0] the[0] plastic[0] incarnations[0] of[0] these[0] one[0] time[0] lunatic[-1] lovebirds[0] hit[0] the[0] road[0] to[0] scope[0] out[0] some[0] potential[0] new[0] human[0] bodies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of this rocky horror puppet show plays out as tiff and the chuckster stalk a young couple ( nick stabile and katherine heigl ) with conjugal plans of their own , leading them towards a new jersey grave where a magical , soul-transferring amulet allegedly lies in wait . 	the rest of this rocky horror puppet show plays out as tiff and the chuckster stalk a young couple ( nick stabile and katherine heigl ) with conjugal plans of their own , leading them towards a new jersey grave where a magical , soul-transferring amulet allegedly lies in wait .	2	-4	 the[0] rest[0] of[0] this[0] rocky[0] horror[-3] puppet[0] show[0] plays[1] out[0] as[0] tiff[0] and[0] the[0] chuckster[0] stalk[0] a[0] young[0] couple[0] nick[0] stabile[-1] and[0] katherine[0] heigl[0] with[0] conjugal[0] plans[0] of[0] their[0] own[0] leading[0] them[0] towards[0] a[0] new[0] jersey[0] grave[-2] where[0] a[0] magical[0] soul[0] transferring[0] amulet[0] allegedly[-1] lies[-2] in[0] wait[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
along the way , our murderous barbie and ken go through post-marriage motions similar to any given pair of newlyweds - bicker , argue , kiss and make up . 	along the way , our murderous barbie and ken go through post-marriage motions similar to any given pair of newlyweds - bicker , argue , kiss and make up .	3	-4	 along[0] the[0] way[0] our[0] murderous[-3] barbie[0] and[0] ken[0] go[0] through[0] post[0] marriage[0] motions[0] similar[0] to[0] any[0] given[0] pair[0] of[0] newlyweds[0] bicker[0] argue[-1] kiss[2] and[0] make[0] up[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but when they squabble over who's going to do the dishes , watch out . 	but when they squabble over who's going to do the dishes , watch out .	1	-1	 but[0] when[0] they[0] squabble[0] over[0] who's[0] going[0] to[0] do[0] the[0] dishes[0] watch[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , even faux people have got to work through their problems . 	hey , even faux people have got to work through their problems .	2	-2	 hey[1] even[0] faux[0] people[0] have[0] got[0] to[0] work[0] through[0] their[0] problems[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
