the catch phrase for disney's rocket man is one spoken by fred z . randall ( harland williams ) , the bumbling idiot computer programmer turned astronaut who continuously wreaks havoc everywhere he goes . 	Translation	Positive	Negative	EmotionRationale
 " it wasn't me ! " he proclaims over and over as the aftermath of his stupidity brings about looks of disgust from the others . 	 " it wasn't me !<br> " he proclaims over and over as the aftermath of his stupidity brings about looks of disgust from the others .	1	-4	 it[0] wasn't[0] me[0] [[Sentence=-1,1=word max, 1-5]] he[0] proclaims[0] over[0] and[0] over[0] as[0] the[0] aftermath[0] of[0] his[0] stupidity[-1] brings[0] about[0] looks[0] of[0] disgust[-3] from[0] the[0] others[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
well when it comes to this movie being as horrible as it is , williams can't take all the blame , but he sure can't justify himself with his own simple tag line either . 	well when it comes to this movie being as horrible as it is , williams can't take all the blame , but he sure can't justify himself with his own simple tag line either .	1	-4	 well[0] when[0] it[0] comes[0] to[0] this[0] movie[0] being[0] as[0] horrible[-3] as[0] it[0] is[0] williams[0] can't[0] take[0] all[0] the[0] blame[-1] but[0] he[0] sure[0] can't[0] justify[0] himself[0] with[0] his[0] own[0] simple[0] tag[0] line[0] either[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fred has dreamed of space travel since he was a young boy , turning the clothes dryer into a mock space shuttle and staring out wide-eyed at a poster of the earth . 	fred has dreamed of space travel since he was a young boy , turning the clothes dryer into a mock space shuttle and staring out wide-eyed at a poster of the earth .	1	-3	 fred[0] has[0] dreamed[0] of[0] space[0] travel[0] since[0] he[0] was[0] a[0] young[0] boy[0] turning[0] the[0] clothes[0] dryer[0] into[0] a[0] mock[-2] space[0] shuttle[0] and[0] staring[0] out[0] wide[0] eyed[0] at[0] a[0] poster[0] of[0] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a 30-year-old , fred hasn't grown up much , but at least he's somewhat closer to his goal , now designing astronaut software for nasa . 	as a 30-year-old , fred hasn't grown up much , but at least he's somewhat closer to his goal , now designing astronaut software for nasa .	1	-1	 as[0] a[0] 30[0] year[0] old[0] fred[0] hasn't[0] grown[0] up[0] much[0] but[0] at[0] least[0] he's[0] somewhat[0] closer[0] to[0] his[0] goal[0] now[0] designing[0] astronaut[0] software[0] for[0] nasa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when an astronaut for an upcoming mission to mars becomes injured , nasa calls on the person who knows the programming inside and out to fill the void . 	when an astronaut for an upcoming mission to mars becomes injured , nasa calls on the person who knows the programming inside and out to fill the void .	1	-2	 when[0] an[0] astronaut[0] for[0] an[0] upcoming[0] mission[0] to[0] mars[0] becomes[0] injured[0] nasa[0] calls[0] on[0] the[0] person[0] who[0] knows[0] the[0] programming[0] inside[0] and[0] out[0] to[0] fill[0] the[0] void[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
fred . 	fred .	1	-1	 fred[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , although he's an obviously klutzy moron , nasa doesn't think twice about throwing him into a rigorous training program so he can assist one of the most important events the space program , and time itself , has ever known . 	yes , although he's an obviously klutzy moron , nasa doesn't think twice about throwing him into a rigorous training program so he can assist one of the most important events the space program , and time itself , has ever known .	1	-3	 yes[0] although[0] he's[0] an[0] obviously[0] klutzy[0] moron[-2] nasa[0] doesn't[0] think[0] twice[0] about[0] throwing[0] him[0] into[0] a[0] rigorous[0] training[0] program[0] so[0] he[0] can[0] assist[0] one[0] of[0] the[0] most[0] important[0] events[0] the[0] space[0] program[0] and[0] time[0] itself[0] has[0] ever[0] known[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for the first part of the film , we watch as fred takes on the training program much like an amusement park . he laughs , he screams , but he never once breaks a sweat or views the preparation as anything more than child's play . 	for the first part of the film , we watch as fred takes on the training program much like an amusement park .<br> he laughs , he screams , but he never once breaks a sweat or views the preparation as anything more than child's play .	2	-4	 for[0] the[0] first[0] part[0] of[0] the[0] film[0] we[0] watch[0] as[0] fred[0] takes[0] on[0] the[0] training[0] program[0] much[0] like[1] an[0] amusement[1] park[0] [[Sentence=-1,2=word max, 1-5]] he[0] laughs[1] he[0] screams[-3] but[0] he[0] never[0] once[0] breaks[0] a[0] sweat[0] or[0] views[0] the[0] preparation[0] as[0] anything[0] more[0] than[0] child's[0] play[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
