plot : a rich guy who doesn't believe in love , orders a mail-order bride for himself . 	Translation	Positive	Negative	EmotionRationale
that very evening , the couple is married and fall madly in love soon thereafter . 	that very evening , the couple is married and fall madly in love soon thereafter .	3	-1	 that[0] very[0] evening[0] the[0] couple[0] is[0] married[0] and[0] fall[0] madly[1] in[0] love[2] soon[0] thereafter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but what's this ? 	but what's this ?	1	-1	 but[0] what's[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of them might not be the person they are pretending to be ? 	one of them might not be the person they are pretending to be ?	1	-1	 one[0] of[0] them[0] might[0] not[0] be[0] the[0] person[0] they[0] are[0] pretending[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wow . . . a 	wow .<br> .<br> .<br> a	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
sin , indeed . 	sin , indeed .	1	-2	 sin[-1] indeed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critique : easily one of the worst movies that i've seen all year . 	critique : easily one of the worst movies that i've seen all year .	1	-3	 critique[0] easily[0] one[0] of[0] the[0] worst[-2] movies[0] that[0] i've[0] seen[0] all[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
too long , too boring , too predictable and too ridiculous for anyone interested in watching a good movie . 	too long , too boring , too predictable and too ridiculous for anyone interested in watching a good movie .	2	-3	 too[0] long[0] too[0] boring[-1] too[0] predictable[0] and[0] too[0] ridiculous[-2] for[0] anyone[0] interested[1] in[0] watching[0] a[0] good[1] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what the hell were they thinking when they made this thing ? 	what the hell were they thinking when they made this thing ?	1	-2	 what[0] the[0] hell[-1] were[0] they[0] thinking[0] when[0] they[0] made[0] this[0] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( it's no wonder that the film has been sitting on the racks for about a year ) this felt like a really bad tv movie of the week , with some nudity stuffed in from time to time , just to wake up the audience . 	 ( it's no wonder that the film has been sitting on the racks for about a year ) this felt like a really bad tv movie of the week , with some nudity stuffed in from time to time , just to wake up the audience .	2	-3	 it's[0] no[0] wonder[0] that[0] the[0] film[0] has[0] been[0] sitting[0] on[0] the[0] racks[0] for[0] about[0] a[0] year[0] this[0] felt[0] like[1] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] tv[0] movie[0] of[0] the[0] week[0] with[0] some[0] nudity[0] stuffed[0] in[0] from[0] time[0] to[0] time[0] just[0] to[0] wake[0] up[0] the[0] audience[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
have you ever switched channels and fallen upon one of those ridiculously melodramatic tv movies , one that you just couldn't help but switch back to from time to time , just to make sure that it wasn't part of some sick joke ? 	have you ever switched channels and fallen upon one of those ridiculously melodramatic tv movies , one that you just couldn't help but switch back to from time to time , just to make sure that it wasn't part of some sick joke ?	2	-3	 have[0] you[0] ever[0] switched[0] channels[0] and[0] fallen[0] upon[0] one[0] of[0] those[0] ridiculously[-2] melodramatic[-1] tv[0] movies[0] one[0] that[0] you[0] just[0] couldn't[0] help[0] but[0] switch[0] back[0] to[0] from[0] time[0] to[0] time[0] just[0] to[0] make[0] sure[0] that[0] it[0] wasn't[0] part[0] of[0] some[0] sick[-1][--1 LastWordBoosterStrength] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
