this movie tries to present itself as the sequel to jan de bont's debut as a director , 1994 surprise hit speed . 	Translation	Positive	Negative	EmotionRationale
but the only thing the two movies have in common is sandra bullock as the female lead . 	but the only thing the two movies have in common is sandra bullock as the female lead .	1	-1	 but[0] the[0] only[0] thing[0] the[0] two[0] movies[0] have[0] in[0] common[0] is[0] sandra[0] bullock[0] as[0] the[0] female[0] lead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
annie ( sandra bullock ) is in the wrong place at the wrong time again . 	annie ( sandra bullock ) is in the wrong place at the wrong time again .	1	-2	 annie[0] sandra[0] bullock[0] is[0] in[0] the[0] wrong[-1] place[0] at[0] the[0] wrong[-1] time[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's going on a cruise with her new boy-friend alex ( jason patric ) , and of course it is her ship that is kidnapped by john geiger ( willem dafoe ) who has a bone to pick with the shipping line . 	she's going on a cruise with her new boy-friend alex ( jason patric ) , and of course it is her ship that is kidnapped by john geiger ( willem dafoe ) who has a bone to pick with the shipping line .	2	-1	 she's[0] going[0] on[0] a[0] cruise[0] with[0] her[0] new[0] boy[0] friend[1] alex[0] jason[0] patric[0] and[0] of[0] course[0] it[0] is[0] her[0] ship[0] that[0] is[0] kidnapped[0] by[0] john[0] geiger[0] willem[0] dafoe[0] who[0] has[0] a[0] bone[0] to[0] pick[0] with[0] the[0] shipping[0] line[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they sacked him after he got sick . 	they sacked him after he got sick .	1	-2	 they[0] sacked[0] him[0] after[0] he[0] got[0] sick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now he wants the diamonds stored in the ship's safe for compensation . 	now he wants the diamonds stored in the ship's safe for compensation .	2	-1	 now[0] he[0] wants[0] the[0] diamonds[0] stored[0] in[0] the[0] ship's[0] safe[1] for[0] compensation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that actually is the whole storyline . 	that actually is the whole storyline .	1	-1	 that[0] actually[0] is[0] the[0] whole[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
speed 2 could do without dialogues . 	speed 2 could do without dialogues .	1	-1	 speed[0] 2[0] could[0] do[0] without[0] dialogues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is all about images and remarkable sound . 	the movie is all about images and remarkable sound .	1	-1	 the[0] movie[0] is[0] all[0] about[0] images[0] and[0] remarkable[0] sound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't really know why this is called an action movie . 	i don't really know why this is called an action movie .	1	-1	 i[0] don't[0] really[0] know[0] why[0] this[0] is[0] called[0] an[0] action[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
except for a few scenes that are vaguely reminiscent of speed this goes along the lines of the desaster movies of the 70ies . 	except for a few scenes that are vaguely reminiscent of speed this goes along the lines of the desaster movies of the 70ies .	1	-2	 except[0] for[0] a[0] few[0] scenes[0] that[0] are[0] vaguely[-1] reminiscent[0] of[0] speed[0] this[0] goes[0] along[0] the[0] lines[0] of[0] the[0] desaster[0] movies[0] of[0] the[0] 70ies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first we are introduced to a number of people who are going to be important later on in the movie . 	first we are introduced to a number of people who are going to be important later on in the movie .	1	-1	 first[0] we[0] are[0] introduced[0] to[0] a[0] number[0] of[0] people[0] who[0] are[0] going[0] to[0] be[0] important[0] later[0] on[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then desaster strikes . 	then desaster strikes .	1	-1	 then[0] desaster[0] strikes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sandra bullock was said to have been glad that she could take action this time around . 	sandra bullock was said to have been glad that she could take action this time around .	2	-1	 sandra[0] bullock[0] was[0] said[0] to[0] have[0] been[0] glad[1] that[0] she[0] could[0] take[0] action[0] this[0] time[0] around[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i looked for the " action " but couldn't find it . 	i looked for the " action " but couldn't find it .	1	-1	 i[0] looked[0] for[0] the[0] action[0] but[0] couldn't[0] find[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the time she is part of the decoration . 	most of the time she is part of the decoration .	1	-1	 most[0] of[0] the[0] time[0] she[0] is[0] part[0] of[0] the[0] decoration[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only time she is part of what happens is when she can have a shot at defusing a bomb and freeing some passengers trapped behind a fire door . 	the only time she is part of what happens is when she can have a shot at defusing a bomb and freeing some passengers trapped behind a fire door .	1	-2	 the[0] only[0] time[0] she[0] is[0] part[0] of[0] what[0] happens[0] is[0] when[0] she[0] can[0] have[0] a[0] shot[-1] at[0] defusing[0] a[0] bomb[-1] and[0] freeing[0] some[0] passengers[0] trapped[0] behind[0] a[0] fire[0] door[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
