 " you can't have any of this . 	Translation	Positive	Negative	EmotionRationale
it's all mine ! " 	it's all mine !<br> "	1	-1	 it's[0] all[0] mine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--- a twisted priest ( charles huevelman ) hordes his tasty fried chicken while dana ( angela zimmerly ) looks on uninterested . 	- a twisted priest ( charles huevelman ) hordes his tasty fried chicken while dana ( angela zimmerly ) looks on uninterested .	1	-1	 a[0] twisted[0] priest[0] charles[0] huevelman[0] hordes[0] his[0] tasty[0] fried[0] chicken[0] while[0] dana[0] angela[0] zimmerly[0] looks[0] on[0] uninterested[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an evil presence , appropriately named the presence ( dj vivona ) , rules over an alternate dimension where neither angels nor demons can touch him . 	an evil presence , appropriately named the presence ( dj vivona ) , rules over an alternate dimension where neither angels nor demons can touch him .	1	-3	 an[0] evil[-2] presence[0] appropriately[0] named[0] the[0] presence[0] dj[0] vivona[0] rules[0] over[0] an[0] alternate[0] dimension[0] where[0] neither[0] angels[0] nor[0] demons[0] can[0] touch[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for kicks , the presence likes to trick a human into rounding up five of his or her friends so they can all be sent to his dimension and be systematically slaughtered . 	for kicks , the presence likes to trick a human into rounding up five of his or her friends so they can all be sent to his dimension and be systematically slaughtered .	3	-2	 for[0] kicks[-1] the[0] presence[0] likes[2] to[0] trick[-1] a[0] human[0] into[0] rounding[0] up[0] five[0] of[0] his[0] or[0] her[0] friends[1] so[0] they[0] can[0] all[0] be[0] sent[0] to[0] his[0] dimension[0] and[0] be[0] systematically[0] slaughtered[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when something goes wrong and one of the presence's recent victims escapes , the angels and demons are alerted to his existence and feel he is a threat that needs to be stopped . 	when something goes wrong and one of the presence's recent victims escapes , the angels and demons are alerted to his existence and feel he is a threat that needs to be stopped .	1	-3	 when[0] something[0] goes[0] wrong[-1] and[0] one[0] of[0] the[0] presence's[0] recent[0] victims[-2] escapes[0] the[0] angels[0] and[0] demons[0] are[0] alerted[0] to[0] his[0] existence[0] and[0] feel[0] he[0] is[0] a[0] threat[-2] that[0] needs[0] to[0] be[0] stopped[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they enlist the help of alison ( ramona midgett ) , a recent suicide victim , to return to the flesh and follow the six new enlistees through the ice wall that surrounds the the nether-realm . 	they enlist the help of alison ( ramona midget ) , a recent suicide victim , to return to the flesh and follow the six new enlistees through the ice wall that surrounds the the nether-realm .	1	-4	 they[0] enlist[0] the[0] help[0] of[0] alison[0] ramona[0] midgett/midget[0] a[0] recent[0] suicide[-3] victim[-2][-1 MultiplePositiveWords] to[0] return[0] to[0] the[0] flesh[0] and[0] follow[0] the[0] six[0] new[0] enlistees[0] through[0] the[0] ice[0] wall[0] that[0] surrounds[0] the[0] the[0] nether[0] realm[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
her mission is to melt away the ice barrier and allow the angels and demons access by reminding the presence of who he once was , an ancient court jester named abraham who lost his job when his king and queen were killed . 	her mission is to melt away the ice barrier and allow the angels and demons access by reminding the presence of who he once was , an ancient court jester named abraham who lost his job when his king and queen were killed .	1	-4	 her[0] mission[0] is[0] to[0] melt[0] away[0] the[0] ice[0] barrier[-1] and[0] allow[0] the[0] angels[0] and[0] demons[0] access[0] by[0] reminding[0] the[0] presence[0] of[0] who[0] he[0] once[0] was[0] an[0] ancient[0] court[0] jester[0] named[0] abraham[0] who[0] lost[0] his[0] job[0] when[0] his[0] king[0] and[0] queen[0] were[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the king's sorcerer , amblyn ( who also lost his job ) , decided to take abraham under his wing as an apprentice . 	the king's sorcerer , amblyn ( who also lost his job ) , decided to take abraham under his wing as an apprentice .	1	-1	 the[0] king's[0] sorcerer[0] amblyn[0] who[0] also[0] lost[0] his[0] job[0] decided[0] to[0] take[0] abraham[0] under[0] his[0] wing[0] as[0] an[0] apprentice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during the downtime in his unemployment , amblyn decided to create a new dimension where sorcery , evil , and torture ruled . 	during the downtime in his unemployment , amblyn decided to create a new dimension where sorcery , evil , and torture ruled .	1	-4	 during[0] the[0] downtime[0] in[0] his[0] unemployment[0] amblyn[0] decided[0] to[0] create[0] a[0] new[0] dimension[0] where[0] sorcery[0] evil[-2] and[0] torture[-3] ruled[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
abraham wished to follow his master into this new realm , so he was asked to show his devotion to the evil wizard by murdering his one true love . 	abraham wished to follow his master into this new realm , so he was asked to show his devotion to the evil wizard by murdering his one true love .	3	-4	 abraham[0] wished[0] to[0] follow[0] his[0] master[0] into[0] this[0] new[0] realm[0] so[0] he[0] was[0] asked[0] to[0] show[0] his[0] devotion[2] to[0] the[0] evil[-2] wizard[0] by[0] murdering[-3] his[0] one[0] true[1] love[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
