the sequel to the fugitive ( 1993 ) , u . s marshals is an average thriller using it's association with the fugitive just so it can make a few extra bucks . 	Translation	Positive	Negative	EmotionRationale
tommy lee jones returns to his role as chief deputy samuel gerard , the grizzly cop who was after harrison ford in the fugitive . 	tommy lee jones returns to his role as chief deputy samuel gerard , the grizly cop who was after harrison ford in the fugitive .	1	-2	 tommy[0] lee[0] jones[0] returns[0] to[0] his[0] role[0] as[0] chief[0] deputy[0] samuel[0] gerard[0] the[0] grizzly/grizly[0] cop[0] who[0] was[0] after[0] harrison[0] ford[0] in[0] the[0] fugitive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time , he's after fugitive mark sheridan ( snipes ) who the police think killed two fbi agents , but of course he's been set up , and when the police plane escort he ( and gerard ) are riding crashes , he makes a run for it , gerard not so hot on his tail . 	this time , he's after fugitive mark sheridan ( snipes ) who the police think killed two fbi agents , but of course he's been set up , and when the police plane escort he ( and gerard ) are riding crashes , he makes a run for it , gerard not so hot on his tail .	1	-4	 this[0] time[0] he's[0] after[0] fugitive[-1] mark[0] sheridan[0] snipes[0] who[0] the[0] police[0] think[0] killed[-3] two[0] fbi[0] agents[0] but[0] of[0] course[0] he's[0] been[0] set[0] up[0] and[0] when[0] the[0] police[0] plane[0] escort[0] he[0] and[0] gerard[0] are[0] riding[0] crashes[0] he[0] makes[0] a[0] run[0] for[0] it[0] gerard[0] not[0] so[0] hot[0] on[0] his[0] tail[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what follows is about 2 hours of action , brought to us by the director of executive decision ( 1995 ) , another film curiously involving a plane . 	what follows is about 2 hours of action , brought to us by the director of executive decision ( 1995 ) , another film curiously involving a plane .	1	-1	 what[0] follows[0] is[0] about[0] 2[0] hours[0] of[0] action[0] brought[0] to[0] us[0] by[0] the[0] director[0] of[0] executive[0] decision[0] 1995[0] another[0] film[0] curiously[0] involving[0] a[0] plane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when comparing this movie to the fugitive , the prequel is far superior . 	when comparing this movie to the fugitive , the prequel is far superior .	3	-2	 when[0] comparing[0] this[0] movie[0] to[0] the[0] fugitive[-1] the[0] prequel[0] is[0] far[0] superior[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but even on it's own , u . s marshals is a pretty lousy movie . 	but even on it's own , you .<br> s marshals is a pretty lousy movie .	3	-3	 but[0] even[0] on[0] it's[0] own[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] marshals[0] is[0] a[0] pretty[2] lousy[-2] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while the original was reasonably intelligent , and had a fugitive to root for , the audience feels strangely distanced from snipes fugitive , mainly because we know so little about him until way into the film's overlong running time . 	while the original was reasonably intelligent , and had a fugitive to root for , the audience feels strangely distanced from snipes fugitive , mainly because we know so little about him until way into the film's overlong running time .	2	-2	 while[0] the[0] original[0] was[0] reasonably[0] intelligent[1] and[0] had[0] a[0] fugitive[-1] to[0] root[0] for[0] the[0] audience[0] feels[0] strangely[0] distanced[0] from[0] snipes[0] fugitive[-1] mainly[0] because[0] we[0] know[0] so[0] little[0] about[0] him[0] until[0] way[0] into[0] the[0] film's[0] overlong[0] running[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while the fugitive gave a little time to develop harrison fords character , u . s marshals is straight in there , pulling it's trump card ( the place crash ) almost immediately . 	while the fugitive gave a little time to develop harrison fords character , you .<br> s marshals is straight in there , pulling it's trump card ( the place crash ) almost immediately .	1	-2	 while[0] the[0] fugitive[-1] gave[0] a[0] little[0] time[0] to[0] develop[0] harrison[0] fords[0] character[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] marshals[0] is[0] straight[0] in[0] there[0] pulling[0] it's[0] trump[0] card[0] the[0] place[0] crash[0] almost[0] immediately[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
to be honest , i couldn't care less if snipe's character got captured or not . 	to be honest , i couldn't care less if snipe's character got captured or not .	1	-2	 to[0] be[0] honest[0] i[0] couldn't[0] care[1][NegatedDueToPreviousWord] less[0] if[0] snipe's[0] character[0] got[0] captured[-1] or[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
snipes performance is average , and his character gets surprisingly little screen time ( considering he is the fugitive ) for reasons i'll explain later . 	snipes performance is average , and his character gets surprisingly little screen time ( considering he is the fugitive ) for reasons i'll explain later .	1	-2	 snipes[0] performance[0] is[0] average[0] and[0] his[0] character[0] gets[0] surprisingly[0] little[0] screen[0] time[0] considering[0] he[0] is[0] the[0] fugitive[-1] for[0] reasons[0] i'll[0] explain[0] later[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tommy lee jones is as fine as ever , although his role is hardly a challenge . 	tommy lee jones is as fine as ever , although his role is hardly a challenge .	3	-2	 tommy[0] lee[0] jones[0] is[0] as[0] fine[2] as[0] ever[0] although[0] his[0] role[0] is[0] hardly[0] a[0] challenge[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sense of deja vu was overwhelming . 	the sense of deja vu was overwhelming .	1	-3	 the[0] sense[0] of[0] deja[0] vu[0] was[0] overwhelming[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i know it's the same role from the fugitive , but there is seemingly no attempt to develop his character from the last film . 	i know it's the same role from the fugitive , but there is seemingly no attempt to develop his character from the last film .	1	-2	 i[0] know[0] it's[0] the[0] same[0] role[0] from[0] the[0] fugitive[-1] but[0] there[0] is[0] seemingly[0] no[0] attempt[0] to[0] develop[0] his[0] character[0] from[0] the[0] last[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a few 'nudge nudge' references from the first film , but apart from that , nothing . 	there's a few 'nudge nudge' references from the first film , but apart from that , nothing .	1	-1	 there's[0] a[0] few[0] 'nudge[0] nudge'[0] references[0] from[0] the[0] first[0] film[0] but[0] apart[0] from[0] that[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nobody even mentions harrison ford in this movie . 	nobody even mentions harrison ford in this movie .	1	-1	 nobody[0] even[0] mentions[0] harrison[0] ford[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
downey jnr is ok as fbi agent john royce who's roped into the chase , and sexy french actress irene jacob wanders in and out of the movie as snipes wife . 	downey jnr is ok as fbi agent john royce who's roped into the chase , and sexy french actress irene jacob wanders in and out of the movie as snipes wife .	3	-2	 downey[0] jnr[0] is[0] ok[0] as[0] fbi[0] agent[0] john[0] royce[0] who's[0] roped[0] into[0] the[0] chase[-1] and[0] sexy[2] french[0] actress[0] irene[0] jacob[0] wanders[0] in[0] and[0] out[0] of[0] the[0] movie[0] as[0] snipes[0] wife[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nobody looks as if their having a good time , and all the performers are on autopilot . 	nobody looks as if their having a good time , and all the performers are on autopilot .	2	-1	 nobody[0] looks[0] as[0] if[0] their[0] having[0] a[0] good[1] time[0] and[0] all[0] the[0] performers[0] are[0] on[0] autopilot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast are o . k , but when it comes to performances , u . s marshals falls flat on it's face . 	the supporting cast are o .<br> k , but when it comes to performances , you .<br> s marshals falls flat on it's face .	2	-1	 the[0] supporting[1] cast[0] are[0] o[0] [[Sentence=-1,2=word max, 1-5]] k[0] but[0] when[0] it[0] comes[0] to[0] performances[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] marshals[0] falls[0] flat[0] on[0] it's[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't fare any better plot-wise , either . 	it doesn't fare any better plot-wise , either .	1	-1	 it[0] doesn't[0] fare[0] any[0] better[0] plot[0] wise[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film starts off with gerard trying to capture snipes , but then veers off into terrorists territory . 	the film starts off with gerard trying to capture snipes , but then veers off into terrorists territory .	1	-3	 the[0] film[0] starts[0] off[0] with[0] gerard[0] trying[0] to[0] capture[-1] snipes[0] but[0] then[0] veers[0] off[0] into[0] terrorists[-2] territory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as said above , the film is an normal , average terrorist thriller , seen a million times before , but is using the fugitive reputation to make it sound more professional . 	as said above , the film is an normal , average terrorist thriller , seen a million times before , but is using the fugitive reputation to make it sound more professional .	2	-3	 as[0] said[0] above[0] the[0] film[0] is[0] an[0] normal[0] average[0] terrorist[-2] thriller[1] seen[0] a[0] million[0] times[0] before[0] but[0] is[0] using[0] the[0] fugitive[-1] reputation[0] to[0] make[0] it[0] sound[0] more[0] professional[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if this film wasn't the 'sequel' to the fugitive , this would probably go straight to video , or not even been made at all , because it's so average . 	if this film wasn't the 'sequel' to the fugitive , this would probably go straight to video , or not even been made at all , because it's so average .	1	-2	 if[0] this[0] film[0] wasn't[0] the[0] 'sequel'[0] to[0] the[0] fugitive[-1] this[0] would[0] probably[0] go[0] straight[0] to[0] video[0] or[0] not[0] even[0] been[0] made[0] at[0] all[0] because[0] it's[0] so[0] average[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and because of the film's plot changing it's course , snipes is almost forgotten apart , and hardly features in the movie . 	and because of the film's plot changing it's course , snipes is almost forgotten apart , and hardly features in the movie .	1	-1	 and[0] because[0] of[0] the[0] film's[0] plot[0] changing[0] it's[0] course[0] snipes[0] is[0] almost[0] forgotten[0] apart[0] and[0] hardly[0] features[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stuart baird , the director , is all right , but there's no particular scene that stands out . 	stuart baird , the director , is all right , but there's no particular scene that stands out .	1	-1	 stuart[0] baird[0] the[0] director[0] is[0] all[0] right[0] but[0] there's[0] no[0] particular[0] scene[0] that[0] stands[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's director is the usual action movie style . 	it's director is the usual action movie style .	1	-1	 it's[0] director[0] is[0] the[0] usual[0] action[0] movie[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the plane crash is sorely lacking in tension . 	even the plane crash is sorely lacking in tension .	1	-3	 even[0] the[0] plane[0] crash[0] is[0] sorely[0] lacking[0] in[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the special effects are nice , especially the plane crash , and there's a good ( if very loud ) soundtrack by veteran composer jerry goldsmith . 	the special effects are nice , especially the plane crash , and there's a good ( if very loud ) soundtrack by veteran composer jerry goldsmith .	2	-1	 the[0] special[1] effects[0] are[0] nice[1] especially[0] the[0] plane[0] crash[0] and[0] there's[0] a[0] good[1] if[0] very[0] loud[0] soundtrack[0] by[0] veteran[0] composer[0] jerry[0] goldsmith[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but in the end , u . s marshals suffers from an overwhelmingly lack of excitement . 	but in the end , you .<br> s marshals suffers from an overwhelmingly lack of excitement .	3	-5	 but[0] in[0] the[0] end[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] marshals[0] suffers[-3] from[0] an[0] overwhelmingly[-2] lack[-1][-2 LastWordBoosterStrength][-1 MultiplePositiveWords] of[0] excitement[2] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
sure , it's loud and dumb , but in the end u . s marshals just ain't fun . 	sure , it's loud and dumb , but in the end you .<br> s marshals just ain't fun .	2	-2	 sure[0] it's[0] loud[0] and[0] dumb[-1] but[0] in[0] the[0] end[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] marshals[0] just[0] ain't[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
bored performers and a lackluster plot and script , do not make a good action movie . 	bored performers and a lackluster plot and script , do not make a good action movie .	2	-2	 bored[-1] performers[0] and[0] a[0] lackluster[0] plot[0] and[0] script[0] do[0] not[0] make[0] a[0] good[1] action[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
overall rating  review by david wilcock web space provided by geocities 	overall rating  review by david wilcock web space provided by geocities	1	-1	 overall[0] rating[0] review[0] by[0] david[0] wilcock[0] web[0] space[0] provided[0] by[0] geocities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
