i think that saying that the x-files is one of this summer's most anticipated films is safe . 	Translation	Positive	Negative	EmotionRationale
for five years , " the x-files " television show has developed a dedicated fan culture , whose rabid devotion to the series rivals that of " star trek " fans . 	for five years , " the x-files " television show has developed a dedicated fan culture , whose rabid devotion to the series rivals that of " star trek " fans .	3	-1	 for[0] five[0] years[0] the[0] x[1] files[0] television[0] show[0] has[0] developed[0] a[0] dedicated[0] fan[0] culture[0] whose[0] rabid[0] devotion[2] to[0] the[0] series[0] rivals[0] that[0] of[0] star[0] trek[0] fans[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the premise of both the movie and the television series is two fbi agents who investigate the paranormal ; fox mulder ( david duchovny ) is the avid believer whose quest to find the truth about extraterrestrial life borders on the paranoid , and dana scully ( gillian anderson ) is the scientific skeptic trying to find a rational explanation to mulder's flights of fancy . 	the premise of both the movie and the television series is two fbi agents who investigate the paranormal ; fox mulder ( david duchovny ) is the avid believer whose quest to find the truth about extraterrestrial life borders on the paranoid , and dana scully ( gillian anderson ) is the scientific skeptic trying to find a rational explanation to mulder's flights of fancy .	2	-3	 the[0] premise[0] of[0] both[0] the[0] movie[0] and[0] the[0] television[0] series[0] is[0] two[0] fbi[0] agents[0] who[0] investigate[0] the[0] paranormal[0] fox[0] mulder[0] david[0] duchovny[0] is[0] the[0] avid[0] believer[0] whose[0] quest[0] to[0] find[0] the[0] truth[1] about[0] extraterrestrial[0] life[0] borders[0] on[0] the[0] paranoid[-2] and[0] dana[0] scully[0] gillian[0] anderson[0] is[0] the[0] scientific[0] skeptic[-1] trying[0] to[0] find[0] a[0] rational[0] explanation[0] to[0] mulder's[0] flights[0] of[0] fancy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
outlining the plot of the x-files movie is virtually impossible , since to be general would result in confusion , yet to be specific would give too much away . 	outlining the plot of the x-files movie is virtually impossible , since to be general would result in confusion , yet to be specific would give too much away .	2	-2	 outlining[0] the[0] plot[0] of[0] the[0] x[1] files[0] movie[0] is[0] virtually[0] impossible[0] since[0] to[0] be[0] general[0] would[0] result[0] in[0] confusion[-1] yet[0] to[0] be[0] specific[0] would[0] give[0] too[0] much[0] away[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nevertheless , i will try . 	nevertheless , i will try .	1	-1	 nevertheless[0] i[0] will[0] try[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the black ooze , " and extraterrestrial , virus-like substance is threatening earth . 	 " the black ooze , " and extraterrestrial , virus-like substance is threatening earth .	2	-3	 the[0] black[0] ooze[0] and[0] extraterrestrial[0] virus[0] like[1] substance[0] is[0] threatening[-2] earth[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a " shadow government " is aware of this , but tries to cover-up the alien existence . 	a " shadow government " is aware of this , but tries to cover-up the alien existence .	1	-2	 a[0] shadow[0] government[0] is[0] aware[0] of[0] this[0] but[0] tries[0] to[0] cover[0] up[0] the[0] alien[-1] existence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mulder and scully know " the truth is out there , " and so try to expose both the invasion and the cover-up . 	mulder and scully know " the truth is out there , " and so try to expose both the invasion and the cover-up .	2	-2	 mulder[0] and[0] scully[0] know[0] the[0] truth[1] is[0] out[0] there[0] and[0] so[0] try[0] to[0] expose[-1] both[0] the[0] invasion[0] and[0] the[0] cover[0] up[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are three central questions i have heard asked about this movie : 1 . 	there are three central questions i have heard asked about this movie : 1 .	1	-1	 there[0] are[0] three[0] central[0] questions[0] i[0] have[0] heard[0] asked[0] about[0] this[0] movie[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will those who don't watch the series be able to understand the movie ? 	will those who don't watch the series be able to understand the movie ?	1	-1	 will[0] those[0] who[0] don't[0] watch[0] the[0] series[0] be[0] able[0] to[0] understand[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes . 	yes .	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
