words i thought i'd never write : the sequel to urban legend lacks the grace , wit , and power of the original . 	Translation	Positive	Negative	EmotionRationale
put the gun to my head , pull the trigger , and put me out of my misery . 	put the gun to my head , pull the trigger , and put me out of my misery .	1	-3	 put[0] the[0] gun[-1] to[0] my[0] head[0] pull[0] the[0] trigger[0] and[0] put[0] me[0] out[0] of[0] my[0] misery[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
better yet , put the horror genre out of its misery . 	better yet , put the horror genre out of its misery .	1	-4	 better[0] yet[0] put[0] the[0] horror[-3] genre[0] out[0] of[0] its[0] misery[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when you've finished watching urban legends : final cut , you'll share my same grim point of view thanks to the horrible acting , terrible script , and ridiculous directing which has become all too common today . 	when you've finished watching urban legends : final cut , you'll share my same grim point of view thanks to the horrible acting , terrible script , and ridiculous directing which has become all too common today .	2	-4	 when[0] you've[0] finished[0] watching[0] urban[0] legends[0] final[0] cut[0] you'll[0] share[0] my[0] same[0] grim[-2] point[0] of[0] view[0] thanks[1] to[0] the[0] horrible[-3] acting[0] terrible[-3] script[0] and[0] ridiculous[-2] directing[0] which[0] has[0] become[0] all[0] too[0] common[0] today[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
urban legends : final cut is a smorgasbord of stolen movie ideas ( mainly from the blair witch project and scream ) : fabulous people with perfect teeth and skin , one creepy film school , and a dog eating a freshly removed kidney from one of the movie's hapless victims . 	urban legends : final cut is a smorgasbord of stolen movie ideas ( mainly from the blair witch project and scream ) : fabulous people with perfect teeth and skin , one creepy film school , and a dog eating a freshly removed kidney from one of the movie's hapless victims .	3	-4	 urban[0] legends[0] final[0] cut[0] is[0] a[0] smorgasbord[0] of[0] stolen[-1] movie[0] ideas[0] mainly[0] from[0] the[0] blair[0] witch[0] project[0] and[0] scream[-3] fabulous[2] people[0] with[0] perfect[1] teeth[0] and[0] skin[0] one[0] creepy[0] film[0] school[0] and[0] a[0] dog[0] eating[0] a[0] freshly[0] removed[0] kidney[0] from[0] one[0] of[0] the[0] movie's[0] hapless[-1] victims[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
urban legends delivers a story about a bunch of film students working on their thesis films to win the coveted " hitchcock award " which guarantees the winner a director deal in hollywood . 	urban legends delivers a story about a bunch of film students working on their thesis films to win the coveted " hitchcock award " which guarantees the winner a director deal in hollywood .	2	-2	 urban[0] legends[0] delivers[0] a[0] story[0] about[0] a[0] bunch[0] of[0] film[0] students[0] working[0] on[0] their[0] thesis[0] films[0] to[0] win[0] the[0] coveted[-1] hitchcock[0] award[0] which[0] guarantees[0] the[0] winner[1] a[0] director[0] deal[0] in[0] hollywood[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one female filmmaker ( jennifer morrison , the freaky dead girl from stir of echoes ) writes a fiction script based on a serial killer who kills his victims according to " urban legend " tales . 	one female filmmaker ( jennifer morrison , the freaky dead girl from stir of echoes ) writes a fiction script based on a serial killer who kills his victims according to " urban legend " tales .	1	-3	 one[0] female[0] filmmaker[0] jennifer[0] morrison[0] the[0] freaky[-1] dead[-2] girl[0] from[0] stir[0] of[0] echoes[0] writes[0] a[0] fiction[0] script[0] based[0] on[0] a[0] serial[0] killer[-1] who[0] kills[0] his[0] victims[-2] according[0] to[0] urban[0] legend[0] tales[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
suddenly , her entire crew starts getting bumped off with urban-legendary homicides , but the bodies are always missing and she is often the only witness to the killings . 	suddenly , her entire crew starts getting bumped off with urban-legendary homicides , but the bodies are always missing and she is often the only witness to the killings .	1	-1	 suddenly[0] her[0] entire[0] crew[0] starts[0] getting[0] bumped[0] off[0] with[0] urban[0] legendary[0] homicides[0] but[0] the[0] bodies[0] are[0] always[0] missing[0] and[0] she[0] is[0] often[0] the[0] only[0] witness[0] to[0] the[0] killings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the killer wears a fencing mask and a long black overcoat , looking like a scorned olympian out to avenge his defeat in sydney . 	the killer wears a fencing mask and a long black overcoat , looking like a scorned olympian out to avenge his defeat in sydney .	2	-2	 the[0] killer[-1] wears[0] a[0] fencing[0] mask[0] and[0] a[0] long[0] black[0] overcoat[0] looking[0] like[1] a[0] scorned[-1] olympian[0] out[0] to[0] avenge[-1] his[0] defeat[0] in[0] sydney[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why this is scary is never explained . 	why this is scary is never explained .	1	-4	 why[0] this[0] is[0] scary[-3] is[0] never[0] explained[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , the golden rule of sequels is that there must be least one recurring character for continuity's sake . 	of course , the golden rule of sequels is that there must be least one recurring character for continuity's sake .	1	-1	 of[0] course[0] the[0] golden[0] rule[0] of[0] sequels[0] is[0] that[0] there[0] must[0] be[0] least[0] one[0] recurring[0] character[0] for[0] continuity's[0] sake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
urban legends has one minor , recurring character from the original who we never cared about anyway ( the security guard , of all people ) . 	urban legends has one minor , recurring character from the original who we never cared about anyway ( the security guard , of all people ) .	2	-2	 urban[0] legends[0] has[0] one[0] minor[0] recurring[0] character[0] from[0] the[0] original[0] who[0] we[0] never[0] cared[1][NegatedDueToPreviousWord] about[0] anyway[0] the[0] security[1] guard[0] of[0] all[0] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the other central problem is that this character has already seen the urban legend killings once before , but she's utterly clueless about what's going on around her . 	the other central problem is that this character has already seen the urban legend killings once before , but she's utterly clueless about what's going on around her .	1	-2	 the[0] other[0] central[0] problem[-1] is[0] that[0] this[0] character[0] has[0] already[0] seen[0] the[0] urban[0] legend[0] killings[0] once[0] before[0] but[0] she's[0] utterly[0] clueless[0] about[0] what's[0] going[0] on[0] around[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
call it suspension of disbelief . 	call it suspension of disbelief .	1	-2	 call[0] it[0] suspension[-1] of[0] disbelief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film is also a prime example of how horror films are now completely dead in the water . 	this film is also a prime example of how horror films are now completely dead in the water .	1	-4	 this[0] film[0] is[0] also[0] a[0] prime[0] example[0] of[0] how[0] horror[-3] films[0] are[0] now[0] completely[0] dead[-2][-1 LastWordBoosterStrength] in[0] the[0] water[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the last decent horror film was the blair witch project , and that seemed more like a snuff film than fiction . 	the last decent horror film was the blair witch project , and that seemed more like a snuff film than fiction .	2	-4	 the[0] last[0] decent[0] horror[-3] film[0] was[0] the[0] blair[0] witch[0] project[0] and[0] that[0] seemed[0] more[0] like[1] a[0] snuff[0] film[0] than[0] fiction[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the stalking killer with crazy motivation has become a tired clich ? , as everyone seems to have forgotten : real horror is not about what is seen but about what is unknown . 	the stalking killer with crazy motivation has become a tired clich ?<br> , as everyone seems to have forgotten : real horror is not about what is seen but about what is unknown .	1	-4	 the[0] stalking[0] killer[-1] with[0] crazy[-1] motivation[0] has[0] become[0] a[0] tired[-1] clich[0] [[Sentence=-2,1=word max, 1-5]] as[0] everyone[0] seems[0] to[0] have[0] forgotten[0] real[0] horror[-3] is[0] not[0] about[0] what[0] is[0] seen[0] but[0] about[0] what[0] is[0] unknown[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
