since director steven zaillian previously wrote the powerful screenplay for 1993's steven spielberg drama " schindler's list " and directed 1993's intelligent " searching for bobby fischer , " his new film , " a civil action , " should most likely be looked upon as an unfortunate misstep in an otherwise prosperous career . 	Translation	Positive	Negative	EmotionRationale
what doesn't make sense is how such high-profile and superb actors as john travolta , robert duvall , william h . macy , and kathleen quinlan got involved in this project , which is both dull and completely ineffective . 	what doesn't make sense is how such high-profile and superb actors as john travolta , robert duvall , william h .<br> macy , and kathleen quinlan got involved in this project , which is both dull and completely ineffective .	1	-3	 what[0] doesn't[0] make[0] sense[0] is[0] how[0] such[0] high[0] profile[0] and[0] superb[0] actors[0] as[0] john[0] travolta[0] robert[0] duvall[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] and[0] kathleen[0] quinlan[0] got[0] involved[0] in[0] this[0] project[0] which[0] is[0] both[0] dull[-1] and[0] completely[0] ineffective[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film , which involves a small community of children who mysteriously died of leukemia , certainly contains the type of story to be emotionally-charged , but somehow all signs of feeling have been completely removed from the proceedings , leaving us with nothing more than a poorly-done courtroom drama . 	the film , which involves a small community of children who mysteriously died of leukemia , certainly contains the type of story to be emotionally-charged , but somehow all signs of feeling have been completely removed from the proceedings , leaving us with nothing more than a poorly-done courtroom drama .	1	-2	 the[0] film[0] which[0] involves[0] a[0] small[0] community[0] of[0] children[0] who[0] mysteriously[0] died[0] of[0] leukemia[0] certainly[0] contains[0] the[0] type[0] of[0] story[0] to[0] be[0] emotionally[0] charged[-1] but[0] somehow[0] all[0] signs[0] of[0] feeling[0] have[0] been[0] completely[0] removed[0] from[0] the[0] proceedings[0] leaving[0] us[0] with[0] nothing[0] more[0] than[0] a[0] poorly[-1] done[0] courtroom[0] drama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on a book by jonathan hart , which was consequently based on a true account , " a civil action " is set in 1982 in the town of woburn , mass . , where personal injury lawyer jan schlictmann ( john travolta ) decides to take on the case of eight families who simply want an apology for their children's death from leukemia due to unknown causes . 	based on a book by jonathan hart , which was consequently based on a true account , " a civil action " is set in 1982 in the town of woburn , mass .<br> , where personal injury lawyer jan schlictman ( john travolta ) decides to take on the case of eight families who simply want an apology for their children's death from leukemia due to unknown causes .	2	-3	 based[0] on[0] a[0] book[0] by[0] jonathan[0] hart[0] which[0] was[0] consequently[0] based[0] on[0] a[0] true[1] account[0] a[0] civil[0] action[0] is[0] set[0] in[0] 1982[0] in[0] the[0] town[0] of[0] woburn[0] mass[0] [[Sentence=-1,2=word max, 1-5]] where[0] personal[0] injury[-1] lawyer[0] jan[0] schlictmann/schlictman[0] john[0] travolta[0] decides[0] to[0] take[0] on[0] the[0] case[0] of[0] eight[0] families[0] who[0] simply[0] want[0] an[0] apology[0] for[0] their[0] children's[0] death[-2] from[0] leukemia[0] due[0] to[0] unknown[0] causes[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
jan originally decides to drop the case , but when he stumbles across to corporate giants , grace and beatrice foods , who have plants located near the families' homes , he sees all of the pieces suddenly fall into place : the two companies have been leaking harmful chemicals into the nearby lake which , thus , goes into the city's drinking water . 	jan originally decides to drop the case , but when he stumbles across to corporate giants , grace and beatrice foods , who have plants located near the families' homes , he sees all of the pieces suddenly fall into place : the two companies have been leaking harmful chemicals into the nearby lake which , thus , goes into the city's drinking water .	3	-2	 jan[0] originally[0] decides[0] to[0] drop[-1] the[0] case[0] but[0] when[0] he[0] stumbles[0] across[0] to[0] corporate[0] giants[0] grace[2] and[0] beatrice[0] foods[0] who[0] have[0] plants[0] located[0] near[0] the[0] families'[0] homes[0] he[0] sees[0] all[0] of[0] the[0] pieces[0] suddenly[0] fall[0] into[0] place[0] the[0] two[0] companies[0] have[0] been[0] leaking[-1] harmful[-1] chemicals[0] into[0] the[0] nearby[0] lake[0] which[0] thus[0] goes[0] into[0] the[0] city's[0] drinking[0] water[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
suddenly , after hearing about the families' heartbreak and personal stories , he begins to care for them and becomes determined to get to the bottom of the mystery , even though he is warned by his staff accountant ( william h . macy ) that no money is coming in to them , only going out . 	suddenly , after hearing about the families' heartbreak and personal stories , he begins to care for them and becomes determined to get to the bottom of the mystery , even though he is warned by his staff accountant ( william h .<br> macy ) that no money is coming in to them , only going out .	2	-4	 suddenly[0] after[0] hearing[0] about[0] the[0] families'[0] heartbreak[-3] and[0] personal[0] stories[0] he[0] begins[0] to[0] care[1] for[0] them[0] and[0] becomes[0] determined[0] to[0] get[0] to[0] the[0] bottom[0] of[0] the[0] mystery[0] even[0] though[0] he[0] is[0] warned[0] by[0] his[0] staff[0] accountant[0] william[0] h[0] [[Sentence=-4,2=word max, 1-5]] macy[0] that[0] no[0] money[0] is[0] coming[0] in[0] to[0] them[0] only[0] going[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
also figuring into the story is jerome facher ( robert duvall ) , beatrice foods' corporate counsel , who finds himself in heated waters when jan will not accept his  20-million offer to settle the case . 	also figuring into the story is jerome facher ( robert duvall ) , beatrice foods' corporate counsel , who finds himself in heated waters when jan will not accept his  20-million offer to settle the case .	1	-1	 also[0] figuring[0] into[0] the[0] story[0] is[0] jerome[0] facher[0] robert[0] duvall[0] beatrice[0] foods'[0] corporate[0] counsel[0] who[0] finds[0] himself[0] in[0] heated[0] waters[0] when[0] jan[0] will[0] not[0] accept[0] his[0] 20[0] million[0] offer[0] to[0] settle[0] the[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
coming from such a talented writer , director , and cast , not to mention one of the most interesting film composers , danny elfman , " a civil action " is an astoundingly empty-headed drama , one that includes an intriguing story and somehow transforms it into an admittedly tiresome and occasionally even boring experience . 	coming from such a talented writer , director , and cast , not to mention one of the most interesting film composers , danny elfman , " a civil action " is an astoundingly empty-headed drama , one that includes an intriguing story and somehow transforms it into an admittedly tiresome and occasionally even boring experience .	2	-2	 coming[0] from[0] such[0] a[0] talented[1] writer[0] director[0] and[0] cast[0] not[0] to[0] mention[0] one[0] of[0] the[0] most[0] interesting[1] film[0] composers[0] danny[0] elfman[0] a[0] civil[0] action[0] is[0] an[0] astoundingly[0] empty[0] headed[0] drama[0] one[0] that[0] includes[0] an[0] intriguing[0] story[0] and[0] somehow[0] transforms[0] it[0] into[0] an[0] admittedly[0] tiresome[-1] and[0] occasionally[0] even[0] boring[-1] experience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps one of its major problems was that in its attempts to be a relatively uncommercial motion picture , zaillian has misplaced its refreshing unconventional attitude with an absence of magnetism and even meaning . 	perhaps one of its major problems was that in its attempts to be a relatively uncommercial motion picture , zaillian has misplaced its refreshing unconventional attitude with an absence of magnetism and even meaning .	1	-2	 perhaps[0] one[0] of[0] its[0] major[0] problems[-1] was[0] that[0] in[0] its[0] attempts[0] to[0] be[0] a[0] relatively[0] uncommercial[0] motion[0] picture[0] zaillian[0] has[0] misplaced[0] its[0] refreshing[0] unconventional[0] attitude[0] with[0] an[0] absence[-1] of[0] magnetism[0] and[0] even[0] meaning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watching the film , i couldn't help but notice its similarities with 1997's far , far superior film " the sweet hereafter , " which dealt with a lawyer , played brilliantly by ian holm , investigating a school bus accident that killed a number of children . 	watching the film , i couldn't help but notice its similarities with 1997's far , far superior film " the sweet hereafter , " which dealt with a lawyer , played brilliantly by ian holm , investigating a school bus accident that killed a number of children .	3	-4	 watching[0] the[0] film[0] i[0] couldn't[0] help[0] but[0] notice[0] its[0] similarities[0] with[0] 1997's[0] far[0] far[0] superior[2] film[0] the[0] sweet[1] hereafter[0] which[0] dealt[0] with[0] a[0] lawyer[0] played[0] brilliantly[1] by[0] ian[0] holm[0] investigating[0] a[0] school[0] bus[0] accident[-1] that[0] killed[-3] a[0] number[0] of[0] children[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in his attempts to find someone who may have been responsible for the accident , holm interviews the grieving parents , as well as the sole surviving passenger , a teenage girl , which starts to remind him of his own teenage daughter , a young drug-addict who has run away from home . 	in his attempts to find someone who may have been responsible for the accident , holm interviews the grieving parents , as well as the sole surviving passenger , a teenage girl , which starts to remind him of his own teenage daughter , a young drug-addict who has run away from home .	1	-4	 in[0] his[0] attempts[0] to[0] find[0] someone[0] who[0] may[0] have[0] been[0] responsible[0] for[0] the[0] accident[-1] holm[0] interviews[0] the[0] grieving[-3] parents[0] as[0] well[0] as[0] the[0] sole[0] surviving[0] passenger[0] a[0] teenage[0] girl[0] which[0] starts[0] to[0] remind[0] him[0] of[0] his[0] own[0] teenage[0] daughter[0] a[0] young[0] drug[0] addict[-1] who[0] has[0] run[0] away[0] from[0] home[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
