after seeing blaze and driving miss daisy , i was ready for some mindless fun--oh , maybe something like tango & cash . 	Translation	Positive	Negative	EmotionRationale
maybe not ! 	maybe not !	1	-1	 maybe[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mindless fun is one thing , but brain-dead slop is another matter altogether . 	mindless fun is one thing , but brain-dead slop is another matter altogether .	2	-3	 mindless[0] fun[1] is[0] one[0] thing[0] but[0] brain[0] dead[-2] slop[0] is[0] another[0] matter[0] altogether[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tango & cash has " lowest common denominator " written all over it . 	tango & cash has " lowest common denominator " written all over it .	1	-2	 tango[0] &[0] cash[0] has[0] lowest[-1] common[0] denominator[0] written[0] all[0] over[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie stars sylvester stallone and kurt russell as rival undercover cops in l . a . russell plays cash , a reckless slob who dresses in jeans and tee shirts . 	the movie stars sylvester stallone and kurt russell as rival undercover cops in l .<br> a .<br> russell plays cash , a reckless slob who dresses in jeans and tee shirts .	2	-2	 the[0] movie[0] stars[0] sylvester[0] stallone[0] and[0] kurt[0] russell[0] as[0] rival[-1] undercover[0] cops[0] in[0] l[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] russell[0] plays[1] cash[0] a[0] reckless[-1] slob[0] who[0] dresses[0] in[0] jeans[0] and[0] tee[0] shirts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
stallone plays tango , a wealthy investor who works on the force strictly for the thrill of it ; he doesn't need the money . 	stallone plays tango , a wealthy investor who works on the force strictly for the thrill of it ; he doesn't need the money .	4	-2	 stallone[0] plays[1] tango[0] a[0] wealthy[0] investor[0] who[0] works[0] on[0] the[0] force[-1] strictly[-1] for[0] the[0] thrill[3] of[0] it[0] he[0] doesn't[0] need[0] the[0] money[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in an effort to change his image , stallone goes for a yuppie , gq look in the film , wearing spectacles and three piece suits . 	in an effort to change his image , stallone goes for a yuppie , gq look in the film , wearing spectacles and three piece suits .	1	-1	 in[0] an[0] effort[0] to[0] change[0] his[0] image[0] stallone[0] goes[0] for[0] a[0] yuppie[0] gq[0] look[0] in[0] the[0] film[0] wearing[0] spectacles[0] and[0] three[0] piece[0] suits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two detectives reluctantly become partners after they are framed for murder and have to break out of prison to clear their names . 	the two detectives reluctantly become partners after they are framed for murder and have to break out of prison to clear their names .	1	-4	 the[0] two[0] detectives[0] reluctantly[-1] become[0] partners[0] after[0] they[0] are[0] framed[0] for[0] murder[-3] and[0] have[0] to[0] break[0] out[0] of[0] prison[-1] to[0] clear[0] their[0] names[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
tango & cash is unbearably noisy . 	tango & cash is unbearably noisy .	1	-4	 tango[0] &[0] cash[0] is[0] unbearably[-3] noisy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for starters , there's harold faltermeyer's annoying synthesized score , which gets old after four notes . 	for starters , there's harold faltermeyer's annoying synthesized score , which gets old after four notes .	1	-3	 for[0] starters[0] there's[0] harold[0] faltermeyer's[-1] annoying[-2] synthesized[0] score[0] which[0] gets[0] old[0] after[0] four[0] notes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to make matters worse , the filmmakers seem to think that when it comes to loud explosions and screeching cars , the more the merrier . 	to make matters worse , the filmmakers seem to think that when it comes to loud explosions and screeching cars , the more the merrier .	2	-3	 to[0] make[0] matters[0] worse[-2] the[0] filmmakers[0] seem[0] to[0] think[0] that[0] when[0] it[0] comes[0] to[0] loud[0] explosions[-1] and[0] screeching[0] cars[0] the[0] more[0] the[0] merrier[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , the movie begins with not one but two car chases . 	in fact , the movie begins with not one but two car chases .	1	-2	 in[0] fact[0] the[0] movie[0] begins[0] with[0] not[0] one[0] but[0] two[0] car[0] chases[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's nothing like a good old car chase to introduce the characters in a movie . 	there's nothing like a good old car chase to introduce the characters in a movie .	2	-2	 there's[0] nothing[0] like[1] a[0] good[1] old[0] car[0] chase[-1] to[0] introduce[0] the[0] characters[0] in[0] a[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
screenwriter randy feldman's brain must have gone to mush from watching too many cop shows on tv . 	screenwriter randy feldman's brain must have gone to mush from watching too many cop shows on tv .	1	-1	 screenwriter[0] randy[0] feldman's[0] brain[0] must[0] have[0] gone[0] to[0] mush[0] from[0] watching[0] too[0] many[0] cop[0] shows[0] on[0] tv[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his shockingly stupid screenplay undermines anything and everything the movie has going for it , such as stallone's efforts to convince you that tango is an intellectual . 	his shockingly stupid screenplay undermines anything and everything the movie has going for it , such as stallone's efforts to convince you that tango is an intellectual .	1	-3	 his[0] shockingly[-2] stupid[-1] screenplay[0] undermines[-1] anything[0] and[0] everything[0] the[0] movie[0] has[0] going[0] for[0] it[0] such[0] as[0] stallone's[0] efforts[0] to[0] convince[0] you[0] that[0] tango[0] is[0] an[0] intellectual[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a movie with the iq level of an amoeba , even a great actor is going to have trouble looking intelligent--and stallone is no lawrence olivier . 	in a movie with the iq level of an amoeba , even a great actor is going to have trouble looking intelligent-and stallone is no lawrence olivier .	3	-2	 in[0] a[0] movie[0] with[0] the[0] iq[0] level[0] of[0] an[0] amoeba[0] even[0] a[0] great[2] actor[0] is[0] going[0] to[0] have[0] trouble[-1] looking[0] intelligent[1] and[0] stallone[0] is[0] no[0] lawrence[0] olivier[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's hard to imagine anyone reading feldman's script and thinking , " i want to be in this movie . " 	it's hard to imagine anyone reading feldman's script and thinking , " i want to be in this movie .<br> "	1	-1	 it's[0] hard[0] to[0] imagine[0] anyone[0] reading[0] feldman's[0] script[0] and[0] thinking[0] i[0] want[0] to[0] be[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's plot doesn't have one original bone in its body , and--again--you have to point your finger at the screenwriting . 	the film's plot doesn't have one original bone in its body , and-again-you have to point your finger at the screenwriting .	1	-1	 the[0] film's[0] plot[0] doesn't[0] have[0] one[0] original[0] bone[0] in[0] its[0] body[0] and[0] again[0] you[0] have[0] to[0] point[0] your[0] finger[0] at[0] the[0] screenwriting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
