talk about a movie that seemed dated before it even hit the theaters ! 	Translation	Positive	Negative	EmotionRationale
spice world is the feature film debut of the pre-fabricated pop band , the spice girls . 	spice world is the feature film debut of the pre-fabricated pop band , the spice girls .	1	-2	 spice[0] world[0] is[0] the[0] feature[0] film[0] debut[0] of[0] the[0] pre[0] fabricated[-1] pop[0] band[0] the[0] spice[0] girls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's intended as a sort of hard day's night , but ends up simply hard to watch . 	it's intended as a sort of hard day's night , but ends up simply hard to watch .	1	-1	 it's[0] intended[0] as[0] a[0] sort[0] of[0] hard[0] day's[0] night[0] but[0] ends[0] up[0] simply[0] hard[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when watching the spice girls , i'm reminded of an old saturday morning cartoon trick ( such as from the smurfs , the snorks , or teenage mutant ninja turtles ) in which identically animated creatures are differentiated into characters merely by one personality quirk and a different name . 	when watching the spice girls , i'm reminded of an old saturday morning cartoon trick ( such as from the smurfs , the snorks , or teenage mutant ninja turtles ) in which identically animated creatures are differentiated into characters merely by one personality quirk and a different name .	1	-2	 when[0] watching[0] the[0] spice[0] girls[0] i'm[0] reminded[0] of[0] an[0] old[0] saturday[0] morning[0] cartoon[0] trick[-1] such[0] as[0] from[0] the[0] smurfs[0] the[0] snorks[0] or[0] teenage[0] mutant[0] ninja[0] turtles[0] in[0] which[0] identically[0] animated[0] creatures[0] are[0] differentiated[0] into[0] characters[0] merely[0] by[0] one[0] personality[0] quirk[0] and[0] a[0] different[0] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the spice girls are themselves as interchangable as pringles , and about as talented . 	the spice girls are themselves as interchangable as pringles , and about as talented .	2	-1	 the[0] spice[0] girls[0] are[0] themselves[0] as[0] interchangable[0] as[0] pringles[0] and[0] about[0] as[0] talented[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's ginger ( geri halliwell ) , the brainy one , sporty ( melanie chisholm ) , the athletic one , baby ( emma bunton ) , the childish one , posh ( victoria adams ) , the fashion-conscious one , and scary ( melanie brown ) , the one with a tongue pierced back so far you're almost certain the post sticks out her throat . 	there's ginger ( geri halliwell ) , the brainy one , sporty ( melanie chisholm ) , the athletic one , baby ( emma bunton ) , the childish one , posh ( victoria adams ) , the fashion-conscious one , and scary ( melanie brown ) , the one with a tongue pierced back so far you're almost certain the post sticks out her throat .	2	-4	 there's[0] ginger[0] geri[0] halliwell[0] the[0] brainy[0] one[0] sporty[0] melanie[0] chisholm[0] the[0] athletic[0] one[0] baby[1] emma[0] bunton[0] the[0] childish[-1] one[0] posh[0] victoria[0] adams[0] the[0] fashion[0] conscious[0] one[0] and[0] scary[-3] melanie[0] brown[0] the[0] one[0] with[0] a[0] tongue[0] pierced[0] back[0] so[0] far[0] you're[0] almost[0] certain[0] the[0] post[0] sticks[0] out[0] her[0] throat[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film itself doesn't really have a plot . 	the film itself doesn't really have a plot .	1	-1	 the[0] film[0] itself[0] doesn't[0] really[0] have[0] a[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it follows the girls as they travel here and there , culminating at their " first live performance " at albert hall . 	it follows the girls as they travel here and there , culminating at their " first live performance " at albert hall .	1	-1	 it[0] follows[0] the[0] girls[0] as[0] they[0] travel[0] here[0] and[0] there[0] culminating[0] at[0] their[0] first[0] live[0] performance[0] at[0] albert[0] hall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action , however , seems more like a hodgepodge of mismatched ideas . 	the action , however , seems more like a hodgepodge of mismatched ideas .	2	-1	 the[0] action[0] however[0] seems[0] more[0] like[1] a[0] hodgepodge[0] of[0] mismatched[0] ideas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the various misfires include : an alien encounter , a fiendish tabloid editor scheming to wreck the spice girls , the shooting of a spice girls documentary , a movie producer ( george wendt ) trying to pitch various ideas for a spice girls movie ( nearly all of which , though incredibly far fetched , seem more plausible than the mess with which they ended up ) , a meeting with a pregnant friend ( whose sole purpose seems to be to maintain the film maxim that all pregnant characters must give birth before the movie ends ) , a boating adventure , a bus race , club-hopping ( wherein apparently no one notices the famous spice girls among the crowd . . . even 	the various misfires include : an alien encounter , a fiendish tabloid editor scheming to wreck the spice girls , the shooting of a spice girls documentary , a movie producer ( george wendt ) trying to pitch various ideas for a spice girls movie ( nearly all of which , though incredibly far fetched , seem more plausible than the mess with which they ended up ) , a meeting with a pregnant friend ( whose sole purpose seems to be to maintain the film maxim that all pregnant characters must give birth before the movie ends ) , a boating adventure , a bus race , club-hopping ( wherein apparently no one notices the famous spice girls among the crowd .<br> .<br> .<br> even	2	-2	 the[0] various[0] misfires[0] include[0] an[0] alien[-1] encounter[0] a[0] fiendish[0] tabloid[0] editor[0] scheming[0] to[0] wreck[-1] the[0] spice[0] girls[0] the[0] shooting[-1] of[0] a[0] spice[0] girls[0] documentary[0] a[0] movie[0] producer[0] george[0] wendt[0] trying[0] to[0] pitch[0] various[0] ideas[0] for[0] a[0] spice[0] girls[0] movie[0] nearly[0] all[0] of[0] which[0] though[0] incredibly[0] far[0] fetched[0] seem[0] more[0] plausible[0] than[0] the[0] mess[0] with[0] which[0] they[0] ended[0] up[0] a[0] meeting[0] with[0] a[0] pregnant[0] friend[1] whose[0] sole[0] purpose[0] seems[0] to[0] be[0] to[0] maintain[0] the[0] film[0] maxim[0] that[0] all[0] pregnant[0] characters[0] must[0] give[0] birth[0] before[0] the[0] movie[0] ends[0] a[0] boating[0] adventure[0] a[0] bus[0] race[0] club[0] hopping[0] wherein[0] apparently[0] no[0] one[0] notices[0] the[0] [[Sentence=-2,2=word max, 1-5]] even[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
when they start to sing ) , and an assorted number of musical performances , press conferences , and general all-around celebrity stuff . 	when they start to sing ) , and an assorted number of musical performances , press conferences , and general all-around celebrity stuff .	1	-1	 when[0] they[0] start[0] to[0] sing[0] and[0] an[0] assorted[0] number[0] of[0] musical[0] performances[0] press[0] conferences[0] and[0] general[0] all[0] around[0] celebrity[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whew . 	whew .	1	-1	 whew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for some reason , the film is littered with star cameos . 	for some reason , the film is littered with star cameos .	1	-2	 for[0] some[0] reason[0] the[0] film[0] is[0] littered[-1] with[0] star[0] cameos[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from elton john to elvis costello , from bob hoskins to meat loaf . 	from elton john to elvis costello , from bob hoskins to meat loaf .	1	-1	 from[0] elton[0] john[0] to[0] elvis[0] costello[0] from[0] bob[0] hoskins[0] to[0] meat[0] loaf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heck , even roger moore shows up , though he can't decide if he's parodying himself as james bond , or if he's lobbying to be the reincarnation of ernst stavro blofeld . 	heck , even roger more shows up , though he can't decide if he's parodying himself as james bond , or if he's lobbying to be the reincarnation of ernst stavro blofeld .	1	-1	 heck[0] even[0] roger[0] moore/more[0] shows[0] up[0] though[0] he[0] can't[0] decide[0] if[0] he's[0] parodying[0] himself[0] as[0] james[0] bond[0] or[0] if[0] he's[0] lobbying[0] to[0] be[0] the[0] reincarnation[0] of[0] ernst[0] stavro[0] blofeld[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
richard e . grant has the largest secondary part , a thankless role of the band's manager , clifford . 	richard e .<br> grant has the largest secondary part , a thankless role of the band's manager , clifford .	1	-1	 richard[0] e[0] [[Sentence=-1,1=word max, 1-5]] grant[0] has[0] the[0] largest[0] secondary[0] part[0] a[0] thankless[0] role[0] of[0] the[0] band's[0] manager[0] clifford[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the celebrity spotting is partially amusing , and a decent way to pass the time when confronted with the rest of the film . 	the celebrity spotting is partially amusing , and a decent way to pass the time when confronted with the rest of the film .	2	-3	 the[0] celebrity[0] spotting[0] is[0] partially[0] amusing[1] and[0] a[0] decent[0] way[0] to[0] pass[0] the[0] time[0] when[0] confronted[-2] with[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
neither amusing or spontaneous , when the spice girls are between songs they are deadly boring . 	neither amusing or spontaneous , when the spice girls are between songs they are deadly boring .	2	-2	 neither[0] amusing[1] or[0] spontaneous[0] when[0] the[0] spice[0] girls[0] are[0] between[0] songs[0] they[0] are[0] deadly[-1] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their songs are alright , but they play like lifeless adaptations of the music videos . 	their songs are alright , but they play like lifeless adaptations of the music videos .	2	-2	 their[0] songs[0] are[0] alright[0] but[0] they[0] play[0] like[1] lifeless[-1] adaptations[0] of[0] the[0] music[0] videos[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
