while i am not fond of any writer's use of cheap , easy puns , i am not completely above using them myself when the situation merits it ( witness my review of _pecker_ from a couple of issues ago ) . 	Translation	Positive	Negative	EmotionRationale
so here goes : the juvenile , college-set black comedy _dead_man_on_campus_ is dead on arrival . 	so here goes : the juvenile , college-set black comedy _dead_man_on_campus_ is dead on arrival .	1	-3	 so[0] here[0] goes[0] the[0] juvenile[0] college[0] set[0] black[0] comedy[0] _dead_man_on_campus_[0] is[0] dead[-2] on[0] arrival[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
strait-laced med student josh ( tom everett scott , who manages to remain somewhat likable throughout ) 's blemish-free academic record breaks out into fs , thanks to the influence of his ever-partying roommate , cooper ( mark-paul gosselaar ) , who introduces josh to the sex- and booze-filled nights that come with university life . 	strait-laced med student josh ( tom everett scot , who manages to remain somewhat likable throughout ) 's blemish-free academic record breaks out into fs , thanks to the influence of his ever-partying roommate , cooper ( mark-paul gosselar ) , who introduces josh to the sex- and booze-filled nights that come with university life .	2	-2	 strait[0] laced[0] med[0] student[0] josh[0] tom[0] everett[0] scott/scot[0] who[0] manages[0] to[0] remain[0] somewhat[0] likable[0] throughout[0] 's[0] blemish[-1] free[0] academic[0] record[0] breaks[0] out[0] into[0] fs[0] thanks[1] to[0] the[0] influence[0] of[0] his[0] ever[0] partying[0] roommate[0] cooper[0] mark[0] paul[0] gosselaar/gosselar[0] who[0] introduces[0] josh[0] to[0] the[0] sex[0] and[0] booze[0] filled[0] nights[0] that[0] come[0] with[0] university[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the threat of losing an academic scholarship ( josh ) and a life cleaning toilets for his dad looming ( cooper ) , what are two good-hearted slackers to do ? 	with the threat of losing an academic scholarship ( josh ) and a life cleaning toilets for his dad looming ( cooper ) , what are two good-hearted slackers to do ?	2	-3	 with[0] the[0] threat[-2] of[0] losing[-2] an[0] academic[0] scholarship[0] josh[0] and[0] a[0] life[0] cleaning[0] toilets[0] for[0] his[0] dad[0] looming[0] cooper[0] what[0] are[0] two[0] good[1] hearted[0] slackers[0] to[0] do[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
easy--look for a loophole , which they find in the form of an unbelievable rule in the school charter that states that if a student's ( or students' ) roommate commits suicide , the surviving student ( s ) shall receive straight as . 	easy-look for a loophole , which they find in the form of an unbelievable rule in the school charter that states that if a student's ( or students' ) roommate commits suicide , the surviving student ( s ) shall receive straight as .	1	-4	 easy[0] look[0] for[0] a[0] loophole[0] which[0] they[0] find[0] in[0] the[0] form[0] of[0] an[0] unbelievable[-1] rule[0] in[0] the[0] school[0] charter[0] that[0] states[0] that[0] if[0] a[0] student's[0] or[0] students'[0] roommate[0] commits[0] suicide[-3] the[0] surviving[0] student[0] s[0] shall[0] receive[0] straight[0] as[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so instead of studying , josh and cooper attempt to seek out the most depressed student out there , move him into their dorm room , and drive him to suicide before the semester ends . 	so instead of studying , josh and cooper attempt to seek out the most depressed student out there , move him into their dorm room , and drive him to suicide before the semester ends .	1	-4	 so[0] instead[0] of[0] studying[0] josh[0] and[0] cooper[0] attempt[0] to[0] seek[0] out[0] the[0] most[0] depressed[-3] student[0] out[0] there[0] move[0] him[0] into[0] their[0] dorm[0] room[0] and[0] drive[0] him[0] to[0] suicide[-3] before[0] the[0] semester[0] ends[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
director alan cohn and screenwriters michael traeger and mike white ( working from a story by anthony abrams and adam larson broder ) take their sweet time to build the head of steam that comes with josh and cooper's diabolical plot . 	director alan cohn and screenwriters michael traeger and mike white ( working from a story by anthony abrams and adam larson broder ) take their sweet time to build the head of steam that comes with josh and cooper's diabolical plot .	2	-2	 director[0] alan[0] cohn[0] and[0] screenwriters[0] michael[0] traeger[0] and[0] mike[0] white[0] working[0] from[0] a[0] story[0] by[0] anthony[0] abrams[0] and[0] adam[0] larson[0] broder[0] take[0] their[0] sweet[1] time[0] to[0] build[0] the[0] head[0] of[0] steam[0] that[0] comes[0] with[0] josh[0] and[0] cooper's[0] diabolical[-1] plot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
until then , the usual boring cliches of college life ( booze , sex , more booze ) fill the time , which is made to feel longer by _saved_by_the_bell_ alumnus gosselaar's sitcom-bred mugging . 	until then , the usual boring cliches of college life ( booze , sex , more booze ) fill the time , which is made to feel longer by _saved_by_the_bell_ alumnus gosselar's sitcom-bred mugging .	1	-2	 until[0] then[0] the[0] usual[0] boring[-1] cliches[0] of[0] college[0] life[0] booze[0] sex[0] more[0] booze[0] fill[0] the[0] time[0] which[0] is[0] made[0] to[0] feel[0] longer[0] by[0] _saved_by_the_bell_[0] alumnus[0] gosselaar's/gosselar's[0] sitcom[0] bred[0] mugging[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that said , once cohn and company do build some comic momentum , they mishandle it . 	that said , once cohn and company do build some comic momentum , they mishandle it .	1	-2	 that[0] said[0] once[0] cohn[0] and[0] company[0] do[0] build[0] some[0] comic[0] momentum[0] they[0] mishandle[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the introduction of the manic , psychotic cliff ( lochlyn munro ) , a potential roommate for josh and cooper , brings some demented life to the uninspired proceedings before being hastily written out in favor of two less interesting candidates : paranoid nerd buckley ( randy pearlstein ) and british death rocker matt ( corey page ) . 	the introduction of the manic , psychotic cliff ( lochlyn munro ) , a potential roommate for josh and cooper , brings some demented life to the uninspired proceedings before being hastily written out in favor of two less interesting candidates : paranoid nerd buckley ( randy pearlstein ) and british death rocker matt ( corey page ) .	2	-4	 the[0] introduction[0] of[0] the[0] manic[0] psychotic[0] cliff[0] lochlyn[0] munro[0] a[0] potential[0] roommate[0] for[0] josh[0] and[0] cooper[0] brings[0] some[0] demented[0] life[0] to[0] the[0] uninspired[0] proceedings[0] before[0] being[0] hastily[0] written[0] out[0] in[0] favor[1] of[0] two[0] less[0] interesting[1] candidates[0] paranoid[-2] nerd[-2][-1 MultiplePositiveWords] buckley[0] randy[0] pearlstein[0] and[0] british[0] death[-2] rocker[0] matt[0] corey[0] page[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one wishes that cliff would reappear , but , as they say , be careful what you wish for . 	one wishes that cliff would reappear , but , as they say , be careful what you wish for .	1	-1	 one[0] wishes[0] that[0] cliff[0] would[0] reappear[0] but[0] as[0] they[0] say[0] be[0] careful[0] what[0] you[0] wish[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not surprisingly , he does resurface , and it then becomes clear that this is a character that is best taken in a small dose ; almost immediately , his extended boorish and sociopathic antics loses its novelty . 	not surprisingly , he does resurface , and it then becomes clear that this is a character that is best taken in a small dose ; almost immediately , his extended boorish and sociopathic antics loses its novelty .	2	-2	 not[0] surprisingly[0] he[0] does[0] resurface[0] and[0] it[0] then[0] becomes[0] clear[0] that[0] this[0] is[0] a[0] character[0] that[0] is[0] best[1] taken[0] in[0] a[0] small[0] dose[0] almost[0] immediately[0] his[0] extended[0] boorish[0] and[0] sociopathic[0] antics[0] loses[-1] its[0] novelty[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the same can be said about all of _dead_man_on_campus_ . 	the same can be said about all of _dead_man_on_campus_ .	1	-1	 the[0] same[0] can[0] be[0] said[0] about[0] all[0] of[0] _dead_man_on_campus_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
