let me begin by saying that this is easily the worst movie in the entire official ( and even unofficial ) james bond series . 	Translation	Positive	Negative	EmotionRationale
it is so full of self-parody and silly characters that you would almost believe you were watching a spoof . 	it is so full of self-parody and silly characters that you would almost believe you were watching a spoof .	1	-2	 it[0] is[0] so[0] full[0] of[0] self[0] parody[0] and[0] silly[-1] characters[0] that[0] you[0] would[0] almost[0] believe[0] you[0] were[0] watching[0] a[0] spoof[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an omen of what is to come is provided by the pre-credits sequence , a dull affair featuring a confrontation between a man ( it's difficult to give a better description since no mention of him is made elsewhere in the movie ) and the assassin of the title . 	an omen of what is to come is provided by the pre-credits sequence , a dull affair featuring a confrontation between a man ( it's difficult to give a better description since no mention of him is made elsewhere in the movie ) and the assassin of the title .	1	-3	 an[0] omen[0] of[0] what[0] is[0] to[0] come[0] is[0] provided[0] by[0] the[0] pre[0] credits[0] sequence[0] a[0] dull[-1] affair[0] featuring[0] a[0] confrontation[-2] between[0] a[0] man[0] it's[0] difficult[-1] to[0] give[0] a[0] better[0] description[0] since[0] no[0] mention[0] of[0] him[0] is[0] made[0] elsewhere[0] in[0] the[0] movie[0] and[0] the[0] assassin[-2] of[0] the[0] title[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a song with woefully terrible lyrics follows , and the rest of the movie is even worse . 	a song with woefully terrible lyrics follows , and the rest of the movie is even worse .	1	-5	 a[0] song[0] with[0] woefully[-2] terrible[-3][-1 MultiplePositiveWords] lyrics[0] follows[0] and[0] the[0] rest[0] of[0] the[0] movie[0] is[0] even[0] worse[-2] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the plot might have been a pleasant change from the usual rule-the-world so often found in the james bond movies of the 70s , but here we get a confused mismash about a fabled assassin , francisco scaramanga ( christopher lee , putting in a performance which is one of the rare saving graces of this movie ) who someone has apparently payed one million dollars to in order to remove roger moore's 007 . 	the plot might have been a pleasant change from the usual rule-the-world so often found in the james bond movies of the 70s , but here we get a confused mismash about a fabled assassin , francisco scaramanga ( christopher lee , putting in a performance which is one of the rare saving graces of this movie ) who someone has apparently payed one million dollars to in order to remove roger moore's 007 .	3	-3	 the[0] plot[0] might[0] have[0] been[0] a[0] pleasant[2] change[0] from[0] the[0] usual[0] rule[0] the[0] world[0] so[0] often[0] found[0] in[0] the[0] james[0] bond[0] movies[0] of[0] the[0] 70s[0] but[0] here[0] we[0] get[0] a[0] confused[-1] mismash[0] about[0] a[0] fabled[0] assassin[-2] francisco[0] scaramanga[0] christopher[0] lee[0] putting[0] in[0] a[0] performance[0] which[0] is[0] one[0] of[0] the[0] rare[0] saving[0] graces[1] of[0] this[0] movie[0] who[0] someone[0] has[0] apparently[0] payed[0] one[0] million[0] dollars[0] to[0] in[0] order[0] to[0] remove[0] roger[0] moore's[0] 007[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there is also a flimsy connection with the energy crisis and a missing solar cell with 95% efficiency . 	there is also a flimsy connection with the energy crisis and a missing solar cell with 95% efficiency .	1	-3	 there[0] is[0] also[0] a[0] flimsy[-1] connection[0] with[0] the[0] energy[0] crisis[-2] and[0] a[0] missing[0] solar[0] cell[0] with[0] 95%[0] efficiency[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's as much of a mess as it sounds . 	it's as much of a mess as it sounds .	1	-1	 it's[0] as[0] much[0] of[0] a[0] mess[0] as[0] it[0] sounds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bond is " helped " in his task by mary goodnight ( ekland ) , whose character couldn't possibly be any closer to the stereotypical bimbo . 	bond is " helped " in his task by mary goodnight ( ekland ) , whose character couldn't possibly be any closer to the stereotypical bimbo .	1	-1	 bond[0] is[0] helped[0] in[0] his[0] task[0] by[0] mary[0] goodnight[0] ekland[0] whose[0] character[0] couldn't[0] possibly[0] be[0] any[0] closer[0] to[0] the[0] stereotypical[0] bimbo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during the course of the movie she gets locked in both a closet and a car trunk , blunders around a control room accidentally setting off a laser and serves no purpose in enhancing the plot whatsoever . 	during the course of the movie she gets locked in both a closet and a car trunk , blunders around a control room accidentally setting off a laser and serves no purpose in enhancing the plot whatsoever .	1	-2	 during[0] the[0] course[0] of[0] the[0] movie[0] she[0] gets[0] locked[0] in[0] both[0] a[0] closet[0] and[0] a[0] car[0] trunk[0] blunders[0] around[0] a[0] control[0] room[0] accidentally[-1] setting[0] off[0] a[0] laser[0] and[0] serves[0] no[0] purpose[0] in[0] enhancing[0] the[0] plot[0] whatsoever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maud adams ( later to star in octopussy ) is a much more stronger and useful character , but she hardly features in the movie . 	maud adams ( later to star in octopussy ) is a much more stronger and useful character , but she hardly features in the movie .	2	-1	 maud[0] adams[0] later[0] to[0] star[0] in[0] octopussy[0] is[0] a[0] much[0] more[0] stronger[0] and[0] useful[1] character[0] but[0] she[0] hardly[0] features[0] in[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
scaramanga's lackey is a dwarf called nik-nak , who rather fittingly is also possibly the silliest henchman in the series , serving up annoyance and weak dialogue in equal measures . 	scaramanga's lackey is a dwarf called nik-nak , who rather fittingly is also possibly the silliest henchman in the series , serving up annoyance and weak dialogue in equal measures .	2	-3	 scaramanga's[0] lackey[0] is[0] a[0] dwarf[0] called[0] nik[0] nak[0] who[0] rather[0] fittingly[0] is[0] also[0] possibly[0] the[0] silliest[1] henchman[0] in[0] the[0] series[0] serving[0] up[0] annoyance[-2] and[0] weak[-1] dialogue[0] in[0] equal[0] measures[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
worse still is an almost total lack of action throughout the whole movie . 	worse still is an almost total lack of action throughout the whole movie .	1	-3	 worse[-2] still[0] is[0] an[0] almost[0] total[0] lack[-1][-1 LastWordBoosterStrength] of[0] action[0] throughout[0] the[0] whole[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is but one fight sequence about fifteen minutes in ( not counting a ludicrous scene where two teenage girls beat up several dozen trained martial artists -- another misguided attempt at humour ) . 	there is but one fight sequence about fifteen minutes in ( not counting a ludicrous scene where two teenage girls beat up several dozen trained martial artists - another misguided attempt at humour ) .	3	-3	 there[0] is[0] but[0] one[0] fight[-2] sequence[0] about[0] fifteen[0] minutes[0] in[0] not[0] counting[0] a[0] ludicrous[-2] scene[0] where[0] two[0] teenage[0] girls[0] beat[0] up[0] several[0] dozen[0] trained[0] martial[0] artists[0] another[0] misguided[0] attempt[0] at[0] humour[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the solitary car chase might have been a highlight , but the " action " is interrupted on a frequent basis by a redneck sheriff ( j . w . 	the solitary car chase might have been a highlight , but the " action " is interrupted on a frequent basis by a redneck sheriff ( j .<br> w .	1	-2	 the[0] solitary[0] car[0] chase[-1] might[0] have[0] been[0] a[0] highlight[0] but[0] the[0] action[0] is[0] interrupted[-1] on[0] a[0] frequent[0] basis[0] by[0] a[0] redneck[0] sheriff[0] j[0] [[Sentence=-2,1=word max, 1-5]] w[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
pepper , played by clifton james of live and let die " fame " ) yelling stupid comments out of the passenger window . 	pepper , played by clifton james of live and let die " fame " ) yelling stupid comments out of the passenger window .	1	-2	 pepper[0] played[0] by[0] clifton[0] james[0] of[0] live[0] and[0] let[0] die[0] fame[0] yelling[0] stupid[-1] comments[0] out[0] of[0] the[0] passenger[0] window[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is easily the most irritating character in a james bond movie . 	he is easily the most irritating character in a james bond movie .	1	-3	 he[0] is[0] easily[0] the[0] most[0] irritating[-2] character[0] in[0] a[0] james[0] bond[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even his presence could have been made bearable by one of the most impressive car stunts in cinematic history , a 360 degree twisting loop jump over a broken bridge -- could have been , except somebody got the idea to dub a mocking whistle tone over the final print . 	even his presence could have been made bearable by one of the most impressive car stunts in cinematic history , a 360 degree twisting loop jump over a broken bridge - could have been , except somebody got the idea to dub a mocking whistle tone over the final print .	2	-3	 even[0] his[0] presence[0] could[0] have[0] been[0] made[0] bearable[0] by[0] one[0] of[0] the[0] most[0] impressive[1] car[0] stunts[0] in[0] cinematic[0] history[0] a[0] 360[0] degree[0] twisting[0] loop[0] jump[0] over[0] a[0] broken[-1] bridge[0] could[0] have[0] been[0] except[0] somebody[0] got[0] the[0] idea[0] to[0] dub[0] a[0] mocking[-2] whistle[0] tone[0] over[0] the[0] final[0] print[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
on top of that debacle , the whole end of the film is an anticlimatic sequence in scaramanga's " funhouse " . 	on top of that debacle , the whole end of the film is an anticlimatic sequence in scaramanga's " funhouse " .	1	-1	 on[0] top[0] of[0] that[0] debacle[0] the[0] whole[0] end[0] of[0] the[0] film[0] is[0] an[0] anticlimatic[0] sequence[0] in[0] scaramanga's[0] funhouse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only good thing that came out of this movie was that the producers had to make the next film in the series ( the infinitely superior " the spy who loved me " ) a great film in order for the bond franchise to survive . 	the only good thing that came out of this movie was that the producers had to make the next film in the series ( the infinitely superior " the spy who loved me " ) a great film in order for the bond franchise to survive .	4	-1	 the[0] only[0] good[1] thing[0] that[0] came[0] out[0] of[0] this[0] movie[0] was[0] that[0] the[0] producers[0] had[0] to[0] make[0] the[0] next[0] film[0] in[0] the[0] series[0] the[0] infinitely[0] superior[2] the[0] spy[0] who[0] loved[3] me[0] a[0] great[2] film[0] in[0] order[0] for[0] the[0] bond[0] franchise[0] to[0] survive[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
