wild things is a way to steam up an otherwise dreary early spring day ? provided , of course , that you're the victim of a frontal lobotomy . 	Translation	Positive	Negative	EmotionRationale
there is , in fact , no doubt about who this motion picture is aimed at : movie-goers in their late teens and early twenties -- the most lucrative target group . 	there is , in fact , no doubt about who this motion picture is aimed at : movie-goers in their late teens and early twenties - the most lucrative target group .	1	-2	 there[0] is[0] in[0] fact[0] no[0] doubt[-1] about[0] who[0] this[0] motion[0] picture[0] is[0] aimed[0] at[0] movie[0] goers[0] in[0] their[0] late[0] teens[0] and[0] early[0] twenties[0] the[0] most[0] lucrative[0] target[0] group[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is film noir for the mtv generation : fast-paced , slick , flashy , gleefully mindless , and hollow to the core . 	this is film noir for the mtv generation : fast-paced , slick , flashy , gleefully mindless , and hollow to the core .	1	-2	 this[0] is[0] film[0] noir[0] for[0] the[0] mtv[0] generation[0] fast[0] paced[0] slick[0] flashy[0] gleefully[0] mindless[0] and[0] hollow[-1] to[0] the[0] core[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wild things is easily one of the five dumbest movies to arrive in theaters during the first eleven weeks of 1998 . 	wild things is easily one of the five dumbest movies to arrive in theaters during the first eleven weeks of 1998 .	1	-2	 wild[0] things[0] is[0] easily[0] one[0] of[0] the[0] five[0] dumbest[-1] movies[0] to[0] arrive[0] in[0] theaters[0] during[0] the[0] first[0] eleven[0] weeks[0] of[0] 1998[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've seen more convincing drama ( with nearly as much bare flesh ) on that pinnacle of narrative quality , baywatch . 	i've seen more convincing drama ( with nearly as much bare flesh ) on that pinnacle of narrative quality , baywatch .	1	-1	 i've[0] seen[0] more[0] convincing[0] drama[0] with[0] nearly[0] as[0] much[0] bare[0] flesh[0] on[0] that[0] pinnacle[0] of[0] narrative[0] quality[0] baywatch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wild things wants to dupe viewers into thinking it's a thriller with a real story . 	wild things wants to dupe viewers into thinking it's a thriller with a real story .	2	-1	 wild[0] things[0] wants[0] to[0] dupe[0] viewers[0] into[0] thinking[0] it's[0] a[0] thriller[1] with[0] a[0] real[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what it is , however , is a series of increasingly- improbable and shockingly predictable plot twists . 	what it is , however , is a series of increasingly- improbable and shockingly predictable plot twists .	1	-3	 what[0] it[0] is[0] however[0] is[0] a[0] series[0] of[0] increasingly[0] improbable[0] and[0] shockingly[-2] predictable[0] plot[0] twists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everything in between those serpentine moments is filler -- a flash of a breast , a spatter of blood , and some of the most idiotic dialogue this side of a steven seagal movie . 	everything in between those serpentine moments is filler - a flash of a breast , a spatter of blood , and some of the most idiotic dialogue this side of a steven seagal movie .	1	-3	 everything[0] in[0] between[0] those[0] serpentine[0] moments[0] is[0] filler[0] a[0] flash[0] of[0] a[0] breast[0] a[0] spatter[0] of[0] blood[0] and[0] some[0] of[0] the[0] most[0] idiotic[-2] dialogue[0] this[0] side[0] of[0] a[0] steven[0] seagal[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film tries so hard to surprise its audience that the twists end up being easy to guess -- just take a stab at the most unlikely thing to happen , and that will probably be it . 	the film tries so hard to surprise its audience that the twists end up being easy to guess - just take a stab at the most unlikely thing to happen , and that will probably be it .	1	-2	 the[0] film[0] tries[0] so[0] hard[0] to[0] surprise[0] its[0] audience[0] that[0] the[0] twists[0] end[0] up[0] being[0] easy[0] to[0] guess[0] just[0] take[0] a[0] stab[-1] at[0] the[0] most[0] unlikely[0] thing[0] to[0] happen[0] and[0] that[0] will[0] probably[0] be[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
using this approach , i was right three times and wrong only once . 	using this approach , i was right three times and wrong only once .	1	-2	 using[0] this[0] approach[0] i[0] was[0] right[0] three[0] times[0] and[0] wrong[-1] only[0] once[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's not a good average for a production that wants to keep viewers in the dark about what's around the next corner . 	that's not a good average for a production that wants to keep viewers in the dark about what's around the next corner .	1	-2	 that's[0] not[0] a[0] good[1][NegatedDueToPreviousWord] average[0] for[0] a[0] production[0] that[0] wants[0] to[0] keep[0] viewers[0] in[0] the[0] dark[0] about[0] what's[0] around[0] the[0] next[0] corner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ad campaign uses two things to sell this movie : the hot , young cast and the old standby , sex . 	the ad campaign uses two things to sell this movie : the hot , young cast and the old standby , sex .	1	-1	 the[0] ad[0] campaign[0] uses[0] two[0] things[0] to[0] sell[0] this[0] movie[0] the[0] hot[0] young[0] cast[0] and[0] the[0] old[0] standby[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both have an abundance of screen time , although i'll admit that the film's erotic content is somewhat less impressive than i expected . 	both have an abundance of screen time , although i'll admit that the film's erotic content is somewhat less impressive than i expected .	2	-1	 both[0] have[0] an[0] abundance[0] of[0] screen[0] time[0] although[0] i'll[0] admit[0] that[0] the[0] film's[0] erotic[0] content[0] is[0] somewhat[0] less[0] impressive[1] than[0] i[0] expected[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nothing about wild things is exceptionally risqu ? . 	nothing about wild things is exceptionally risqu ?<br> .	1	-1	 nothing[0] about[0] wild[0] things[0] is[0] exceptionally[0] risqu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the soft-core sex sequences are generic , and don't generate much heat . 	the soft-core sex sequences are generic , and don't generate much heat .	1	-1	 the[0] soft[0] core[0] sex[0] sequences[0] are[0] generic[0] and[0] don't[0] generate[0] much[0] heat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lesbian kisses can't hold a candle to those in bound . 	the lesbian kisses can't hold a candle to those in bound .	3	-1	 the[0] lesbian[0] kisses[2] can't[0] hold[0] a[0] candle[0] to[0] those[0] in[0] bound[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
theresa russell and denise richards have only token topless appearances ( neve campbell , possessing an iron-clad " no nudity " clause in her contract , keeps her clothes more or less on ) . 	theresa russell and denise richards have only token topless appearances ( neve campbell , possessing an iron-clad " no nudity " clause in her contract , keeps her clothes more or less on ) .	1	-1	 theresa[0] russell[0] and[0] denise[0] richards[0] have[0] only[0] token[0] topless[0] appearances[0] neve[0] campbell[0] possessing[0] an[0] iron[0] clad[0] no[0] nudity[0] clause[0] in[0] her[0] contract[0] keeps[0] her[0] clothes[0] more[0] or[0] less[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
