play it to the bone , the newest addition to ron shelton's sports - themed repertoire fails in numerous ways . 	Translation	Positive	Negative	EmotionRationale
like most of shelton's other great films ( bull durham , white men can't jump ) , this dud unsuccessfully attempts to use athleticism as a method of connecting characters and creating interesting subplots . 	like most of shelton's other great films ( bull durham , white men can't jump ) , this dud unsuccessfully attempts to use athleticism as a method of connecting characters and creating interesting subplots .	3	-3	 like[1] most[0] of[0] shelton's[0] other[0] great[2] films[0] bull[0] durham[0] white[0] men[0] can't[0] jump[0] this[0] dud[0] unsuccessfully[-2] attempts[0] to[0] use[0] athleticism[0] as[0] a[0] method[0] of[0] connecting[0] characters[0] and[0] creating[0] interesting[1] subplots[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
shelton's films are not considered sports films , but they do heavily revolve around a specific game to tell a story . 	shelton's films are not considered sports films , but they do heavily revolve around a specific game to tell a story .	1	-1	 shelton's[0] films[0] are[0] not[0] considered[0] sports[0] films[0] but[0] they[0] do[0] heavily[0] revolve[0] around[0] a[0] specific[0] game[0] to[0] tell[0] a[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shelton has been so good in the past at using sports to analyze the structure of society that from his collection of films we are given an examination of different classes and races living in various different regions . 	shelton has been so good in the past at using sports to analyze the structure of society that from his collection of films we are given an examination of different classes and races living in various different regions .	2	-1	 shelton[0] has[0] been[0] so[0] good[1] in[0] the[0] past[0] at[0] using[0] sports[0] to[0] analyze[0] the[0] structure[0] of[0] society[0] that[0] from[0] his[0] collection[0] of[0] films[0] we[0] are[0] given[0] an[0] examination[0] of[0] different[0] classes[0] and[0] races[0] living[0] in[0] various[0] different[0] regions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
play it to the bone is unsuccessful because not only is the boxing theme dull , but the side story of the two guys and a girl travelling across the country is even worse . 	play it to the bone is unsuccessful because not only is the boxing theme dull , but the side story of the two guys and a girl travelling across the country is even worse .	1	-3	 play[0] it[0] to[0] the[0] bone[0] is[0] unsuccessful[-2] because[0] not[0] only[0] is[0] the[0] boxing[0] theme[0] dull[-1] but[0] the[0] side[0] story[0] of[0] the[0] two[0] guys[0] and[0] a[0] girl[0] travelling[0] across[0] the[0] country[0] is[0] even[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film has no social message like its predecessors . 	the film has no social message like its predecessors .	2	-1	 the[0] film[0] has[0] no[0] social[0] message[0] like[1] its[0] predecessors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the relationship between the friends , two failed boxers who must face off against each other in the ring for 50 thousand dollars , is very confusing for a number of reasons . 	the relationship between the friends , two failed boxers who must face off against each other in the ring for 50 thousand dollars , is very confusing for a number of reasons .	2	-3	 the[0] relationship[0] between[0] the[0] friends[1] two[0] failed[-2] boxers[0] who[0] must[0] face[0] off[0] against[-1] each[0] other[0] in[0] the[0] ring[0] for[0] 50[0] thousand[0] dollars[0] is[0] very[0] confusing[-1][-1 LastWordBoosterStrength] for[0] a[0] number[0] of[0] reasons[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the whole film , since it is primarily a " buddy picture , " depends on the strength of the friendship the two characters have for each other . 	the whole film , since it is primarily a " buddy picture , " depends on the strength of the friendship the two characters have for each other .	2	-1	 the[0] whole[0] film[0] since[0] it[0] is[0] primarily[0] a[0] buddy[0] picture[0] depends[0] on[0] the[0] strength[0] of[0] the[0] friendship[1] the[0] two[0] characters[0] have[0] for[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , it is a very weak bond for the reasons listed below . 	unfortunately , it is a very weak bond for the reasons listed below .	1	-3	 unfortunately[-1] it[0] is[0] a[0] very[0] weak[-1][-1 LastWordBoosterStrength] bond[0] for[0] the[0] reasons[0] listed[0] below[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
1 ) we never see how cesar ( antonio banderas ) and vince ( woody harrelson ) meet . 	1 ) we never see how cesar ( antonio banderas ) and vince ( woody harrelson ) meet .	1	-1	 1[0] we[0] never[0] see[0] how[0] cesar[0] antonio[0] banderas[0] and[0] vince[0] woody[0] harrelson[0] meet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two are so different from each other , that a scene of how this odd friendship developed should have been mandatory . 	the two are so different from each other , that a scene of how this odd friendship developed should have been mandatory .	2	-1	 the[0] two[0] are[0] so[0] different[0] from[0] each[0] other[0] that[0] a[0] scene[0] of[0] how[0] this[0] odd[0] friendship[1] developed[0] should[0] have[0] been[0] mandatory[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
