recently one night a young director named baz luhrmann couldn't sleep . 	Translation	Positive	Negative	EmotionRationale
he tumbled out of bed and moved over to the television where he watched mtv for an hour . 	he tumbled out of bed and moved over to the television where he watched mtv for an hour .	1	-1	 he[0] tumbled[0] out[0] of[0] bed[0] and[0] moved[0] over[0] to[0] the[0] television[0] where[0] he[0] watched[0] mtv[0] for[0] an[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then he moved to his kitchen where he spent the same amount of time eating spoiled food . 	then he moved to his kitchen where he spent the same amount of time eating spoiled food .	1	-2	 then[0] he[0] moved[0] to[0] his[0] kitchen[0] where[0] he[0] spent[0] the[0] same[0] amount[0] of[0] time[0] eating[0] spoiled[-1] food[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then he took down a volume of shakespeare's work and read it cover to cover - never really paying attention to the words or plot . 	then he took down a volume of shakespeare's work and read it cover to cover - never really paying attention to the words or plot .	1	-1	 then[0] he[0] took[0] down[0] a[0] volume[0] of[0] shakespeare's[0] work[0] and[0] read[0] it[0] cover[0] to[0] cover[0] never[0] really[0] paying[0] attention[0] to[0] the[0] words[0] or[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then , as a climax , he took out his video camera and pressed the " on " button . 	and then , as a climax , he took out his video camera and pressed the " on " button .	1	-1	 and[0] then[0] as[0] a[0] climax[0] he[0] took[0] out[0] his[0] video[0] camera[0] and[0] pressed[0] the[0] on[0] button[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result ? 	the result ?	1	-1	 the[0] result[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
william shakespeare's romeo   juliet - the worst film ever made and a complete failure . 	william shakespeare's romeo   juliet - the worst film ever made and a complete failure .	1	-4	 william[0] shakespeare's[0] romeo[0] juliet[0] the[0] worst[-2] film[0] ever[0] made[0] and[0] a[0] complete[0] failure[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
though , to be fair , an interesting complete failure . 	though , to be fair , an interesting complete failure .	2	-4	 though[0] to[0] be[0] fair[0] an[0] interesting[1] complete[0] failure[-2][-1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the idea at the film's core is to make shakespeare appealing to the crowds . 	the idea at the film's core is to make shakespeare appealing to the crowds .	1	-1	 the[0] idea[0] at[0] the[0] film's[0] core[0] is[0] to[0] make[0] shakespeare[0] appealing[0] to[0] the[0] crowds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is done by moving the camera around at a rapid rate so that we can't see what is going on . 	this is done by moving the camera around at a rapid rate so that we can't see what is going on .	1	-1	 this[0] is[0] done[0] by[0] moving[0] the[0] camera[0] around[0] at[0] a[0] rapid[0] rate[0] so[0] that[0] we[0] can't[0] see[0] what[0] is[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and filming the dialogue in voice over . 	and filming the dialogue in voice over .	1	-1	 and[0] filming[0] the[0] dialogue[0] in[0] voice[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
