it's now the anniversary of the slayings of julie james' ( jennifer love hewitt ) best friends . 	Translation	Positive	Negative	EmotionRationale
still besieged by nightmarish memories of the man responsible for it all , she seems to be on the verge of a nervous breakdown . 	still besieged by nightmarish memories of the man responsible for it all , she seems to be on the verge of a nervous breakdown .	1	-3	 still[0] besieged[-1] by[0] nightmarish[0] memories[0] of[0] the[0] man[0] responsible[0] for[0] it[0] all[0] she[0] seems[0] to[0] be[0] on[0] the[0] verge[0] of[0] a[0] nervous[-2] breakdown[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she can't concentrate on her schoolwork , can't get a good night's sleep , and is even frightened by the shadows and the blinking strobe lights at a local dance club . 	she can't concentrate on her schoolwork , can't get a good night's sleep , and is even frightened by the shadows and the blinking strobe lights at a local dance club .	2	-4	 she[0] can't[0] concentrate[0] on[0] her[0] schoolwork[0] can't[0] get[0] a[0] good[1] night's[0] sleep[0] and[0] is[0] even[0] frightened[-3] by[0] the[0] shadows[0] and[0] the[0] blinking[0] strobe[0] lights[0] at[0] a[0] local[0] dance[0] club[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
everywhere she looks , she sees visions of the man in a rubber slicker with the hook on his hand . 	everywhere she looks , she sees visions of the man in a rubber slicker with the hook on his hand .	1	-1	 everywhere[0] she[0] looks[0] she[0] sees[0] visions[0] of[0] the[0] man[0] in[0] a[0] rubber[0] slicker[0] with[0] the[0] hook[0] on[0] his[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the first movie ,  i know what you did last summer' , julie and three of her friends accidentally kill a man , running him down while driving down a dark mountain highway . 	in the first movie ,  i know what you did last summer' , julie and three of her friends accidentally kill a man , running him down while driving down a dark mountain highway .	2	-2	 in[0] the[0] first[0] movie[0] i[0] know[0] what[0] you[0] did[0] last[0] summer'[0] julie[0] and[0] three[0] of[0] her[0] friends[1] accidentally[-1] kill[-1] a[0] man[0] running[0] him[0] down[0] while[0] driving[0] down[0] a[0] dark[0] mountain[0] highway[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to cover their misdeed , they dump the body into the ocean . 	to cover their misdeed , they dump the body into the ocean .	1	-2	 to[0] cover[0] their[0] misdeed[0] they[0] dump[-1] the[0] body[0] into[0] the[0] ocean[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , he never quite died and returned to hunt down julie and her friends . 	however , he never quite died and returned to hunt down julie and her friends .	2	-1	 however[0] he[0] never[0] quite[0] died[0] and[0] returned[0] to[0] hunt[0] down[0] julie[0] and[0] her[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
julie and one other , ray ( freddie prinze jr . ) , survived only to make this dismal sequal . 	julie and one other , ray ( freddie prinze jr .<br> ) , survived only to make this dismal sequal .	1	-2	 julie[0] and[0] one[0] other[0] ray[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] survived[0] only[0] to[0] make[0] this[0] dismal[-1] sequal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
needing some desparate rest and relaxation , she is elated to learn that her college roommate , karla ( brandy ) , has won a trip for four to a secluded tropical island . 	needing some desparate rest and relaxation , she is elated to learn that her college roommate , karla ( brandy ) , has won a trip for four to a secluded tropical island .	3	-1	 needing[0] some[0] desparate[0] rest[0] and[0] relaxation[2] she[0] is[0] elated[0] to[0] learn[0] that[0] her[0] college[0] roommate[0] karla[0] brandy[0] has[0] won[0] a[0] trip[0] for[0] four[0] to[0] a[0] secluded[0] tropical[0] island[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
accompanying these two girls are karla's overbearing boyfriend , tyrell ( mehki phifer ) and a potential beau for julie . 	accompanying these two girls are karla's overbearing boyfriend , tyrell ( mehki phifer ) and a potential beau for julie .	1	-2	 accompanying[0] these[0] two[0] girls[0] are[0] karla's[0] overbearing[-1] boyfriend[0] tyrell[0] mehki[0] phifer[0] and[0] a[0] potential[0] beau[0] for[0] julie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but was this contest too good to be true ? 	but was this contest too good to be true ?	2	-1	 but[0] was[0] this[0] contest[0] too[0] good[1] to[0] be[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the resort is filled with a skeleton staff that seemed like love boat rejects . 	the resort is filled with a skeleton staff that seemed like love boat rejects .	3	-2	 the[0] resort[0] is[0] filled[0] with[0] a[0] skeleton[0] staff[0] that[0] seemed[0] like[1] love[2] boat[0] rejects[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
meanwhile , the hotel is practically deserted as the storm season is about to begin . 	meanwhile , the hotel is practically deserted as the storm season is about to begin .	1	-2	 meanwhile[0] the[0] hotel[0] is[0] practically[0] deserted[0] as[0] the[0] storm[-1] season[0] is[0] about[0] to[0] begin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this presumably creates a venue where they will be secluded and will have no possible means off the island . 	this presumably creates a venue where they will be secluded and will have no possible means off the island .	1	-1	 this[0] presumably[0] creates[0] a[0] venue[0] where[0] they[0] will[0] be[0] secluded[0] and[0] will[0] have[0] no[0] possible[0] means[0] off[0] the[0] island[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually , they will be hunted down during power outages and chased around during intense lightning storms . 	eventually , they will be hunted down during power outages and chased around during intense lightning storms .	1	-2	 eventually[0] they[0] will[0] be[0] hunted[0] down[0] during[0] power[0] outages[0] and[0] chased[-1] around[0] during[0] intense[0] lightning[0] storms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
