capsule : one of the ten worst movies ever made . 	Translation	Positive	Negative	EmotionRationale
christopher lambert vs . evil ninjas in modern-day japan . . . 	christopher lambert vs .<br> evil ninjas in modern-day japan .<br> .<br> .	1	-3	 christopher[0] lambert[0] vs[0] [[Sentence=-1,1=word max, 1-5]] evil[-2] ninjas[0] in[0] modern[0] day[0] japan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and nobody wins . 	and nobody wins .	1	-1	 and[0] nobody[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hunted is such a bad movie , so completely inept and so totally brain-damaged that i could almost feel affection for it . 	the hunted is such a bad movie , so completely inept and so totally brain-damaged that i could almost feel affection for it .	3	-2	 the[0] hunted[0] is[0] such[0] a[0] bad[-1] movie[0] so[0] completely[0] inept[0] and[0] so[0] totally[0] brain[0] damaged[0] that[0] i[0] could[0] almost[0] feel[0] affection[2] for[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i could see myself showing this movie to friends and getting a good jolly guffaw out of it , if it weren't also insanely xenophobic and insulting . 	i could see myself showing this movie to friends and getting a good jolly guffaw out of it , if it weren't also insanely xenophobic and insulting .	3	-3	 i[0] could[0] see[0] myself[0] showing[0] this[0] movie[0] to[0] friends[1] and[0] getting[0] a[0] good[1] jolly[2] guffaw[0] out[0] of[0] it[0] if[0] it[0] weren't[0] also[0] insanely[0] xenophobic[0] and[0] insulting[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
christopher lambert plays a computer-parts salesman who's on business in japan . 	christopher lambert plays a computer-parts salesman who's on business in japan .	2	-1	 christopher[0] lambert[0] plays[1] a[0] computer[0] parts[0] salesman[0] who's[0] on[0] business[0] in[0] japan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he meets a slinky young woman ( joan chen ) and has a torrid night of lovemaking with her -- and then manages to witness her death at the hands of an evil ninja clan and their leader ( john lone ) . 	he meets a slinky young woman ( joan chen ) and has a torrid night of lovemaking with her - and then manages to witness her death at the hands of an evil ninja clan and their leader ( john lone ) .	4	-3	 he[0] meets[0] a[0] slinky[0] young[0] woman[0] joan[0] chen[0] and[0] has[0] a[0] torrid[0] night[0] of[0] lovemaking[3] with[0] her[0] and[0] then[0] manages[0] to[0] witness[0] her[0] death[-2] at[0] the[0] hands[0] of[0] an[0] evil[-2] ninja[0] clan[0] and[0] their[0] leader[0] john[0] lone[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
apparently they had some unfinished business that could only be concluded with her getting slaughtered . 	apparently they had some unfinished business that could only be concluded with her getting slaughtered .	1	-2	 apparently[0] they[0] had[0] some[0] unfinished[0] business[0] that[0] could[0] only[0] be[0] concluded[0] with[0] her[0] getting[0] slaughtered[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since lambert is a witness , he's of course the next one to die . 	since lambert is a witness , he's of course the next one to die .	1	-1	 since[0] lambert[0] is[0] a[0] witness[0] he's[0] of[0] course[0] the[0] next[0] one[0] to[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's stop and think about this for a second . 	let's stop and think about this for a second .	1	-1	 let's[0] stop[0] and[0] think[0] about[0] this[0] for[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if lambert were in real life being chased by fanatical devotees to a ninja secret society , he'd have a lifespan you could only measure with an atomic clock . 	if lambert were in real life being chased by fanatical devotees to a ninja secret society , he'd have a lifespan you could only measure with an atomic clock .	3	-2	 if[0] lambert[0] were[0] in[0] real[0] life[0] being[0] chased[-1] by[0] fanatical[-1] devotees[2] to[0] a[0] ninja[0] secret[0] society[0] he'd[0] have[0] a[0] lifespan[0] you[0] could[0] only[0] measure[0] with[0] an[0] atomic[0] clock[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in this movie , the ninja manage to kill just about everyone except him . 	in this movie , the ninja manage to kill just about everyone except him .	1	-2	 in[0] this[0] movie[0] the[0] ninja[0] manage[0] to[0] kill[-1] just[0] about[0] everyone[0] except[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
