in " twilight , " a ex-alcoholic , ex-cop , ex-husband , ex-private-eye , harry ross ( paul newman ) , works for a pair of aging hollywood actors , catherine ( susan sarandon ) and jack ames ( gene hackman ) . 	Translation	Positive	Negative	EmotionRationale
jack is being blackmailed , and he asks harry to deliver the payoff . 	jack is being blackmailed , and he asks harry to deliver the payoff .	1	-3	 jack[0] is[0] being[0] blackmailed[-2] and[0] he[0] asks[0] harry[0] to[0] deliver[0] the[0] payoff[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of the blackmailers , harry finds a dying ex-cop ( m . 	instead of the blackmailers , harry finds a dying ex-cop ( m .	1	-3	 instead[0] of[0] the[0] blackmailers[-2] harry[0] finds[0] a[0] dying[-1] ex[0] cop[0] m[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
emmet walsh ) . 	emmet walsh ) .	1	-1	 emmet[0] walsh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as more bodies begin to pile up , harry realizes that he will have to solve the disappearance of catherine's first husband twenty years earlier to find out who's willing to kill to keep that secret buried . 	as more bodies begin to pile up , harry realizes that he will have to solve the disappearance of catherine's first husband twenty years earlier to find out who's willing to kill to keep that secret buried .	1	-3	 as[0] more[0] bodies[0] begin[0] to[0] pile[0] up[0] harry[0] realizes[0] that[0] he[0] will[0] have[0] to[0] solve[0] the[0] disappearance[0] of[0] catherine's[0] first[0] husband[0] twenty[0] years[0] earlier[0] to[0] find[0] out[0] who's[0] willing[0] to[0] kill[-1] to[0] keep[0] that[0] secret[0] buried[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
newman . sarandon . 	newman .<br> sarandon .	1	-1	 newman[0] [[Sentence=-1,1=word max, 1-5]] sarandon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hackman . 	hackman .	1	-1	 hackman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with an a-list cast of oscar laureates like that , " twilight " would seem very promising . 	with an a-list cast of oscar laureates like that , " twilight " would seem very promising .	3	-1	 with[0] an[0] a[0] list[0] cast[0] of[0] oscar[0] laureates[0] like[1] that[0] twilight[0] would[0] seem[0] very[0] promising[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , the script is tired and predictable . 	however , the script is tired and predictable .	1	-2	 however[0] the[0] script[0] is[0] tired[-1] and[0] predictable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would serve well as a tv-movie-of-the-week , possibly with some 1970's detective hero reprising his role . 	it would serve well as a tv-movie-of-the-week , possibly with some 1970's detective hero reprising his role .	3	-1	 it[0] would[0] serve[0] well[0] as[0] a[0] tv[0] movie[0] of[0] the[0] week[0] possibly[0] with[0] some[0] 1970's[0] detective[0] hero[2] reprising[0] his[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the appeal of the project for its stars and its director , robert benton , is nostalgia . 	the appeal of the project for its stars and its director , robert benton , is nostalgia .	1	-1	 the[0] appeal[0] of[0] the[0] project[0] for[0] its[0] stars[0] and[0] its[0] director[0] robert[0] benton[0] is[0] nostalgia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
