rated : r for strong violence , language , drug use , nudity , and some sexuality . 	Translation	Positive	Negative	EmotionRationale
starring : wesley snipes , anne archer , michael chaykin , donald sutherland , marie matiko . 	starring : wesley snipes , anne archer , michael chaykin , donald sutherland , marie matiko .	1	-1	 starring[0] wesley[0] snipes[0] anne[0] archer[0] michael[0] chaykin[0] donald[0] sutherland[0] marie[0] matiko[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
running time : 117 minutes 	running time : 117 minutes	1	-1	 running[0] time[0] 117[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed by : christian duguay 	directed by : christian duguay	1	-1	 directed[0] by[0] christian[0] duguay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've never fully understood wesley snipes's career . 	i've never fully understood wesley snipes's career .	1	-1	 i've[0] never[0] fully[0] understood[0] wesley[0] snipes's[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has his ups and downs , but mostly the downs . 	he has his ups and downs , but mostly the downs .	1	-1	 he[0] has[0] his[0] ups[0] and[0] downs[0] but[0] mostly[0] the[0] downs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his best movie was one of the best of 1998 and that movie was entitled " blade " . 	his best movie was one of the best of 1998 and that movie was entitled " blade " .	2	-1	 his[0] best[1] movie[0] was[0] one[0] of[0] the[0] best[1] of[0] 1998[0] and[0] that[0] movie[0] was[0] entitled[0] blade[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has had his typical action movies , " boiling point " , " passenger 57 " , but his new movie " the art of war " should just be called " rising sun 2 : the art of war " cause basically it's a semi-remake of the same plot , with a different cast , and forced to be a ridiculously unbelievable thriller , that is high on style and low on substance . 	he has had his typical action movies , " boiling point " , " passenger 57 " , but his new movie " the art of war " should just be called " rising sun 2 : the art of war " cause basically it's a semi-remake of the same plot , with a different cast , and forced to be a ridiculously unbelievable thriller , that is high on style and low on substance .	2	-3	 he[0] has[0] had[0] his[0] typical[0] action[0] movies[0] boiling[0] point[0] passenger[0] 57[0] but[0] his[0] new[0] movie[0] the[0] art[0] of[0] war[-2] should[0] just[0] be[0] called[0] rising[0] sun[0] 2[0] the[0] art[0] of[0] war[-2] cause[0] basically[0] it's[0] a[0] semi[0] remake[0] of[0] the[0] same[0] plot[0] with[0] a[0] different[0] cast[0] and[0] forced[0] to[0] be[0] a[0] ridiculously[-2] unbelievable[-1] thriller[1] that[0] is[0] high[0] on[0] style[0] and[0] low[-1] on[0] substance[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
wesley snipes plays a james bondish type secret agent working for the u . n . after a chinese ambassador is killed , he is on the track of the killer , trying to find out who it is , how it happened , where the killer was , and what to do . 	wesley snipes plays a james bondish type secret agent working for the you .<br> n .<br> after a chinese ambassador is killed , he is on the track of the killer , trying to find out who it is , how it happened , where the killer was , and what to do .	2	-4	 wesley[0] snipes[0] plays[1] a[0] james[0] bondish[0] type[0] secret[0] agent[0] working[0] for[0] the[0] u[0] [[Sentence=-1,2=word max, 1-5]] n[0] [[Sentence=-1,1=word max, 1-5]] after[0] a[0] chinese[0] ambassador[0] is[0] killed[-3] he[0] is[0] on[0] the[0] track[0] of[0] the[0] killer[-1] trying[0] to[0] find[0] out[0] who[0] it[0] is[0] how[0] it[0] happened[0] where[0] the[0] killer[-1] was[0] and[0] what[0] to[0] do[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
anne archer plays his " boss " type person of the u . n . and she has hired snipes to track down the killer . 	anne archer plays his " boss " type person of the you .<br> n .<br> and she has hired snipes to track down the killer .	2	-2	 anne[0] archer[0] plays[1] his[0] boss[0] type[0] person[0] of[0] the[0] u[0] [[Sentence=-1,2=word max, 1-5]] n[0] [[Sentence=-1,1=word max, 1-5]] and[0] she[0] has[0] hired[0] snipes[0] to[0] track[0] down[0] the[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
well snipes is mistakenly framed as the killer , and is now an outlaw , kidnapping a chinese woman with him , and having her help him along the way . 	well snipes is mistakenly framed as the killer , and is now an outlaw , kidnapping a chinese woman with him , and having her help him along the way .	1	-2	 well[0] snipes[0] is[0] mistakenly[-1] framed[0] as[0] the[0] killer[-1] and[0] is[0] now[0] an[0] outlaw[-1] kidnapping[0] a[0] chinese[0] woman[0] with[0] him[0] and[0] having[0] her[0] help[0] him[0] along[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
