tomb raider . 	Translation	Positive	Negative	EmotionRationale
fun ? 	fun ?	2	-1	 fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
exciting ? 	exciting ?	3	-1	 exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
challenging ? 	challenging ?	1	-1	 challenging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
given the unprecedented popularity ( especially among teenage boys ) of the video game that sports an uber-buff , pistol packin' babe who raids , well . . . 	given the unprecedented popularity ( especially among teenage boys ) of the video game that sports an uber-buff , pistol packin' babe who raids , well .<br> .<br> .	2	-1	 given[0] the[0] unprecedented[0] popularity[1] especially[0] among[0] teenage[0] boys[0] of[0] the[0] video[0] game[0] that[0] sports[0] an[0] uber[0] buff[0] pistol[0] packin'[0] babe[0] who[0] raids[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tombs , you have to believe it's these three things and more ! 	tombs , you have to believe it's these three things and more !	1	-1	 tombs[0] you[0] have[0] to[0] believe[0] it's[0] these[0] three[0] things[0] and[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " lara croft : tomb raider , " the big screen variant of said video game , which features a pumped-up angelina jolie ( the oscar ? winner for " girl , interrupted " no less ) in the title role is , however , none of these things . 	 " lara croft : tomb raider , " the big screen variant of said video game , which features a pumped-up angelina jolie ( the oscar ?<br> winner for " girl , interrupted " no less ) in the title role is , however , none of these things .	2	-2	 lara[0] croft[0] tomb[0] raider[0] the[0] big[0] screen[0] variant[0] of[0] said[0] video[0] game[0] which[0] features[0] a[0] pumped[0] up[0] angelina[0] jolie[0] the[0] oscar[0] [[Sentence=-1,1=word max, 1-5]] winner[1] for[0] girl[0] interrupted[-1] no[0] less[0] in[0] the[0] title[0] role[0] is[0] however[0] none[0] of[0] these[0] things[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it isn't fun , it isn't exciting , and the only challenge is seeing how long you can stay in your seat ( i suffered through to the bitter , bitter end ; the wife opted for barnes & noble at the 45-minute mark ) . 	it isn't fun , it isn't exciting , and the only challenge is seeing how long you can stay in your seat ( i suffered through to the bitter , bitter end ; the wife opted for barnes & noble at the 45-minute mark ) .	1	-4	 it[0] isn't[0] fun[1][NegatedDueToPreviousWord] it[0] isn't[0] exciting[2][NegatedDueToPreviousWord] and[0] the[0] only[0] challenge[-1] is[0] seeing[0] how[0] long[0] you[0] can[0] stay[0] in[0] your[0] seat[0] i[0] suffered[-3] through[0] to[0] the[0] bitter[-1] bitter[-1] end[0] the[0] wife[0] opted[0] for[0] barnes[0] &[0] noble[0] at[0] the[0] 45[0] minute[0] mark[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
directed by simon west with the same subtlety he brought to " con air , " " tomb raider " is an empty-headed , big budget bore . 	directed by simon west with the same subtlety he brought to " con air , " " tomb raider " is an empty-headed , big budget bore .	1	-2	 directed[0] by[0] simon[0] west[0] with[0] the[0] same[0] subtlety[0] he[0] brought[0] to[0] con[0] air[0] tomb[0] raider[0] is[0] an[0] empty[0] headed[0] big[0] budget[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story borrows unintelligently from that mother of all turkeys " hudson hawk " ( the same hokum about planetary alignments and sacred stones that , when brought together , well . . . 	the story borrows unintelligently from that mother of all turkeys " hudson hawk " ( the same hokum about planetary alignments and sacred stones that , when brought together , well .<br> .<br> .	1	-1	 the[0] story[0] borrows[0] unintelligently[0] from[0] that[0] mother[0] of[0] all[0] turkeys[0] hudson[0] hawk[0] the[0] same[0] hokum[0] about[0] planetary[0] alignments[0] and[0] sacred[0] stones[0] that[0] when[0] brought[0] together[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who the heck cares ? ) and it makes " super mario bros . " ( bob hoskins' ill-advised career move ) look like " rocco and his brothers " ( that classic of italian neo-realism ) . 	who the heck cares ?<br> ) and it makes " super mario bros .<br> " ( bob hoskins' ill-advised career move ) look like " rocco and his brothers " ( that classic of italian neo-realism ) .	3	-2	 who[0] the[0] heck[0] cares[1] [[Sentence=-1,2=word max, 1-5]] and[0] it[0] makes[0] super[2] mario[0] bros[0] [[Sentence=-1,3=word max, 1-5]] bob[0] hoskins'[0] ill[-1] advised[0] career[0] move[0] look[0] like[1] rocco[0] and[0] his[0] brothers[0] that[0] classic[0] of[0] italian[0] neo[0] realism[0] [[Sentence=-2,2=word max, 1-5]][[[3,-2 max of sentences]]]
i'll go out on a limb here and say i suspect there's actually more character development in the video game than the movie proper . 	i'll go out on a limb here and say i suspect there's actually more character development in the video game than the movie proper .	1	-2	 i'll[0] go[0] out[0] on[0] a[0] limb[0] here[0] and[0] say[0] i[0] suspect[-1] there's[0] actually[0] more[0] character[0] development[0] in[0] the[0] video[0] game[0] than[0] the[0] movie[0] proper[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is where the jolie defenders/video game nuts jump in and say this movie isn't about character development it's about kicking serious butt ( or bum , since ms . croft hails from england's green and pleasant ) . 	this is where the jolie defenders/video game nuts jump in and say this movie isn't about character development it's about kicking serious butt ( or bum , since ms .<br> croft hails from england's green and pleasant ) .	3	-2	 this[0] is[0] where[0] the[0] jolie[0] defenders/video[0] game[0] nuts[0] jump[0] in[0] and[0] say[0] this[0] movie[0] isn't[0] about[0] character[0] development[0] it's[0] about[0] kicking[-1] serious[-1] butt[0] or[0] bum[-1] since[0] ms[0] [[Sentence=-2,1=word max, 1-5]] croft[0] hails[0] from[0] england's[0] green[0] and[0] pleasant[2] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
with lips , breasts , and biceps all inflated to the max , lara croft is all about posturing , and jolie has a hard time simply standing still without trying to look tough . 	with lips , breasts , and biceps all inflated to the max , lara croft is all about posturing , and jolie has a hard time simply standing still without trying to look tough .	1	-2	 with[0] lips[0] breasts[0] and[0] biceps[0] all[0] inflated[0] to[0] the[0] max[0] lara[0] croft[0] is[0] all[0] about[0] posturing[0] and[0] jolie[0] has[0] a[0] hard[0] time[0] simply[0] standing[0] still[0] without[0] trying[0] to[0] look[0] tough[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok , let's forget challenging . 	ok , let's forget challenging .	1	-1	 ok[0] let's[0] forget[0] challenging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shouldn't " tomb raider " be , at the very least , fun and exciting ? 	shouldn't " tomb raider " be , at the very least , fun and exciting ?	3	-1	 shouldn't[0] tomb[0] raider[0] be[0] at[0] the[0] very[0] least[0] fun[1] and[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shouldn't our butt-kicking heroine also encompass the sophistication of , say , james bond with the wit of indiana jones ? 	shouldn't our butt-kicking heroine also encompass the sophistication of , say , james bond with the wit of indiana jones ?	3	-2	 shouldn't[0] our[0] butt[0] kicking[-1] heroine[2] also[0] encompass[0] the[0] sophistication[0] of[0] say[0] james[0] bond[0] with[0] the[0] wit[0] of[0] indiana[0] jones[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's no humor to be found anywhere in " tomb raider , " even though it tries hard from time to time . 	there's no humor to be found anywhere in " tomb raider , " even though it tries hard from time to time .	3	-1	 there's[0] no[0] humor[2] to[0] be[0] found[0] anywhere[0] in[0] tomb[0] raider[0] even[0] though[0] it[0] tries[0] hard[0] from[0] time[0] to[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even " the mummy returns " didn't take itself too seriously . 	even " the mummy returns " didn't take itself too seriously .	1	-1	 even[0] the[0] mummy[0] returns[0] didn't[0] take[0] itself[0] too[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the villain here is noticeably lacking , the special effects are ridiculously overblown and unnecessarily complicated , and the script is non-existent . 	the villain here is noticeably lacking , the special effects are ridiculously overblown and unnecessarily complicated , and the script is non-existent .	2	-3	 the[0] villain[-2] here[0] is[0] noticeably[0] lacking[0] the[0] special[1] effects[0] are[0] ridiculously[-2] overblown[0] and[0] unnecessarily[-1] complicated[-1] and[0] the[0] script[0] is[0] non[0] existent[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
to liven things up ( perhaps ) , jolie's live father jon voight puts in a few minutes as lara's dead father lord croft ; talk about a stretch . 	to liven things up ( perhaps ) , jolie's live father jon voight puts in a few minutes as lara's dead father lord croft ; talk about a stretch .	1	-3	 to[0] liven[0] things[0] up[0] perhaps[0] jolie's[0] live[0] father[0] jon[0] voight[0] puts[0] in[0] a[0] few[0] minutes[0] as[0] lara's[0] dead[-2] father[0] lord[0] croft[0] talk[0] about[0] a[0] stretch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
