 " saving silverman " is a good example of a good comedy gone bad . 	Translation	Positive	Negative	EmotionRationale
as a love story it is good , however as a comedy it falls flat on it's face . 	as a love story it is good , however as a comedy it falls flat on it's face .	3	-1	 as[0] a[0] love[2] story[0] it[0] is[0] good[1] however[0] as[0] a[0] comedy[0] it[0] falls[0] flat[0] on[0] it's[0] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i think throughout the short 90 minutes i laughed a total of seven times . . . and 	i think throughout the short 90 minutes i laughed a total of seven times .<br> .<br> .<br> and	2	-1	 i[0] think[0] throughout[0] the[0] short[0] 90[0] minutes[0] i[0] laughed[1] a[0] total[0] of[0] seven[0] times[0] [[Sentence=-1,2=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
those were just chuckles at the most ! 	those were just chuckles at the most !	2	-1	 those[0] were[0] just[0] chuckles[2][-1 LastWordBoosterStrength] at[0] the[0] most[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie doesn't have the oomph to make it a great movie , and doesn't have the script to make it a funny movie . 	the movie doesn't have the oomph to make it a great movie , and doesn't have the script to make it a funny movie .	3	-1	 the[0] movie[0] doesn't[0] have[0] the[0] oomph[0] to[0] make[0] it[0] a[0] great[2] movie[0] and[0] doesn't[0] have[0] the[0] script[0] to[0] make[0] it[0] a[0] funny[1] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wayne lefessier ( steven zahn ) , j . d . mcnugent ( jack black ) , and darren silverman ( jason biggs ) have grown up all their lives together , they have been best friends forever and vow to stay close till the end . 	wayne lefessier ( steven zahn ) , j .<br> d .<br> mcnugent ( jack black ) , and darren silverman ( jason biggs ) have grown up all their lives together , they have been best friends forever and vow to stay close till the end .	2	-1	 wayne[0] lefessier[0] steven[0] zahn[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] mcnugent[0] jack[0] black[0] and[0] darren[0] silverman[0] jason[0] biggs[0] have[0] grown[0] up[0] all[0] their[0] lives[0] together[0] they[0] have[0] been[0] best[1] friends[1] forever[0] and[0] vow[0] to[0] stay[0] close[0] till[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while in a bar after doing a show with their band , based on their love of neil diamond , darren meets a young woman named judith ( amanda peet ) whom he instantly falls for . 	while in a bar after doing a show with their band , based on their love of neil diamond , darren meets a young woman named judith ( amanda pet ) whom he instantly falls for .	3	-1	 while[0] in[0] a[0] bar[0] after[0] doing[0] a[0] show[0] with[0] their[0] band[0] based[0] on[0] their[0] love[2] of[0] neil[0] diamond[0] darren[0] meets[0] a[0] young[0] woman[0] named[0] judith[0] amanda[0] peet/pet[0] whom[0] he[0] instantly[0] falls[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wayne and j . d . however think differently and when judith tells darren that he can never see his friends again , it's up to wayne and j . d . to try and begin saving silverman . 	wayne and j .<br> d .<br> however think differently and when judith tells darren that he can never see his friends again , it's up to wayne and j .<br> d .<br> to try and begin saving silverman .	2	-1	 wayne[0] and[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] however[0] think[0] differently[0] and[0] when[0] judith[0] tells[0] darren[0] that[0] he[0] can[0] never[0] see[0] his[0] friends[1] again[0] it's[0] up[0] to[0] wayne[0] and[0] j[0] [[Sentence=-1,2=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] to[0] try[0] and[0] begin[0] saving[0] silverman[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the performances are topnotch and surprisingly , they are what keep the movie afloat . 	the performances are topnotch and surprisingly , they are what keep the movie afloat .	1	-1	 the[0] performances[0] are[0] topnotch[0] and[0] surprisingly[0] they[0] are[0] what[0] keep[0] the[0] movie[0] afloat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jason biggs right off the flop " loser " does an ok job playing silverman , but he is stale and flat at times . 	jason biggs right off the flop " loser " does an ok job playing silverman , but he is stale and flat at times .	2	-3	 jason[0] biggs[0] right[0] off[0] the[0] flop[0] loser[-2] does[0] an[0] ok[0] job[0] playing[1] silverman[0] but[0] he[0] is[0] stale[-1] and[0] flat[0] at[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
steve zahn is perfect in the role of wayne lefessier , and even though the movie is about silverman , lefessier is really the main character and the narrator of the movie itself . 	steve zahn is perfect in the role of wayne lefessier , and even though the movie is about silverman , lefessier is really the main character and the narrator of the movie itself .	2	-1	 steve[0] zahn[0] is[0] perfect[1] in[0] the[0] role[0] of[0] wayne[0] lefessier[0] and[0] even[0] though[0] the[0] movie[0] is[0] about[0] silverman[0] lefessier[0] is[0] really[0] the[0] main[0] character[0] and[0] the[0] narrator[0] of[0] the[0] movie[0] itself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
