in the year 2029 , captain leo davidson ( mark wahlberg , " boogie nights " ) is training 'his' chimp pericles to pilot a pod from the usaf oberon space station . 	Translation	Positive	Negative	EmotionRationale
when an electromagnetic storm is encountered and pericles' pod is lost , davidson sets out unauthorized and lands thousands of years in the future on the " planet of the apes . " 	when an electromagnetic storm is encountered and pericles' pod is lost , davidson sets out unauthorized and lands thousands of years in the future on the " planet of the apes .<br> "	1	-2	 when[0] an[0] electromagnetic[0] storm[-1] is[0] encountered[0] and[0] pericles'[0] pod[0] is[0] lost[0] davidson[0] sets[0] out[0] unauthorized[0] and[0] lands[0] thousands[0] of[0] years[0] in[0] the[0] future[0] on[0] the[0] planet[0] of[0] the[0] apes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe if 20th century fox had set the proverbial 100 chimps in front of typewriters they would have gotten a better results than this adaptation of the pierre boulle novel by william broyles jr . ( " cast away " ) , and lawrence konner & mark d . rosenthal ( " mighty joe young " ) . 	maybe if 20th century fox had set the proverbial 100 chimps in front of typewriters they would have gotten a better results than this adaptation of the pierre boulle novel by william broyles jr .<br> ( " cast away " ) , and lawrence konner & mark d .<br> rosenthal ( " mighty joe young " ) .	1	-1	 maybe[0] if[0] 20th[0] century[0] fox[0] had[0] set[0] the[0] proverbial[0] 100[0] chimps[0] in[0] front[0] of[0] typewriters[0] they[0] would[0] have[0] gotten[0] a[0] better[0] results[0] than[0] this[0] adaptation[0] of[0] the[0] pierre[0] boulle[0] novel[0] by[0] william[0] broyles[0] jr[0] [[Sentence=-1,1=word max, 1-5]] cast[0] away[0] and[0] lawrence[0] konner[0] &[0] mark[0] d[0] [[Sentence=-1,1=word max, 1-5]] rosenthal[0] mighty[0] joe[0] young[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director tim burton's unique look and style are nowhere to be found in this silly , pointless remake . 	director tim burton's unique look and style are nowhere to be found in this silly , pointless remake .	1	-2	 director[0] tim[0] burton's[0] unique[0] look[0] and[0] style[0] are[0] nowhere[0] to[0] be[0] found[0] in[0] this[0] silly[-1] pointless[-1] remake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
davidson no sooner lands than he finds himself being swarmed by savages running in terror , whom he wisely joins . 	davidson no sooner lands than he finds himself being swarmed by savages running in terror , whom he wisely joins .	1	-3	 davidson[0] no[0] sooner[0] lands[0] than[0] he[0] finds[0] himself[0] being[0] swarmed[0] by[0] savages[-2] running[0] in[0] terror[-1] whom[0] he[0] wisely[0] joins[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , he's rounded up with the lot of them by the apes which rule this plant and handed over to slave trader limbo ( paul giamatti , " duets " ) . 	however , he's rounded up with the lot of them by the apes which rule this plant and handed over to slave trader limbo ( paul giamatti , " duets " ) .	1	-1	 however[0] he's[0] rounded[0] up[0] with[0] the[0] lot[0] of[0] them[0] by[0] the[0] apes[0] which[0] rule[0] this[0] plant[0] and[0] handed[0] over[0] to[0] slave[0] trader[0] limbo[0] paul[0] giamatti[0] duets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ari ( helena bonham carter , " fight club " ) , daughter of the illustrious senator sandar ( david warner , " titanic " ) and simian bleeding heart , believes humans should live with apes on equal standing , an unpopular notion . 	ari ( helena bonham carter , " fight club " ) , daughter of the illustrious senator sandar ( david warner , " titanic " ) and simian bleeding heart , believes humans should live with apes on equal standing , an unpopular notion .	1	-3	 ari[0] helena[0] bonham[0] carter[0] fight[-2] club[0] daughter[0] of[0] the[0] illustrious[0] senator[0] sandar[0] david[0] warner[0] titanic[0] and[0] simian[0] bleeding[0] heart[0] believes[0] humans[0] should[0] live[0] with[0] apes[0] on[0] equal[0] standing[0] an[0] unpopular[-1] notion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she takes a liking to leo , who she deems 'unusual . ' 	she takes a liking to leo , who she deems 'unusual .<br> '	3	-1	 she[0] takes[0] a[0] liking[2] to[0] leo[0] who[0] she[0] deems[0] 'unusual[0] [[Sentence=-1,3=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
general thade ( tim roth , " lucky numbers " ) is of the opposite opinion , wishing for declaration of martial law that will allow him to annihilate the race . 	general thade ( tim roth , " lucky numbers " ) is of the opposite opinion , wishing for declaration of martial law that will allow him to annihilate the race .	2	-3	 general[0] thade[0] tim[0] roth[0] lucky[1] numbers[0] is[0] of[0] the[0] opposite[0] opinion[0] wishing[0] for[0] declaration[0] of[0] martial[0] law[0] that[0] will[0] allow[0] him[0] to[0] annihilate[-2] the[0] race[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he's sweet on ari . 	he's sweet on ari .	2	-1	 he's[0] sweet[1] on[0] ari[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's relatively easy to see where this 'new' story is going from the onset , yet its ultimate revelation has gaping logic holes . 	it's relatively easy to see where this 'new' story is going from the onset , yet its ultimate revelation has gaping logic holes .	1	-1	 it's[0] relatively[0] easy[0] to[0] see[0] where[0] this[0] 'new'[0] story[0] is[0] going[0] from[0] the[0] onset[0] yet[0] its[0] ultimate[0] revelation[0] has[0] gaping[0] logic[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the much ballyhooed 'surprise' ending is a nonsensical let down . 	the much ballyhooed 'surprise' ending is a nonsensical let down .	1	-2	 the[0] much[0] ballyhooed[0] 'surprise'[0] ending[0] is[0] a[0] nonsensical[-1] let[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an attempt at a love triangle , conveyed by ari and the human daena ( estella warren , " driven " ) giving each other 'back off' looks over leo , fails because he never develops a relationship with either of them . 	an attempt at a love triangle , conveyed by ari and the human daena ( estella warren , " driven " ) giving each other 'back off' looks over leo , fails because he never develops a relationship with either of them .	3	-3	 an[0] attempt[0] at[0] a[0] love[2] triangle[0] conveyed[0] by[0] ari[0] and[0] the[0] human[0] daena[0] estella[0] warren[0] driven[0] giving[0] each[0] other[0] 'back[0] off'[0] looks[0] over[0] leo[0] fails[-2] because[0] he[0] never[0] develops[0] a[0] relationship[0] with[0] either[0] of[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the lone sex scene is some hilarious foreplay between elder orangutan senator nado ( glenn shadix ) and his trophy wife nova ( burton's squeeze , lisa marie ) . 	the lone sex scene is some hilarious foreplay between elder orangutan senator nado ( glen shadix ) and his trophy wife nova ( burton's squeeze , lisa marie ) .	2	-2	 the[0] lone[-1] sex[0] scene[0] is[0] some[0] hilarious[2][-1 LastWordBoosterStrength] foreplay[0] between[0] elder[0] orangutan[0] senator[0] nado[0] glenn/glen[0] shadix[0] and[0] his[0] trophy[0] wife[0] nova[0] burton's[0] squeeze[0] lisa[0] marie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
guffaws will also likely greet charlton heston's cameo as thade's father , the one ape harboring a firearm ( ! ) who sputters some very familiar lines before dying . 	guffaws will also likely greet charlton heston's cameo as thade's father , the one ape harboring a firearm ( !<br> ) who sputters some very familiar lines before dying .	1	-2	 guffaws[0] will[0] also[0] likely[0] greet[0] charlton[0] heston's[0] cameo[0] as[0] thade's[0] father[0] the[0] one[0] ape[0] harboring[0] a[0] firearm[0] [[Sentence=-1,1=word max, 1-5]] who[0] sputters[-1] some[0] very[0] familiar[0] lines[0] before[0] dying[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only real success of the 2001 " planet of the apes " is rick baker's makeup , and even that's an iffy affair . 	the only real success of the 2001 " planet of the apes " is rick baker's makeup , and even that's an iffy affair .	3	-1	 the[0] only[0] real[0] success[2] of[0] the[0] 2001[0] planet[0] of[0] the[0] apes[0] is[0] rick[0] baker's[0] makeup[0] and[0] even[0] that's[0] an[0] iffy[0] affair[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no attempt was made to change the human whiteness of the actors' eyes , a real distraction amidst some otherwise impressive work . 	no attempt was made to change the human whiteness of the actors' eyes , a real distraction amidst some otherwise impressive work .	2	-2	 no[0] attempt[0] was[0] made[0] to[0] change[0] the[0] human[0] whiteness[0] of[0] the[0] actors'[0] eyes[0] a[0] real[0] distraction[-1] amidst[0] some[0] otherwise[0] impressive[1] work[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
roth , warner and michael clarke duncan ( as thade's right hand man attar ) are given the most impressive makeovers . 	roth , warner and michael clarke duncan ( as thade's right hand man attar ) are given the most impressive makeovers .	2	-1	 roth[0] warner[0] and[0] michael[0] clarke[0] duncan[0] as[0] thade's[0] right[0] hand[0] man[0] attar[0] are[0] given[0] the[0] most[0] impressive[1] makeovers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
giamatti looks more like a skull than an ape and the female apes are too humanized to be given sexual appeal . 	giamatti looks more like a skull than an ape and the female apes are too humanized to be given sexual appeal .	2	-1	 giamatti[0] looks[0] more[0] like[1] a[0] skull[0] than[0] an[0] ape[0] and[0] the[0] female[0] apes[0] are[0] too[0] humanized[0] to[0] be[0] given[0] sexual[0] appeal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tim roth delivers the most impressive acting job by getting the body language right - his nasty chimpanzee character leaps about , most spectacularly when mounting his steed , but even's he's undone by some obvious wire work . 	tim roth delivers the most impressive acting job by getting the body language right - his nasty chimpanzee character leaps about , most spectacularly when mounting his steed , but even's he's undone by some obvious wire work .	2	-3	 tim[0] roth[0] delivers[0] the[0] most[0] impressive[1] acting[0] job[0] by[0] getting[0] the[0] body[0] language[0] right[0] his[0] nasty[-2] chimpanzee[0] character[0] leaps[0] about[0] most[0] spectacularly[0] when[0] mounting[0] his[0] steed[0] but[0] even's[0] he's[0] undone[-1] by[0] some[0] obvious[0] wire[0] work[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bonham carter delivers a goodly range of emotion from behind a stiff prosthetic , but is undone in turn by the silliness of the writing . 	bonham carter delivers a goodly range of emotion from behind a stiff prosthetic , but is undone in turn by the silliness of the writing .	2	-2	 bonham[0] carter[0] delivers[0] a[0] goodly[0] range[0] of[0] emotion[0] from[0] behind[0] a[0] stiff[0] prosthetic[0] but[0] is[0] undone[-1] in[0] turn[0] by[0] the[0] silliness[1] of[0] the[0] writing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most of the film has a set bound look which no amount of mist can cover . 	most of the film has a set bound look which no amount of mist can cover .	1	-1	 most[0] of[0] the[0] film[0] has[0] a[0] set[0] bound[0] look[0] which[0] no[0] amount[0] of[0] mist[0] can[0] cover[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ape's city resembles a dank complex of tree houses . 	the ape's city resembles a dank complex of tree houses .	1	-1	 the[0] ape's[0] city[0] resembles[0] a[0] dank[0] complex[0] of[0] tree[0] houses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
