a movie like mortal kombat : annihilation works ( and must be reviewed on ) multiple levels . 	Translation	Positive	Negative	EmotionRationale
first , there's the rampant usage of randian subtext that pervades the entire movie . 	first , there's the rampant usage of randian subtext that pervades the entire movie .	1	-2	 first[0] there's[0] the[0] rampant[-1] usage[0] of[0] randian[0] subtext[0] that[0] pervades[0] the[0] entire[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but occasionaly , almost as if making an ironic , self-depreciating remark , the movie tosses in clearly marxist imagery . 	but occasionaly , almost as if making an ironic , self-depreciating remark , the movie tosses in clearly marxist imagery .	1	-2	 but[0] occasionaly[0] almost[0] as[0] if[0] making[0] an[0] ironic[-1] self[0] depreciating[0] remark[0] the[0] movie[0] tosses[0] in[0] clearly[0] marxist[0] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no no . . . 	no no .<br> .<br> .	1	-1	 no[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just kidding . 	just kidding .	1	-1	 just[0] kidding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
had you going there for a moment , didn't i ? 	had you going there for a moment , didn't i ?	1	-1	 had[0] you[0] going[0] there[0] for[0] a[0] moment[0] didn't[0] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in all seriousness however , and to be fair to the movie , it * is * necessary to provide two viewpoints : that of a movie watcher unfamiliar ( or only marginally familiar ) with the whole mortal kombat phenomenon , and that of a fan of the first movie and/or a fan of the games . 	in all seriousness however , and to be fair to the movie , it * is * necessary to provide two viewpoints : that of a movie watcher unfamiliar ( or only marginally familiar ) with the whole mortal kombat phenomenon , and that of a fan of the first movie and/or a fan of the games .	1	-2	 in[0] all[0] seriousness[-1] however[0] and[0] to[0] be[0] fair[0] to[0] the[0] movie[0] it[0] is[0] necessary[0] to[0] provide[0] two[0] viewpoints[0] that[0] of[0] a[0] movie[0] watcher[0] unfamiliar[-1] or[0] only[0] marginally[0] familiar[0] with[0] the[0] whole[0] mortal[0] kombat[0] phenomenon[0] and[0] that[0] of[0] a[0] fan[0] of[0] the[0] first[0] movie[0] and/or[0] a[0] fan[0] of[0] the[0] games[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first movie ( mortal kombat ( 1995 ) ) concerned itself with a martial arts tournament that would decide the fate of earth ( and it's 5 billion inhabitants ) . 	the first movie ( mortal kombat ( 1995 ) ) concerned itself with a martial arts tournament that would decide the fate of earth ( and it's 5 billion inhabitants ) .	1	-2	 the[0] first[0] movie[0] mortal[0] kombat[0] 1995[0] concerned[-1] itself[0] with[0] a[0] martial[0] arts[0] tournament[0] that[0] would[0] decide[0] the[0] fate[0] of[0] earth[0] and[0] it's[0] 5[0] billion[0] inhabitants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mortals won , and in theory this should have prevented the emperor shao khan from taking over the earth . 	the mortals won , and in theory this should have prevented the emperor shao khan from taking over the earth .	1	-1	 the[0] mortals[0] won[0] and[0] in[0] theory[0] this[0] should[0] have[0] prevented[0] the[0] emperor[0] shao[0] khan[0] from[0] taking[0] over[0] the[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , shao khan was a poor loser , and the very final scene in mortal kombat showed him arriving anyway , ready to take over the planet , as our heroes assumed a fighting stance . 	unfortunately , shao khan was a poor loser , and the very final scene in mortal kombat showed him arriving anyway , ready to take over the planet , as our heroes assumed a fighting stance .	3	-3	 unfortunately[-1] shao[0] khan[0] was[0] a[0] poor[-1] loser[-2] and[0] the[0] very[0] final[0] scene[0] in[0] mortal[0] kombat[0] showed[0] him[0] arriving[0] anyway[0] ready[0] to[0] take[0] over[0] the[0] planet[0] as[0] our[0] heroes[2] assumed[0] a[0] fighting[-2] stance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the first movie was extraordinarily entertaining for those ( like myself ) who are fans of the game . 	the first movie was extraordinarily entertaining for those ( like myself ) who are fans of the game .	2	-1	 the[0] first[0] movie[0] was[0] extraordinarily[0] entertaining[0] for[0] those[0] like[1] myself[0] who[0] are[0] fans[0] of[0] the[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
