this is not a simple plan about finding a plane load of money and getting away with the cash . 	Translation	Positive	Negative	EmotionRationale
this is more about a parable of greed , and how money can become the bane of your life . 	this is more about a parable of greed , and how money can become the bane of your life .	1	-3	 this[0] is[0] more[0] about[0] a[0] parable[0] of[0] greed[-2] and[0] how[0] money[0] can[0] become[0] the[0] bane[-1] of[0] your[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yes , there are elements of ? fargo' here ( the snow and cold ) , although not as vivid in the blood and gore department . 	yes , there are elements of ?<br> fargo' here ( the snow and cold ) , although not as vivid in the blood and gore department .	1	-2	 yes[0] there[0] are[0] elements[0] of[0] [[Sentence=-1,1=word max, 1-5]] fargo'[0] here[0] the[0] snow[0] and[0] cold[-1] although[0] not[0] as[0] vivid[0] in[0] the[0] blood[0] and[0] gore[0] department[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it shows how greed can set of a chain of events leading to death and the destruction of lives . 	it shows how greed can set of a chain of events leading to death and the destruction of lives .	1	-3	 it[0] shows[0] how[0] greed[-2] can[0] set[0] of[0] a[0] chain[0] of[0] events[0] leading[0] to[0] death[-2] and[0] the[0] destruction[-1] of[0] lives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and how at the end of the day , the things that matter most are love , truth and honesty . 	and how at the end of the day , the things that matter most are love , truth and honesty .	3	-1	 and[0] how[0] at[0] the[0] end[0] of[0] the[0] day[0] the[0] things[0] that[0] matter[0] most[0] are[0] love[2] truth[1] and[0] honesty[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although in one sense it may seem tedious , making a movie about the ugliness of greed ( not box office material ) , it does become tedious , not because of the morale ending , but because one expects the movie to end that way . 	although in one sense it may seem tedious , making a movie about the ugliness of greed ( not box office material ) , it does become tedious , not because of the morale ending , but because one expects the movie to end that way .	1	-3	 although[0] in[0] one[0] sense[0] it[0] may[0] seem[0] tedious[-2] making[0] a[0] movie[0] about[0] the[0] ugliness[-2] of[0] greed[-2] not[0] box[0] office[0] material[0] it[0] does[0] become[0] tedious[-2] not[0] because[0] of[0] the[0] morale[0] ending[0] but[0] because[0] one[0] expects[0] the[0] movie[0] to[0] end[0] that[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this becomes apparent after the first murder to cover up the crime , the rest of the movie just spirals downward from there . 	this becomes apparent after the first murder to cover up the crime , the rest of the movie just spirals downward from there .	1	-4	 this[0] becomes[0] apparent[0] after[0] the[0] first[0] murder[-3] to[0] cover[0] up[0] the[0] crime[-1] the[0] rest[0] of[0] the[0] movie[0] just[0] spirals[0] downward[0] from[0] there[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters in this drama are a mixture of simple and intellectual folk , brothers and friends , who all fall prey to the avarice of money . 	the characters in this drama are a mixture of simple and intellectual folk , brothers and friends , who all fall prey to the avarice of money .	2	-3	 the[0] characters[0] in[0] this[0] drama[0] are[0] a[0] mixture[0] of[0] simple[0] and[0] intellectual[0] folk[0] brothers[0] and[0] friends[1] who[0] all[0] fall[0] prey[0] to[0] the[0] avarice[-2] of[0] money[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they should have perhaps thrown in someone sensible , level headed and not affected by greed to give the party more balance . 	they should have perhaps thrown in someone sensible , level headed and not affected by greed to give the party more balance .	1	-3	 they[0] should[0] have[0] perhaps[0] thrown[0] in[0] someone[0] sensible[0] level[0] headed[0] and[0] not[0] affected[0] by[0] greed[-2] to[0] give[0] the[0] party[0] more[0] balance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
commendable is the exceptional performance of billy bob thornton , whose portrayal of the simpleton brother was masterful . 	commendable is the exceptional performance of billy bob thornton , whose portrayal of the simpleton brother was masterful .	1	-2	 commendable[0] is[0] the[0] exceptional[0] performance[0] of[0] billy[0] bob[0] thornton[0] whose[0] portrayal[0] of[0] the[0] simpleton[-1] brother[0] was[0] masterful[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bill paxton also gives a powerful performance as the greedier younger brother , whilst bridget fonda is convincing as the greediest wife , who indirectly causes the most problems . 	bill paxton also gives a powerful performance as the greedier younger brother , whilst bridget fonda is convincing as the greediest wife , who indirectly causes the most problems .	1	-3	 bill[0] paxton[0] also[0] gives[0] a[0] powerful[0] performance[0] as[0] the[0] greedier[-2] younger[0] brother[0] whilst[0] bridget[0] fonda[0] is[0] convincing[0] as[0] the[0] greediest[-2] wife[0] who[0] indirectly[0] causes[0] the[0] most[0] problems[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fill a room full of greedy people and several million dollars , and you will end up with a simple recipe for a blood bath . 	fill a room full of greedy people and several million dollars , and you will end up with a simple recipe for a blood bath .	1	-3	 fill[0] a[0] room[0] full[0] of[0] greedy[-2] people[0] and[0] several[0] million[0] dollars[0] and[0] you[0] will[0] end[0] up[0] with[0] a[0] simple[0] recipe[0] for[0] a[0] blood[0] bath[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not a simple plan , when you shoot everyone you love for money , unless you're the menendez brothers . 	it's not a simple plan , when you shoot everyone you love for money , unless you're the menendez brothers .	3	-2	 it's[0] not[0] a[0] simple[0] plan[0] when[0] you[0] shoot[-1] everyone[0] you[0] love[2] for[0] money[0] unless[0] you're[0] the[0] menendez[0] brothers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
