one might expect a cathartic viewing experience walking into a new jean-luc godard film . 	Translation	Positive	Negative	EmotionRationale
after all , he was a founding member of the highly influential french new wave . 	after all , he was a founding member of the highly influential french new wave .	1	-1	 after[0] all[0] he[0] was[0] a[0] founding[0] member[0] of[0] the[0] highly[0] influential[0] french[0] new[0] wave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is also an esteemed film critic , lending intelligence and historical perspective to us in much of his writing . 	he is also an esteemed film critic , lending intelligence and historical perspective to us in much of his writing .	1	-2	 he[0] is[0] also[0] an[0] esteemed[0] film[0] critic[-1] lending[0] intelligence[0] and[0] historical[0] perspective[0] to[0] us[0] in[0] much[0] of[0] his[0] writing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , his latest creation , in praise of love , is possibly the most exasperating film experience of the year . 	however , his latest creation , in praise of love , is possibly the most exasperating film experience of the year .	3	-2	 however[0] his[0] latest[0] creation[0] in[0] praise[2] of[0] love[2] is[0] possibly[0] the[0] most[0] exasperating[-1] film[0] experience[0] of[0] the[0] year[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the abstract concept on which the film is based had merit , to dissect love into the following four categories : meeting , physical passion , quarrels , and reconciliation . 	the abstract concept on which the film is based had merit , to dissect love into the following four categories : meeting , physical passion , quarrels , and reconciliation .	3	-3	 the[0] abstract[0] concept[0] on[0] which[0] the[0] film[0] is[0] based[0] had[0] merit[1] to[0] dissect[0] love[2] into[0] the[0] following[0] four[0] categories[0] meeting[0] physical[0] passion[2] quarrels[-2] and[0] reconciliation[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
these four universal truths would be revealed through three different couples : young , adult , and elderly . 	these four universal truths would be revealed through three different couples : young , adult , and elderly .	2	-1	 these[0] four[0] universal[0] truths[1] would[0] be[0] revealed[0] through[0] three[0] different[0] couples[0] young[0] adult[0] and[0] elderly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is edgar's ( bruno putzulu ) self-appointed task to capture these moments after a recent breakup , to define a central idea : " it's only when things are over that they make sense . " 	it is edgar's ( bruno putzulu ) self-appointed task to capture these moments after a recent breakup , to define a central idea : " it's only when things are over that they make sense .<br> "	1	-2	 it[0] is[0] edgar's[0] bruno[0] putzulu[0] self[0] appointed[0] task[0] to[0] capture[-1] these[0] moments[0] after[0] a[0] recent[0] breakup[0] to[0] define[0] a[0] central[0] idea[0] it's[0] only[0] when[0] things[0] are[0] over[0] that[0] they[0] make[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whether this project will end up a play , film , or opera remains undecided . 	whether this project will end up a play , film , or opera remains undecided .	1	-1	 whether[0] this[0] project[0] will[0] end[0] up[0] a[0] play[0] film[0] or[0] opera[0] remains[0] undecided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thesis is simple enough that , if played right , it could really hold sympathetic value for anyone . 	the thesis is simple enough that , if played right , it could really hold sympathetic value for anyone .	2	-1	 the[0] thesis[0] is[0] simple[0] enough[0] that[0] if[0] played[0] right[0] it[0] could[0] really[0] hold[0] sympathetic[0] value[1] for[0] anyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead what ensues is an hour and a half of repetitive vignettes , the next scene no more engaging than the last . 	instead what ensues is an hour and a half of repetitive vignettes , the next scene no more engaging than the last .	1	-1	 instead[0] what[0] ensues[0] is[0] an[0] hour[0] and[0] a[0] half[0] of[0] repetitive[0] vignettes[0] the[0] next[0] scene[0] no[0] more[0] engaging[0] than[0] the[0] last[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only once does any character utter something worthwhile , but by the time it happens you're so thoroughly bored you can easily miss it . 	only once does any character utter something worthwhile , but by the time it happens you're so thoroughly bored you can easily miss it .	2	-2	 only[0] once[0] does[0] any[0] character[0] utter[0] something[0] worthwhile[1] but[0] by[0] the[0] time[0] it[0] happens[0] you're[0] so[0] thoroughly[0] bored[-1] you[0] can[0] easily[0] miss[-1] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
