if i were one of those arrogant critics who thinks his review has some great impact on the success or failure of certain films , i might say that i review movies that don't look particularly good because i'm doing a service to my readers by warning them against seeing it . 	Translation	Positive	Negative	EmotionRationale
if that were true , i could put a banner at the top of my site that reads : " shay casey : seeing bad movies so you don't have to . " 	if that were true , i could put a banner at the top of my site that reads : " shay casey : seeing bad movies so you don't have to .<br> "	2	-2	 if[0] that[0] were[0] true[1] i[0] could[0] put[0] a[0] banner[0] at[0] the[0] top[0] of[0] my[0] site[0] that[0] reads[0] shay[0] casey[0] seeing[0] bad[-1] movies[0] so[0] you[0] don't[0] have[0] to[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i know that's bunk-you're going to see whatever movies you want to no matter what i say . 	but i know that's bunk-you're going to see whatever movies you want to no matter what i say .	1	-1	 but[0] i[0] know[0] that's[0] bunk[0] you're[0] going[0] to[0] see[0] whatever[0] movies[0] you[0] want[0] to[0] no[0] matter[0] what[0] i[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so i have to tell the truth : every once in a while i get a nasty , masochistic urge to see a bad movie . 	so i have to tell the truth : every once in a while i get a nasty , masochistic urge to see a bad movie .	2	-4	 so[0] i[0] have[0] to[0] tell[0] the[0] truth[1] every[0] once[0] in[0] a[0] while[0] i[0] get[0] a[0] nasty[-2] masochistic[-2][-1 MultiplePositiveWords] urge[0] to[0] see[0] a[0] bad[-1] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
you know the feeling , when you're sick of seeing all these damn academy award contenders and you want to see something you can have a ball trashing mercilessly . 	you know the feeling , when you're sick of seeing all these damn academy award contenders and you want to see something you can have a ball trashing mercilessly .	1	-2	 you[0] know[0] the[0] feeling[0] when[0] you're[0] sick[-1] of[0] seeing[0] all[0] these[0] damn[-1] academy[0] award[0] contenders[0] and[0] you[0] want[0] to[0] see[0] something[0] you[0] can[0] have[0] a[0] ball[0] trashing[-1] mercilessly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes i think that's why anyone goes to see pauly shore movies , ever . 	sometimes i think that's why anyone goes to see pauly shore movies , ever .	1	-1	 sometimes[0] i[0] think[0] that's[0] why[0] anyone[0] goes[0] to[0] see[0] pauly[0] shore[0] movies[0] ever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admit it : sometimes you like seeing bad movies . 	admit it : sometimes you like seeing bad movies .	2	-2	 admit[0] it[0] sometimes[0] you[0] like[1] seeing[0] bad[-1] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so do i . 	so do i .	1	-1	 so[0] do[0] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so i saw " supernova . " 	so i saw " supernova .<br> "	1	-1	 so[0] i[0] saw[0] supernova[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truth be told , " supernova " wasn't quite as bad as i thought it might be . 	truth be told , " supernova " wasn't quite as bad as i thought it might be .	2	-2	 truth[1] be[0] told[0] supernova[0] wasn't[0] quite[0] as[0] bad[-1] as[0] i[0] thought[0] it[0] might[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
maybe i just felt sorry for the actors , or maybe i thought it could have been decent if the studio hadn't started tinkering with the director's ( walter hill ) final cut , causing him to want his name removed . 	maybe i just felt sorry for the actors , or maybe i thought it could have been decent if the studio hadn't started tinkering with the director's ( walter hill ) final cut , causing him to want his name removed .	1	-2	 maybe[0] i[0] just[0] felt[0] sorry[-1] for[0] the[0] actors[0] or[0] maybe[0] i[0] thought[0] it[0] could[0] have[0] been[0] decent[0] if[0] the[0] studio[0] hadn't[0] started[0] tinkering[0] with[0] the[0] director's[0] walter[0] hill[0] final[0] cut[0] causing[0] him[0] to[0] want[0] his[0] name[0] removed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe i'm becoming a softy . 	maybe i'm becoming a softy .	1	-1	 maybe[0] i'm[0] becoming[0] a[0] softy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in any case , i didn't find " supernova " as bad as the advance buzz would have me believe . 	in any case , i didn't find " supernova " as bad as the advance buz would have me believe .	1	-2	 in[0] any[0] case[0] i[0] didn't[0] find[0] supernova[0] as[0] bad[-1] as[0] the[0] advance[0] buzz/buz[0] would[0] have[0] me[0] believe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's still bad . 	but it's still bad .	1	-2	 but[0] it's[0] still[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film takes place aboard the medical space vessel " nightingale . " 	the film takes place aboard the medical space vessel " nightingale .<br> "	1	-1	 the[0] film[0] takes[0] place[0] aboard[0] the[0] medical[0] space[0] vessel[0] nightingale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the crew includes captain a . j . 	the crew includes captain a .<br> j .	1	-1	 the[0] crew[0] includes[0] captain[0] a[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marley ( robert forster ) , his new second officer nick vanzant ( james spader ) , head medical officer kaela evers ( angela bassett ) , medical technicians yerzy penalosa ( lou diamond phillips ) and danika lund ( robin tunney ) , and computer technician benj sotomejor ( wilson cruz ) . 	marley ( robert forster ) , his new second officer nick vanzant ( james spader ) , head medical officer kaela evers ( angela bassett ) , medical technicians yerzy penalosa ( lou diamond phillips ) and danika lund ( robin tunney ) , and computer technician benj sotomejor ( wilson cruz ) .	1	-1	 marley[0] robert[0] forster[0] his[0] new[0] second[0] officer[0] nick[0] vanzant[0] james[0] spader[0] head[0] medical[0] officer[0] kaela[0] evers[0] angela[0] bassett[0] medical[0] technicians[0] yerzy[0] penalosa[0] lou[0] diamond[0] phillips[0] and[0] danika[0] lund[0] robin[0] tunney[0] and[0] computer[0] technician[0] benj[0] sotomejor[0] wilson[0] cruz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some attempts at " characterization , " but all that means is that nick has a shady past involving a drug addiction , which puts kaela on edge , yerzy and danika have a relationship that requires them to make kissy-faces at each other every five minutes , and benj ( apparently gay ) is in love with the computer ( apparently female ) . 	there are some attempts at " characterization , " but all that means is that nick has a shady past involving a drug addiction , which puts kaela on edge , yerzy and danika have a relationship that requires them to make kissy-faces at each other every five minutes , and benj ( apparently gay ) is in love with the computer ( apparently female ) .	3	-2	 there[0] are[0] some[0] attempts[0] at[0] characterization[0] but[0] all[0] that[0] means[0] is[0] that[0] nick[0] has[0] a[0] shady[-1] past[0] involving[0] a[0] drug[0] addiction[-1] which[0] puts[0] kaela[0] on[0] edge[0] yerzy[0] and[0] danika[0] have[0] a[0] relationship[0] that[0] requires[0] them[0] to[0] make[0] kissy[2] faces[0] at[0] each[0] other[0] every[0] five[0] minutes[0] and[0] benj[0] apparently[0] gay[-1] is[0] in[0] love[2] with[0] the[0] computer[0] apparently[0] female[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
don't expect any more explanation , because you won't get it . 	don't expect any more explanation , because you won't get it .	1	-1	 don't[0] expect[0] any[0] more[0] explanation[0] because[0] you[0] won't[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , the crew gets a distress call from a location deep in space to which a failed mining operation had been sent . 	anyway , the crew gets a distress call from a location deep in space to which a failed mining operation had been sent .	1	-3	 anyway[0] the[0] crew[0] gets[0] a[0] distress[-2] call[0] from[0] a[0] location[0] deep[0] in[0] space[0] to[0] which[0] a[0] failed[-2] mining[0] operation[0] had[0] been[0] sent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
during the dimension jump ( i think that's what it's called , but don't hold me to it ) , the captain is killed and the man who sent the distress signal ( peter facinelli ) is brought on board . 	during the dimension jump ( i think that's what it's called , but don't hold me to it ) , the captain is killed and the man who sent the distress signal ( peter facinelli ) is brought on board .	1	-4	 during[0] the[0] dimension[0] jump[0] i[0] think[0] that's[0] what[0] it's[0] called[0] but[0] don't[0] hold[0] me[0] to[0] it[0] the[0] captain[0] is[0] killed[-3] and[0] the[0] man[0] who[0] sent[0] the[0] distress[-2] signal[0] peter[0] facinelli[0] is[0] brought[0] on[0] board[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he calls himself troy larson , making him the supposed son of a man kaela once had a relationship with . 	he calls himself troy larson , making him the supposed son of a man kaela once had a relationship with .	1	-1	 he[0] calls[0] himself[0] troy[0] larson[0] making[0] him[0] the[0] supposed[0] son[0] of[0] a[0] man[0] kaela[0] once[0] had[0] a[0] relationship[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then a bunch of really predictable stuff starts happening . 	then a bunch of really predictable stuff starts happening .	1	-1	 then[0] a[0] bunch[0] of[0] really[0] predictable[0] stuff[0] starts[0] happening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
have you seen " alien ? " 	have you seen " alien ?<br> "	1	-2	 have[0] you[0] seen[0] alien[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
have you seen " event horizon " ( a lame movie in its own right ) ? 	have you seen " event horizon " ( a lame movie in its own right ) ?	1	-3	 have[0] you[0] seen[0] event[0] horizon[0] a[0] lame[-2] movie[0] in[0] its[0] own[0] right[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
good . 	good .	2	-1	 good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then you've seen " supernova . " 	then you've seen " supernova .<br> "	1	-1	 then[0] you've[0] seen[0] supernova[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
post-production cuts or not , there is nothing original about this screenplay , and nothing unpredictable either . 	post-production cuts or not , there is nothing original about this screenplay , and nothing unpredictable either .	1	-1	 post[0] production[0] cuts[0] or[0] not[0] there[0] is[0] nothing[0] original[0] about[0] this[0] screenplay[0] and[0] nothing[0] unpredictable[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , no one's going to think for a second that troy won't turn out to be a villain . 	after all , no one's going to think for a second that troy won't turn out to be a villain .	1	-3	 after[0] all[0] no[0] one's[0] going[0] to[0] think[0] for[0] a[0] second[0] that[0] troy[0] won't[0] turn[0] out[0] to[0] be[0] a[0] villain[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the bigger problem with " supernova " is that it can' t just stick to the simple plot it's afforded . 	but the bigger problem with " supernova " is that it can' t just stick to the simple plot it's afforded .	1	-2	 but[0] the[0] bigger[0] problem[-1] with[0] supernova[0] is[0] that[0] it[0] can'[0] t[0] just[0] stick[0] to[0] the[0] simple[0] plot[0] it's[0] afforded[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
