fantastically over hyped , godzila finally lumbers onto the big screen . 	Translation	Positive	Negative	EmotionRationale
the film opens with footage of nuclear testing on the french polynesian islands , then an attack on a boat from some beast , and finally we join dr . nick tatopoulos ( broderick looking about 17 years old ) doing some research in chernobyl . 	the film opens with footage of nuclear testing on the french polynesian islands , then an attack on a boat from some beast , and finally we join dr .<br> nick tatopoulos ( broderick looking about 17 years old ) doing some research in chernobyl .	1	-3	 the[0] film[0] opens[0] with[0] footage[0] of[0] nuclear[0] testing[0] on[0] the[0] french[0] polynesian[0] islands[0] then[0] an[0] attack[-2] on[0] a[0] boat[0] from[0] some[0] beast[0] and[0] finally[0] we[0] join[0] dr[0] [[Sentence=-3,1=word max, 1-5]] nick[0] tatopoulos[0] broderick[0] looking[0] about[0] 17[0] years[0] old[0] doing[0] some[0] research[0] in[0] chernobyl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
some shady u . s government guys appear , and ask him to come to an island where they have massive footprints , from what looks like a giant lizard . 	some shady you .<br> s government guys appear , and ask him to come to an island where they have massive footprints , from what looks like a giant lizard .	2	-1	 some[0] shady[-1][--1 LastWordBoosterStrength] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] government[0] guys[0] appear[0] and[0] ask[0] him[0] to[0] come[0] to[0] an[0] island[0] where[0] they[0] have[0] massive[0] footprints[0] from[0] what[0] looks[0] like[1] a[0] giant[0] lizard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and what's more , this beast is heading for new york . 	and what's more , this beast is heading for new york .	1	-1	 and[0] what's[0] more[0] this[0] beast[0] is[0] heading[0] for[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gulp ! 	gulp !	1	-1	 gulp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although godzilla should be a non stop roller coaster ride , and at some points it is , there is something curiously uninvolving and unexciting about this movie . 	although godzilla should be a non stop roller coaster ride , and at some points it is , there is something curiously uninvolving and unexciting about this movie .	1	-1	 although[0] godzilla[0] should[0] be[0] a[0] non[0] stop[0] roller[0] coaster[0] ride[0] and[0] at[0] some[0] points[0] it[0] is[0] there[0] is[0] something[0] curiously[0] uninvolving[0] and[0] unexciting[0] about[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main faults lie with the acting and writing , common problems with 'summer blockbuster' movies . 	the main faults lie with the acting and writing , common problems with 'summer blockbuster' movies .	1	-2	 the[0] main[0] faults[-1] lie[0] with[0] the[0] acting[0] and[0] writing[0] common[0] problems[-1] with[0] 'summer[0] blockbuster'[-1] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
broderick is pretty useless as the hero , with no humour or a 'tough guy' image . 	broderick is pretty useless as the hero , with no humour or a 'tough guy' image .	3	-3	 broderick[0] is[0] pretty[2] useless[-2] as[0] the[0] hero[2] with[0] no[0] humour[2] or[0] a[0] 'tough[0] guy'[0] image[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while emmerich's previous summer flick , independence day ( 1996 ) had wisecracks and action from jeff goldblum and will smith , this has neither . 	while emmerich's previous summer flick , independence day ( 1996 ) had wisecracks and action from jeff goldblum and will smith , this has neither .	1	-1	 while[0] emmerich's[0] previous[0] summer[0] flick[0] independence[0] day[0] 1996[0] had[0] wisecracks[0] and[0] action[0] from[0] jeff[0] goldblum[0] and[0] will[0] smith[0] this[0] has[0] neither[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , maria pitillo , as broderick's former girlfriend , is just as useless , with a chronic disability in acting . 	also , maria pitillo , as broderick's former girlfriend , is just as useless , with a chronic disability in acting .	1	-3	 also[0] maria[0] pitillo[-2] as[0] broderick's[0] former[0] girlfriend[0] is[0] just[0] as[0] useless[-2] with[0] a[0] chronic[-2] disability[0] in[0] acting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she's incapable of showing emotion , speaks every line in the same way , and basically she's total crap . 	she's incapable of showing emotion , speaks every line in the same way , and basically she's total crap .	1	-4	 she's[0] incapable[-1] of[0] showing[0] emotion[0] speaks[0] every[0] line[0] in[0] the[0] same[0] way[0] and[0] basically[0] she's[0] total[0] crap[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's up to french actor jean reno to save the day , and indeed he does , turning in a campy performance as a french secret agent . 	it's up to french actor jean reno to save the day , and indeed he does , turning in a campy performance as a french secret agent .	2	-1	 it's[0] up[0] to[0] french[0] actor[0] jean[0] reno[0] to[0] save[1] the[0] day[0] and[0] indeed[0] he[0] does[0] turning[0] in[0] a[0] campy[0] performance[0] as[0] a[0] french[0] secret[0] agent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shame he has such little screen time in such a overlong film . 	shame he has such little screen time in such a overlong film .	1	-3	 shame[-2] he[0] has[0] such[0] little[0] screen[0] time[0] in[0] such[0] a[0] overlong[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hank azaria also turns up as a crazy cameraman named 'animal' , and he adds a little life to the picture . 	hank azaria also turns up as a crazy cameraman named 'animal' , and he adds a little life to the picture .	1	-2	 hank[0] azaria[0] also[0] turns[0] up[0] as[0] a[0] crazy[-1] cameraman[0] named[0] 'animal'[0] and[0] he[0] adds[0] a[0] little[0] life[0] to[0] the[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also making an appearance is harry shearer ( probably best know for doing voices in the simpsons ) as a slimy news reporter . 	also making an appearance is harry shearer ( probably best know for doing voices in the simpsons ) as a slimy news reporter .	2	-1	 also[0] making[0] an[0] appearance[0] is[0] harry[0] shearer[0] probably[0] best[1] know[0] for[0] doing[0] voices[0] in[0] the[0] simpsons[0] as[0] a[0] slimy[0] news[0] reporter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
