weighed down by tired plot lines and spielberg's reliance on formulas , _saving private ryan_ is a mediocre film which nods in the direction of realism before descending into an abyss of cliches . 	Translation	Positive	Negative	EmotionRationale
there ought to be a law against steven spielberg making movies about truly serious topics . 	there ought to be a law against steven spielberg making movies about truly serious topics .	2	-2	 there[0] ought[0] to[0] be[0] a[0] law[0] against[-1] steven[0] spielberg[0] making[0] movies[0] about[0] truly[1] serious[-1] topics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spielberg's greatest strength as a director is the polished , formulaic way in which every aspect of the film falls carefully into place to make a perfect story . 	spielberg's greatest strength as a director is the polished , formulaic way in which every aspect of the film falls carefully into place to make a perfect story .	3	-1	 spielberg's[0] greatest[2] strength[0] as[0] a[0] director[0] is[0] the[0] polished[0] formulaic[0] way[0] in[0] which[0] every[0] aspect[0] of[0] the[0] film[0] falls[0] carefully[0] into[0] place[0] to[0] make[0] a[0] perfect[1] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but for a topic of such weight as combat in the second world war ( or the holocaust ) this technique backfires , for it creates coherent , comprehensible and redemptive narratives out of events whose size , complexity and evil are utterly beyond the reach of human ken . 	but for a topic of such weight as combat in the second world war ( or the holocaust ) this technique backfires , for it creates coherent , comprehensible and redemptive narratives out of events whose size , complexity and evil are utterly beyond the reach of human ken .	1	-3	 but[0] for[0] a[0] topic[0] of[0] such[0] weight[0] as[0] combat[-1] in[0] the[0] second[0] world[0] war[-2] or[0] the[0] holocaust[0] this[0] technique[0] backfires[0] for[0] it[0] creates[0] coherent[0] comprehensible[0] and[0] redemptive[0] narratives[0] out[0] of[0] events[0] whose[0] size[0] complexity[0] and[0] evil[-2] are[0] utterly[0] beyond[0] the[0] reach[0] of[0] human[0] ken[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this way spielberg trivializes the awesome evil of the stories he films . 	in this way spielberg trivializes the awesome evil of the stories he films .	3	-3	 in[0] this[0] way[0] spielberg[0] trivializes[-1] the[0] awesome[2] evil[-2] of[0] the[0] stories[0] he[0] films[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
_saving private ryan_ tells the story of eight men who have been detailed on a " pr mission " to pull a young man , ryan ( whose three other brothers were just killed in fighting elsewhere ) out of combat on the normandy front just after d-day . 	_saving private ryan_ tells the story of eight men who have been detailed on a " pr mission " to pull a young man , ryan ( whose three other brothers were just killed in fighting elsewhere ) out of combat on the normandy front just after d-day .	1	-3	 _saving[0] private[0] ryan_[0] tells[0] the[0] story[0] of[0] eight[0] men[0] who[0] have[0] been[0] detailed[0] on[0] a[0] pr[0] mission[0] to[0] pull[0] a[0] young[0] man[0] ryan[0] whose[0] three[0] other[0] brothers[0] were[0] just[0] killed[-3][--1 LastWordBoosterStrength] in[0] fighting[-2] elsewhere[0] out[0] of[0] combat[-1] on[0] the[0] normandy[0] front[0] just[0] after[0] d[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ryan is a paratrooper who dropped behind enemy lines the night before the landings and became separated from his fellow soldiers . 	ryan is a paratrooper who dropped behind enemy lines the night before the landings and became separated from his fellow soldiers .	1	-2	 ryan[0] is[0] a[0] paratrooper[0] who[0] dropped[0] behind[0] enemy[-1] lines[0] the[0] night[0] before[0] the[0] landings[0] and[0] became[0] separated[0] from[0] his[0] fellow[0] soldiers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the search for him takes the eight soldiers across the hellish terrain of world war ii combat in france . 	the search for him takes the eight soldiers across the hellish terrain of world war i combat in france .	1	-3	 the[0] search[0] for[0] him[0] takes[0] the[0] eight[0] soldiers[0] across[0] the[0] hellish[-2] terrain[0] of[0] world[0] war[-2] ii/i[0] combat[-1] in[0] france[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's no denying spielberg came within shouting distance of making a great war movie . 	there's no denying spielberg came within shouting distance of making a great war movie .	3	-3	 there's[0] no[0] denying[0] spielberg[0] came[0] within[0] shouting[0] distance[0] of[0] making[0] a[0] great[2] war[-2] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the equipment , uniforms and weapons are superbly done . 	the equipment , uniforms and weapons are superbly done .	1	-2	 the[0] equipment[0] uniforms[0] and[0] weapons[-1] are[0] superbly[0] done[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the opening sequence , in which captain miller ( tom hanks ) leads his men onto omaha beach , is quite possibly the closest anyone has come to actually capturing the unendurably savage intensity of modern infantry combat . 	the opening sequence , in which captain miller ( tom hanks ) leads his men onto omaha beach , is quite possibly the closest anyone has come to actually capturing the unendurably savage intensity of modern infantry combat .	1	-3	 the[0] opening[0] sequence[0] in[0] which[0] captain[0] miller[0] tom[0] hanks[0] leads[0] his[0] men[0] onto[0] omaha[0] beach[0] is[0] quite[0] possibly[0] the[0] closest[0] anyone[0] has[0] come[0] to[0] actually[0] capturing[0] the[0] unendurably[0] savage[-2] intensity[0] of[0] modern[0] infantry[0] combat[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another pleasing aspect of the film is spielberg's brave depiction of scenes largely unknown to american audiences , such as the shooting of prisoners by allied soldiers , the banality of death in combat , the routine foul-ups in the execution of the war , and the cynicism of the troops . 	another pleasing aspect of the film is spielberg's brave depiction of scenes largely unknown to american audiences , such as the shooting of prisoners by allied soldiers , the banality of death in combat , the routine foul-ups in the execution of the war , and the cynicism of the troops .	3	-3	 another[0] pleasing[2] aspect[0] of[0] the[0] film[0] is[0] spielberg's[0] brave[2] depiction[0] of[0] scenes[0] largely[0] unknown[0] to[0] american[0] audiences[0] such[0] as[0] the[0] shooting[-1] of[0] prisoners[-1] by[0] allied[0] soldiers[0] the[0] banality[-1] of[0] death[-2] in[0] combat[-1] the[0] routine[0] foul[0] ups[0] in[0] the[0] execution[0] of[0] the[0] war[-2] and[0] the[0] cynicism[-1] of[0] the[0] troops[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the technical side of the film is peerless , as always . 	the technical side of the film is peerless , as always .	1	-1	 the[0] technical[0] side[0] of[0] the[0] film[0] is[0] peerless[0] as[0] always[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the camera work is magnificent , the pacing perfect , the sets convincing , the directing without flaw . 	the camera work is magnificent , the pacing perfect , the sets convincing , the directing without flaw .	4	-2	 the[0] camera[0] work[0] is[0] magnificent[3] the[0] pacing[0] perfect[1] the[0] sets[0] convincing[0] the[0] directing[0] without[0] flaw[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
hanks will no doubt be nominated for an oscar for his performance , which was utterly convincing , and the supporting cast was excellent , though ted danson seems a mite out of place as a paratroop colonel . 	hanks will no doubt be nominated for an oscar for his performance , which was utterly convincing , and the supporting cast was excellent , though ted danson seems a mite out of place as a paratroop colonel .	4	-2	 hanks[0] will[0] no[0] doubt[-1] be[0] nominated[0] for[0] an[0] oscar[0] for[0] his[0] performance[0] which[0] was[0] utterly[0] convincing[0] and[0] the[0] supporting[1] cast[0] was[0] excellent[3] though[0] ted[0] danson[0] seems[0] a[0] mite[0] out[0] of[0] place[0] as[0] a[0] paratroop[0] colonel[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
