john carpenter makes b-movies . 	Translation	Positive	Negative	EmotionRationale
always has ( " halloween , " " escape from new york , " " the thing " ) and , by the looks of it ( " they live , " " escape from l . a . , " " vampires " ) , always will . 	always has ( " halloween , " " escape from new york , " " the thing " ) and , by the looks of it ( " they live , " " escape from l .<br> a .<br> , " " vampires " ) , always will .	1	-1	 always[0] has[0] halloween[0] escape[0] from[0] new[0] york[0] the[0] thing[0] and[0] by[0] the[0] looks[0] of[0] it[0] they[0] live[0] escape[0] from[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] vampires[0] always[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carpenter's latest horror opus with a science fiction bent ( or science fiction outing with a schlock horror bent ) is the aptly-titled " john carpenter's ghosts of mars " ( in case , i suppose , you went looking for someone else's " ghosts of mars " ) . 	carpenter's latest horror opus with a science fiction bent ( or science fiction outing with a schlock horror bent ) is the aptly-titled " john carpenter's ghosts of mars " ( in case , i suppose , you went looking for someone else's " ghosts of mars " ) .	1	-4	 carpenter's[0] latest[0] horror[-3] opus[0] with[0] a[0] science[0] fiction[0] bent[0] or[0] science[0] fiction[0] outing[0] with[0] a[0] schlock[0] horror[-3] bent[0] is[0] the[0] aptly[0] titled[0] john[0] carpenter's[0] ghosts[0] of[0] mars[0] in[0] case[0] i[0] suppose[0] you[0] went[0] looking[0] for[0] someone[0] else's[0] ghosts[0] of[0] mars[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
like all those films prefixed by the very possessive " john carpenter's , " " ghosts of mars " is an unashamed b-movie punctuated by a b-movie plot , b-movie actors , and b-movie special effects . 	like all those films prefixed by the very possessive " john carpenter's , " " ghosts of mars " is an unashamed b-movie punctuated by a b-movie plot , b-movie actors , and b-movie special effects .	2	-1	 like[1] all[0] those[0] films[0] prefixed[0] by[0] the[0] very[0] possessive[0] john[0] carpenter's[0] ghosts[0] of[0] mars[0] is[0] an[0] unashamed[0] b[0] movie[0] punctuated[0] by[0] a[0] b[0] movie[0] plot[0] b[0] movie[0] actors[0] and[0] b[0] movie[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in category one , above , we have a storyline that borders on idiotic ( and , at times , chaotic ) . 	in category one , above , we have a storyline that borders on idiotic ( and , at times , chaotic ) .	1	-3	 in[0] category[0] one[0] above[0] we[0] have[0] a[0] storyline[0] that[0] borders[0] on[0] idiotic[-2] and[0] at[0] times[0] chaotic[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dormant martians ( i . e . , swirling red gases ) awakened by meddling humans possess the souls of hapless mining colonists rendering them testy marilyn manson lookalikes . 	dormant martians ( i .<br> e .<br> , swirling red gases ) awakened by meddling humans possess the souls of hapless mining colonists rendering them testy marilyn manson lookalikes .	1	-2	 dormant[0] martians[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] swirling[0] red[0] gases[0] awakened[0] by[0] meddling[0] humans[0] possess[0] the[0] souls[0] of[0] hapless[-1] mining[0] colonists[0] rendering[0] them[0] testy[0] marilyn[0] manson[0] lookalikes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all this explained ( in flashback ) to some grand pooh-bah counsel by martian police official melanie ballard ( natasha henstridge , from the sub- " species " films ) , the only returnee on a silly-looking train . 	all this explained ( in flashback ) to some grand pooh-bah counsel by martian police official melanie ballard ( natasha henstridge , from the sub- " species " films ) , the only returnee on a silly-looking train .	1	-2	 all[0] this[0] explained[0] in[0] flashback[0] to[0] some[0] grand[1][-1 LastWordBoosterStrength] pooh[0] bah[0] counsel[0] by[0] martian[0] police[0] official[0] melanie[0] ballard[0] natasha[0] henstridge[0] from[0] the[0] sub[0] species[0] films[0] the[0] only[0] returnee[0] on[0] a[0] silly[-1] looking[0] train[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
officer ballard went in to bring back incarcerated felon james " desolation " williams ; what she found was not a pretty picture . 	officer ballard went in to bring back incarcerated felon james " desolation " williams ; what she found was not a pretty picture .	1	-3	 officer[0] ballard[0] went[0] in[0] to[0] bring[0] back[0] incarcerated[0] felon[0] james[0] desolation[-1] williams[0] what[0] she[0] found[0] was[0] not[0] a[0] pretty[2][NegatedDueToPreviousWord] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the second category we have ms . henstridge , her blonde hair pulled back tightly and awkwardly into a ponytail , ice cube ( as the appropriately-named " desolation " ) , pam grier ( briefly , oddly--who wanted to work with whom i wonder ? ) , and a host of extras all assuming that the story and special effects were going to carry this film and therefore they didn't need to try too hard . 	in the second category we have ms .<br> henstridge , her blonde hair pulled back tightly and awkwardly into a ponytail , ice cube ( as the appropriately-named " desolation " ) , pam grier ( briefly , oddly-who wanted to work with whom i wonder ?<br> ) , and a host of extras all assuming that the story and special effects were going to carry this film and therefore they didn't need to try too hard .	2	-2	 in[0] the[0] second[0] category[0] we[0] have[0] ms[0] [[Sentence=-1,1=word max, 1-5]] henstridge[0] her[0] blonde[0] hair[0] pulled[0] back[0] tightly[0] and[0] awkwardly[-1] into[0] a[0] ponytail[0] ice[0] cube[0] as[0] the[0] appropriately[0] named[0] desolation[-1] pam[0] grier[0] briefly[0] oddly[0] who[0] wanted[0] to[0] work[0] with[0] whom[0] i[0] wonder[0] [[Sentence=-2,1=word max, 1-5]] and[0] a[0] host[0] of[0] extras[0] all[0] assuming[0] that[0] the[0] story[0] and[0] special[1] effects[0] were[0] going[0] to[0] carry[0] this[0] film[0] and[0] therefore[0] they[0] didn't[0] need[0] to[0] try[0] too[0] hard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
in category number three we have , in addition to those swirling red gases and the silly-looking train , a couple of bird's-eye-view shots of a sprawling martian metropolis ( reddish also ) . 	in category number three we have , in addition to those swirling red gases and the silly-looking train , a couple of bird's-eye-view shots of a sprawling martian metropolis ( reddish also ) .	1	-2	 in[0] category[0] number[0] three[0] we[0] have[0] in[0] addition[0] to[0] those[0] swirling[0] red[0] gases[0] and[0] the[0] silly[-1] looking[0] train[0] a[0] couple[0] of[0] bird's[0] eye[0] view[0] shots[0] of[0] a[0] sprawling[0] martian[0] metropolis[0] reddish[0] also[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
state-of-the-art special effects have never been a carpenter trademark and once again the writer/director ( who seems to have no problem finding work , however ) doesn't waste any of the film's budget in that department . 	state-of-the-art special effects have never been a carpenter trademark and once again the writer/director ( who seems to have no problem finding work , however ) doesn't waste any of the film's budget in that department .	2	-2	 state[0] of[0] the[0] art[0] special[1] effects[0] have[0] never[0] been[0] a[0] carpenter[0] trademark[0] and[0] once[0] again[0] the[0] writer/director[0] who[0] seems[0] to[0] have[0] no[0] problem[-1] finding[0] work[0] however[0] doesn't[0] waste[-1] any[0] of[0] the[0] film's[0] budget[0] in[0] that[0] department[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
