when i was nine , i started buying the coolest toy figures in my local department store . 	Translation	Positive	Negative	EmotionRationale
masters of the universe was the pinnacle of what i was after for action figures : they combined science fiction and fantasy , had cool names like mekanek and stinkor and each came with its own little comic book to read . 	masters of the universe was the pinnacle of what i was after for action figures : they combined science fiction and fantasy , had cool names like mekanek and stinkor and each came with its own little comic book to read .	2	-3	 masters[0] of[0] the[0] universe[0] was[0] the[0] pinnacle[0] of[0] what[0] i[0] was[0] after[0] for[0] action[0] figures[0] they[0] combined[0] science[0] fiction[0] and[0] fantasy[0] had[0] cool[1] names[0] like[1] mekanek[0] and[0] stinkor[-2] and[0] each[0] came[0] with[0] its[0] own[0] little[0] comic[0] book[0] to[0] read[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , the animated series produced by filmation remains one of the most wildly successful television products in world history . 	of course , the animated series produced by filmation remains one of the most wildly successful television products in world history .	3	-1	 of[0] course[0] the[0] animated[0] series[0] produced[0] by[0] filmation[0] remains[0] one[0] of[0] the[0] most[0] wildly[0] successful[2] television[0] products[0] in[0] world[0] history[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
given the tremendous success of the toys and the cartoon ( not to mention its moderately successful spin-off she-ra : princess of power ) , it was inevitable that a production company would put two and two together , come with the result of " trillions " and make a live-action masters movie . 	given the tremendous success of the toys and the cartoon ( not to mention its moderately successful spin-off she-ra : princess of power ) , it was inevitable that a production company would put two and two together , come with the result of " trillions " and make a live-action masters movie .	3	-1	 given[0] the[0] tremendous[0] success[2] of[0] the[0] toys[0] and[0] the[0] cartoon[0] not[0] to[0] mention[0] its[0] moderately[0] successful[2] spin[0] off[0] she[0] ra[0] princess[0] of[0] power[0] it[0] was[0] inevitable[0] that[0] a[0] production[0] company[0] would[0] put[0] two[0] and[0] two[0] together[0] come[0] with[0] the[0] result[0] of[0] trillions[0] and[0] make[0] a[0] live[0] action[0] masters[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
let's be blunt : masters of the universe is a very bad movie . 	let's be blunt : masters of the universe is a very bad movie .	1	-3	 let's[0] be[0] blunt[-1] masters[0] of[0] the[0] universe[0] is[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is painfully dull and mind-numbingly cliched ( hands up who * wouldn't * guess he-man and skeletor take their fight into the real world ) and is acted out by either incredibly untalented actors ( dolph lundgren as he-man for one ) or good actors ( james tolkan , meg foster ) given such awful characters and dialogue that they can't help but seem terrible . 	the story is painfully dull and mind-numbingly cliched ( hands up who * wouldn't * guess he-man and skeletor take their fight into the real world ) and is acted out by either incredibly untalented actors ( dolph lundgren as he-man for one ) or good actors ( james tolkan , meg foster ) given such awful characters and dialogue that they can't help but seem terrible .	2	-4	 the[0] story[0] is[0] painfully[-3] dull[-1] and[0] mind[0] numbingly[-1] cliched[0] hands[0] up[0] who[0] wouldn't[0] guess[0] he[0] man[0] and[0] skeletor[0] take[0] their[0] fight[-2] into[0] the[0] real[0] world[0] and[0] is[0] acted[0] out[0] by[0] either[0] incredibly[0] untalented[0] actors[0] dolph[0] lundgren[0] as[0] he[0] man[0] for[0] one[0] or[0] good[1] actors[0] james[0] tolkan[0] meg[0] foster[0] given[0] such[0] awful[-3] characters[0] and[0] dialogue[0] that[0] they[0] can't[0] help[0] but[0] seem[0] terrible[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it is extremely clear that someone making the movie wanted it to be as good as star wars . 	it is extremely clear that someone making the movie wanted it to be as good as star wars .	2	-3	 it[0] is[0] extremely[0] clear[0] that[0] someone[0] making[0] the[0] movie[0] wanted[0] it[0] to[0] be[0] as[0] good[1] as[0] star[0] wars[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we have the alien bounty hunters , the desert skif technology , stormtrooper lookalikes and a musical score so reminiscent of john williams that " deja vu " is too polite a term to use in describing it . 	we have the alien bounty hunters , the desert skif technology , stormtrooper lookalikes and a musical score so reminiscent of john williams that " deja vu " is too polite a term to use in describing it .	1	-2	 we[0] have[0] the[0] alien[-1] bounty[0] hunters[0] the[0] desert[0] skif[0] technology[0] stormtrooper[0] lookalikes[0] and[0] a[0] musical[0] score[0] so[0] reminiscent[0] of[0] john[0] williams[0] that[0] deja[0] vu[0] is[0] too[0] polite[0] a[0] term[0] to[0] use[0] in[0] describing[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " blatant uninspired ripoff " would appear more appropriate . 	 " blatant uninspired ripoff " would appear more appropriate .	1	-2	 blatant[-1] uninspired[0] ripoff[0] would[0] appear[0] more[0] appropriate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tv fans might want to check out courtney cox ( monica in friends ) and robert duncan mcneill ( lt paris in star trek : voyager ) , very early in their careers and not doing to well in them either . 	tv fans might want to check out courtney cox ( monica in friends ) and robert duncan mcneill ( lt paris in star trek : voyager ) , very early in their careers and not doing to well in them either .	2	-1	 tv[0] fans[0] might[0] want[0] to[0] check[0] out[0] courtney[0] cox[0] monica[0] in[0] friends[1] and[0] robert[0] duncan[0] mcneill[0] lt[0] paris[0] in[0] star[0] trek[0] voyager[0] very[0] early[0] in[0] their[0] careers[0] and[0] not[0] doing[0] to[0] well[0] in[0] them[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so in the face of such mindless sub-mediocrity , is there anything to make masters of the universe worth watching at all ? 	so in the face of such mindless sub-mediocrity , is there anything to make masters of the universe worth watching at all ?	1	-2	 so[0] in[0] the[0] face[0] of[0] such[0] mindless[0] sub[0] mediocrity[-1] is[0] there[0] anything[0] to[0] make[0] masters[0] of[0] the[0] universe[0] worth[0] watching[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
