the blues brothers was a wonderful film , a hilarious comedy packed with good music . 	Translation	Positive	Negative	EmotionRationale
it cried out for a sequel , but john belushi's untimely death seemed to eliminate the idea . 	it cried out for a sequel , but john belushi's untimely death seemed to eliminate the idea .	1	-4	 it[0] cried[-3] out[0] for[0] a[0] sequel[0] but[0] john[0] belushi's[0] untimely[-1] death[-2] seemed[0] to[0] eliminate[-1] the[0] idea[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , eighteen years have passed , and the long dormant sequel has finally emerged . 	however , eighteen years have passed , and the long dormant sequel has finally emerged .	1	-1	 however[0] eighteen[0] years[0] have[0] passed[0] and[0] the[0] long[0] dormant[0] sequel[0] has[0] finally[0] emerged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , it's a sequel not worthy of the original . 	unfortunately , it's a sequel not worthy of the original .	1	-2	 unfortunately[-1] it's[0] a[0] sequel[0] not[0] worthy[0] of[0] the[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film starts exactly eighteen years after the first one ended . 	the film starts exactly eighteen years after the first one ended .	1	-1	 the[0] film[0] starts[0] exactly[0] eighteen[0] years[0] after[0] the[0] first[0] one[0] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elwood blues ( dan aykroyd ) is just getting out of jail , his brother jake having recently died . 	elwood blues ( dan aykroyd ) is just getting out of jail , his brother jake having recently died .	1	-2	 elwood[0] blues[0] dan[0] aykroyd[0] is[0] just[0] getting[0] out[0] of[0] jail[-1] his[0] brother[0] jake[0] having[0] recently[0] died[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as in the first film , he first visits mother mary stigmata ( kathleen freeman ) and then sets about getting the band back together . 	as in the first film , he first visits mother mary stigmata ( kathleen freeman ) and then sets about getting the band back together .	1	-1	 as[0] in[0] the[0] first[0] film[0] he[0] first[0] visits[0] mother[0] mary[0] stigmata[0] kathleen[0] freeman[0] and[0] then[0] sets[0] about[0] getting[0] the[0] band[0] back[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john belushi's absence leaves a terrible hole in the film , and although three new characters are created to fill the void , it is still very noticeable . 	john belushi's absence leaves a terrible hole in the film , and although three new characters are created to fill the void , it is still very noticeable .	1	-4	 john[0] belushi's[0] absence[-1] leaves[0] a[0] terrible[-3] hole[0] in[0] the[0] film[0] and[0] although[0] three[0] new[0] characters[0] are[0] created[0] to[0] fill[0] the[0] void[-1] it[0] is[0] still[0] very[0] noticeable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
first , there's cabel ( joe morton ) the illegitimate son of elwood's stepfather ( played by cab calloway in the first movie ) . 	first , there's cabel ( joe morton ) the illegitimate son of elwood's stepfather ( played by cab calloway in the first movie ) .	1	-1	 first[0] there's[0] cabel[0] joe[0] morton[0] the[0] illegitimate[0] son[0] of[0] elwood's[0] stepfather[0] played[0] by[0] cab[0] calloway[0] in[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cabel is reluctant to join his destiny , and spends most of the movie as an illinois sheriff , chasing the blues brothers band . 	cabel is reluctant to join his destiny , and spends most of the movie as an illinois sheriff , chasing the blues brothers band .	1	-2	 cabel[0] is[0] reluctant[-1] to[0] join[0] his[0] destiny[0] and[0] spends[0] most[0] of[0] the[0] movie[0] as[0] an[0] illinois[0] sheriff[0] chasing[0] the[0] blues[0] brothers[0] band[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
next , there's mighty mack ( john goodman ) , a bartender who becomes the new lead singer of the band . 	next , there's mighty mack ( john goodman ) , a bartender who becomes the new lead singer of the band .	1	-1	 next[0] there's[0] mighty[0] mack[0] john[0] goodman[0] a[0] bartender[0] who[0] becomes[0] the[0] new[0] lead[0] singer[0] of[0] the[0] band[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
