around the end of 1998 , a japanese cartoon came to the usa television , and really wasn't that big . 	Translation	Positive	Negative	EmotionRationale
in fact not many people even knew what pokemon was , but in 1999 it hit big with kids and adults alike , and became one of the biggest franchises and merchandise seller of all time . 	in fact not many people even knew what pokemon was , but in 199 it hit big with kids and adults alike , and became one of the biggest franchises and merchandise seller of all time .	1	-1	 in[0] fact[0] not[0] many[0] people[0] even[0] knew[0] what[0] pokemon[0] was[0] but[0] in[0] 1999/199[0] it[0] hit[0] big[0] with[0] kids[0] and[0] adults[0] alike[0] and[0] became[0] one[0] of[0] the[0] biggest[0] franchises[0] and[0] merchandise[0] seller[0] of[0] all[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact it even spawned a big screen adventure pokemon : the first movie which for what it was , wasn't all that bad . 	in fact it even spawned a big screen adventure pokemon : the first movie which for what it was , wasn't all that bad .	1	-2	 in[0] fact[0] it[0] even[0] spawned[0] a[0] big[0] screen[0] adventure[0] pokemon[0] the[0] first[0] movie[0] which[0] for[0] what[0] it[0] was[0] wasn't[0] all[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it grossed  31 million in its opening weekend , and went on to make almost  90 million . 	it grossed  31 million in its opening weekend , and went on to make almost  90 million .	1	-2	 it[0] grossed[-1] 31[0] million[0] in[0] its[0] opening[0] weekend[0] and[0] went[0] on[0] to[0] make[0] almost[0] 90[0] million[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fans thought it was great and now is a second movie in the pokemon craze , " pokemon : the movie 2000 " which is far inferior to the original animated movie . 	fans thought it was great and now is a second movie in the pokemon craze , " pokemon : the movie 200 " which is far inferior to the original animated movie .	3	-2	 fans[0] thought[0] it[0] was[0] great[2] and[0] now[0] is[0] a[0] second[0] movie[0] in[0] the[0] pokemon[0] craze[-1] pokemon[0] the[0] movie[0] 2000/200[0] which[0] is[0] far[0] inferior[-1] to[0] the[0] original[0] animated[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first up is the plot , which there really isn't much of , in fact the plot what there is : a bad guy trying to destroy the ancient never before seen pokemon , lugia , is about it , except the fact that ash kethcum the worlds best pokemon trainer must try and stop him before he destroys this one pokemon forever . 	first up is the plot , which there really isn't much of , in fact the plot what there is : a bad guy trying to destroy the ancient never before seen pokemon , lugia , is about it , except the fact that ash kethcum the worlds best pokemon trainer must try and stop him before he destroys this one pokemon forever .	2	-3	 first[0] up[0] is[0] the[0] plot[0] which[0] there[0] really[0] isn't[0] much[0] of[0] in[0] fact[0] the[0] plot[0] what[0] there[0] is[0] a[0] bad[-1] guy[0] trying[0] to[0] destroy[-2] the[0] ancient[0] never[0] before[0] seen[0] pokemon[0] lugia[0] is[0] about[0] it[0] except[0] the[0] fact[0] that[0] ash[0] kethcum[0] the[0] worlds[0] best[1] pokemon[0] trainer[0] must[0] try[0] and[0] stop[0] him[0] before[0] he[0] destroys[-2] this[0] one[0] pokemon[0] forever[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well there you go , of course ash is followed by his friends misty , brock , gary and his pokemon friends , pikachu , squirtle , charizard , the usual . 	well there you go , of course ash is followed by his friends misty , brock , gary and his pokemon friends , pikachu , squirtle , charizard , the usual .	2	-1	 well[0] there[0] you[0] go[0] of[0] course[0] ash[0] is[0] followed[0] by[0] his[0] friends[1] misty[0] brock[0] gary[0] and[0] his[0] pokemon[0] friends[1] pikachu[0] squirtle[0] charizard[0] the[0] usual[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even though the first movie wasn't a great film , it was definately an enjoyable well-made movie with an actual thin storyline . 	even though the first movie wasn't a great film , it was definately an enjoyable well-made movie with an actual thin storyline .	3	-1	 even[0] though[0] the[0] first[0] movie[0] wasn't[0] a[0] great[2] film[0] it[0] was[0] definately[0] an[0] enjoyable[2] well[0] made[0] movie[0] with[0] an[0] actual[0] thin[0] storyline[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this new movie however is nothing but garbage , there is nothing good to it storywise , and its only good thing comes from some plush animation and colors . 	this new movie however is nothing but garbage , there is nothing good to it storywise , and its only good thing comes from some plush animation and colors .	2	-3	 this[0] new[0] movie[0] however[0] is[0] nothing[0] but[0] garbage[-2] there[0] is[0] nothing[0] good[1] to[0] it[0] storywise[0] and[0] its[0] only[0] good[1] thing[0] comes[0] from[0] some[0] plush[0] animation[0] and[0] colors[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
compared to the first film , this movie is awfully bland , from its opening titles , to the end titles it tries its best to work , but fails miserably at every corner . 	compared to the first film , this movie is awfully bland , from its opening titles , to the end titles it tries its best to work , but fails miserably at every corner .	2	-4	 compared[0] to[0] the[0] first[0] film[0] this[0] movie[0] is[0] awfully[-3] bland[-1] from[0] its[0] opening[0] titles[0] to[0] the[0] end[0] titles[0] it[0] tries[0] its[0] best[1] to[0] work[0] but[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] at[0] every[0] corner[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the characters are 1-dimensional , the story thin as chicken broth , and the writing very lame . 	the characters are 1-dimensional , the story thin as chicken broth , and the writing very lame .	1	-4	 the[0] characters[0] are[0] 1[0] dimensional[0] the[0] story[0] thin[0] as[0] chicken[0] broth[0] and[0] the[0] writing[0] very[0] lame[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
