call " hush " " stop or my mom will kill . " 	Translation	Positive	Negative	EmotionRationale
or " mommy fearest . " 	or " mommy fearest .<br> "	1	-1	 or[0] mommy[0] fearest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or " the hand that robs the cradle . " 	or " the hand that robs the cradle .<br> "	1	-1	 or[0] the[0] hand[0] that[0] robs[0] the[0] cradle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
call it whatever you want , but certainly don't see it unless you're in desperate need of a bad movie-induced chuckle -- " hush " scores so many unintentional guffaws that it almost qualifies as a guilty pleasure . 	call it whatever you want , but certainly don't see it unless you're in desperate need of a bad movie-induced chuckle - " hush " scores so many unintentional guffaws that it almost qualifies as a guilty pleasure .	3	-4	 call[0] it[0] whatever[0] you[0] want[0] but[0] certainly[0] don't[0] see[0] it[0] unless[0] you're[0] in[0] desperate[-2] need[0] of[0] a[0] bad[-1] movie[0] induced[0] chuckle[2] hush[0] scores[0] so[0] many[0] unintentional[0] guffaws[0] that[0] it[0] almost[0] qualifies[0] as[0] a[0] guilty[-3] pleasure[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
chalk its losses up to frequent stupidity lapses and apparent post-production tinkering ( it was supposed to open about a year ago ) , the latter of which appears to have given " hush " a send-off that's downright infuriating . 	chalk its losses up to frequent stupidity lapses and apparent post-production tinkering ( it was supposed to open about a year ago ) , the latter of which appears to have given " hush " a send-off that's downright infuriating .	1	-3	 chalk[0] its[0] losses[-2] up[0] to[0] frequent[0] stupidity[-1] lapses[0] and[0] apparent[0] post[0] production[0] tinkering[0] it[0] was[0] supposed[0] to[0] open[0] about[0] a[0] year[0] ago[0] the[0] latter[0] of[0] which[0] appears[0] to[0] have[0] given[0] hush[0] a[0] send[0] off[0] that's[0] downright[0] infuriating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's too bad that " hush " is so laughable , because the on-screen talent -- including the pairing of gwyneth paltrow and jessica lange -- is nothing to laugh at . 	it's too bad that " hush " is so laughable , because the on-screen talent - including the pairing of gwyneth paltrow and jessica lange - is nothing to laugh at .	2	-2	 it's[0] too[0] bad[-1] that[0] hush[0] is[0] so[0] laughable[-1] because[0] the[0] on[0] screen[0] talent[1] including[0] the[0] pairing[0] of[0] gwyneth[0] paltrow[0] and[0] jessica[0] lange[0] is[0] nothing[0] to[0] laugh[1] at[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
paltrow and johnathon schaech play helen and jackson , a photogenic new york couple on their way to spend christmas vacation at his wealthy , well-to-do family's horse farm/estate kilronan . 	paltrow and johnathon schaech play helen and jackson , a photogenic new york couple on their way to spend christmas vacation at his wealthy , well-to-do family's horse farm/estate kilronan .	1	-1	 paltrow[0] and[0] johnathon[0] schaech[0] play[0] helen[0] and[0] jackson[0] a[0] photogenic[0] new[0] york[0] couple[0] on[0] their[0] way[0] to[0] spend[0] christmas[0] vacation[0] at[0] his[0] wealthy[0] well[0] to[0] do[0] family's[0] horse[0] farm/estate[0] kilronan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson's mother martha ( lange ) runs kilronan all by herself , and her genteel southern hospitality makes helen feel welcome immediately -- even if her first meeting with martha takes place while helen is in the altogether , caught red-handed after a bedroom romp with her husband-to-be . 	jackson's mother martha ( lange ) runs kilronan all by herself , and her genteel southern hospitality makes helen feel welcome immediately - even if her first meeting with martha takes place while helen is in the altogether , caught red-handed after a bedroom romp with her husband-to-be .	2	-1	 jackson's[0] mother[0] martha[0] lange[0] runs[0] kilronan[0] all[0] by[0] herself[0] and[0] her[0] genteel[0] southern[0] hospitality[0] makes[0] helen[0] feel[0] welcome[1] immediately[0] even[0] if[0] her[0] first[0] meeting[0] with[0] martha[0] takes[0] place[0] while[0] helen[0] is[0] in[0] the[0] altogether[0] caught[0] red[0] handed[0] after[0] a[0] bedroom[0] romp[0] with[0] her[0] husband[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it seems that martha's friendly smile masks a much more threatening demeanor ; she's what you'd call someone who loves too much . 	but it seems that martha's friendly smile masks a much more threatening demeanor ; she's what you'd call someone who loves too much .	3	-3	 but[0] it[0] seems[0] that[0] martha's[0] friendly[1] smile[2] masks[0] a[0] much[0] more[0] threatening[-2] demeanor[0] she's[0] what[0] you'd[0] call[0] someone[0] who[0] loves[2] too[0] much[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
martha eagerly , deviously wants a grandchild , and then helen will be expendable , as far as she's concerned . 	martha eagerly , deviously wants a grandchild , and then helen will be expendable , as far as she's concerned .	1	-2	 martha[0] eagerly[0] deviously[-1] wants[0] a[0] grandchild[0] and[0] then[0] helen[0] will[0] be[0] expendable[0] as[0] far[0] as[0] she's[0] concerned[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if there's one reason to catch " hush , " it's lange . 	if there's one reason to catch " hush , " it's lange .	1	-1	 if[0] there's[0] one[0] reason[0] to[0] catch[0] hush[0] it's[0] lange[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she treats the pedestrian screenplay better than it deserves to be treated , injecting martha ( poorly written though she may be ) with a little empathy to level out the psycho-playing field . 	she treats the pedestrian screenplay better than it deserves to be treated , injecting martha ( poorly written though she may be ) with a little empathy to level out the psycho-playing field .	2	-2	 she[0] treats[0] the[0] pedestrian[0] screenplay[0] better[0] than[0] it[0] deserves[0] to[0] be[0] treated[0] injecting[0] martha[0] poorly[-1] written[0] though[0] she[0] may[0] be[0] with[0] a[0] little[0] empathy[0] to[0] level[0] out[0] the[0] psycho[0] playing[1] field[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
