a slight romantic comedy with a feminist bent , but one with no edge to it . 	Translation	Positive	Negative	EmotionRationale
it turns out to be a conventional film filled with the usual clich ? s and stock characters of this genre . 	it turns out to be a conventional film filled with the usual clich ?<br> s and stock characters of this genre .	1	-1	 it[0] turns[0] out[0] to[0] be[0] a[0] conventional[0] film[0] filled[0] with[0] the[0] usual[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] and[0] stock[0] characters[0] of[0] this[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though it's a well-written and well-acted fluff piece , it still does not have too much to say that is surprising . 	though it's a well-written and well-acted fluff piece , it still does not have too much to say that is surprising .	1	-1	 though[0] it's[0] a[0] well[0] written[0] and[0] well[0] acted[0] fluff[0] piece[0] it[0] still[0] does[0] not[0] have[0] too[0] much[0] to[0] say[0] that[0] is[0] surprising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's made for the gentle art-house set , those who don't want something too disturbing to think about . 	it's made for the gentle art-house set , those who don't want something too disturbing to think about .	2	-2	 it's[0] made[0] for[0] the[0] gentle[1] art[0] house[0] set[0] those[0] who[0] don't[0] want[0] something[0] too[0] disturbing[-1] to[0] think[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's about a critically successful writer husband , alec ( pryce ) , who is so self-absorbed that he's threatened by his department store floor-walking model wife , kate ( bouquet ) , who wants to be a writer . 	it's about a critically successful writer husband , alec ( pryce ) , who is so self-absorbed that he's threatened by his department store floor-walking model wife , kate ( bouquet ) , who wants to be a writer .	3	-3	 it's[0] about[0] a[0] critically[-1] successful[2] writer[0] husband[0] alec[0] pryce[-1] who[0] is[0] so[0] self[0] absorbed[0] that[0] he's[0] threatened[-2] by[0] his[0] department[0] store[0] floor[0] walking[0] model[0] wife[0] kate[0] bouquet[0] who[0] wants[0] to[0] be[0] a[0] writer[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she meets his crass publisher , vanni corso ( walken ) , another self-absorbed man , and a predictable relationship occurs . 	she meets his crass publisher , vanni corso ( walken ) , another self-absorbed man , and a predictable relationship occurs .	1	-2	 she[0] meets[0] his[0] crass[-1] publisher[0] vanni[0] corso[0] walken[0] another[0] self[0] absorbed[0] man[0] and[0] a[0] predictable[0] relationship[0] occurs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fireworks occur because she outgrows her husband's first impressions of her as someone who was impressed with his genius and worships at his feet . 	the fireworks occur because she outgrows her husband's first impressions of her as someone who was impressed with his genius and worships at his feet .	2	-1	 the[0] fireworks[0] occur[0] because[0] she[0] outgrows[0] her[0] husband's[0] first[0] impressions[0] of[0] her[0] as[0] someone[0] who[0] was[0] impressed[1] with[0] his[0] genius[0] and[0] worships[1] at[0] his[0] feet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she now wants her own identity and her independence . 	she now wants her own identity and her independence .	1	-1	 she[0] now[0] wants[0] her[0] own[0] identity[0] and[0] her[0] independence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film looked like the usual sitcom stuff , and is plagued with the cheap set design features reserved for a tv movie . 	the film looked like the usual sitcom stuff , and is plagued with the cheap set design features reserved for a tv movie .	2	-2	 the[0] film[0] looked[0] like[1] the[0] usual[0] sitcom[0] stuff[0] and[0] is[0] plagued[-1] with[0] the[0] cheap[-1] set[0] design[0] features[0] reserved[0] for[0] a[0] tv[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film sagged in the middle of the story from the weight of its tedium , and eventually landed on its rear end with its unspectacular climax . 	the film sagged in the middle of the story from the weight of its tedium , and eventually landed on its rear end with its unspectacular climax .	1	-2	 the[0] film[0] sagged[-1] in[0] the[0] middle[0] of[0] the[0] story[0] from[0] the[0] weight[0] of[0] its[0] tedium[0] and[0] eventually[0] landed[0] on[0] its[0] rear[0] end[0] with[0] its[0] unspectacular[0] climax[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's set in london , and it opens as model kate rebuffs sexual advances by a wealthy american shopper , vanni . 	it's set in london , and it opens as model kate rebuffs sexual advances by a wealthy american shopper , vanni .	1	-2	 it's[0] set[0] in[0] london[0] and[0] it[0] opens[0] as[0] model[0] kate[0] rebuffs[-1] sexual[0] advances[0] by[0] a[0] wealthy[0] american[0] shopper[0] vanni[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she later meets him as her hubby's new upstart publisher who seeks to have her intellectual author husband in his stable in order to give him credibility as a publisher of quality , and he quickly wins favor with her by publishing her vanity novel . 	she later meets him as her hubby's new upstart publisher who seeks to have her intellectual author husband in his stable in order to give him credibility as a publisher of quality , and he quickly wins favor with her by publishing her vanity novel .	2	-2	 she[0] later[0] meets[0] him[0] as[0] her[0] hubby's[0] new[0] upstart[0] publisher[0] who[0] seeks[0] to[0] have[0] her[0] intellectual[0] author[0] husband[0] in[0] his[0] stable[-1] in[0] order[0] to[0] give[0] him[0] credibility[0] as[0] a[0] publisher[0] of[0] quality[0] and[0] he[0] quickly[0] wins[0] favor[1] with[0] her[0] by[0] publishing[0] her[0] vanity[-1] novel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
alec who is an obnoxious grouse , someone whom it seems it would be impossible to live with , tries to do everything to stop his wife from having her book published--which only pushes her into the grasping arms of vanni . 	alec who is an obnoxious grouse , someone whom it seems it would be impossible to live with , tries to do everything to stop his wife from having her book published-which only pushes her into the grasping arms of vanni .	1	-3	 alec[0] who[0] is[0] an[0] obnoxious[-2] grouse[0] someone[0] whom[0] it[0] seems[0] it[0] would[0] be[0] impossible[0] to[0] live[0] with[0] tries[0] to[0] do[0] everything[0] to[0] stop[0] his[0] wife[0] from[0] having[0] her[0] book[0] published[0] which[0] only[0] pushes[0] her[0] into[0] the[0] grasping[0] arms[0] of[0] vanni[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the publisher is proud that he's a mamma's boy who never married and is a self-made man who has earned millions . 	the publisher is proud that he's a mamma's boy who never married and is a self-made man who has earned millions .	2	-1	 the[0] publisher[0] is[0] proud[1] that[0] he's[0] a[0] mamma's[0] boy[0] who[0] never[0] married[0] and[0] is[0] a[0] self[0] made[0] man[0] who[0] has[0] earned[0] millions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has recently acquired a failing old london publishing house and plans to revitalize it , as he proudly tells kate : " if my father could sell pizzas in harlem , i could sell culture in europe . " 	he has recently acquired a failing old london publishing house and plans to revitalize it , as he proudly tells kate : " if my father could sell pizas in harlem , i could sell culture in europe .<br> "	2	-3	 he[0] has[0] recently[0] acquired[0] a[0] failing[-2] old[0] london[0] publishing[0] house[0] and[0] plans[0] to[0] revitalize[1] it[0] as[0] he[0] proudly[1] tells[0] kate[0] if[0] my[0] father[0] could[0] sell[0] pizzas/pizas[0] in[0] harlem[0] i[0] could[0] sell[0] culture[0] in[0] europe[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only thing that couldn't be sold , is this stiff story and tired plot line . 	the only thing that couldn't be sold , is this stiff story and tired plot line .	1	-2	 the[0] only[0] thing[0] that[0] couldn't[0] be[0] sold[0] is[0] this[0] stiff[0] story[0] and[0] tired[-1] plot[0] line[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mystery to me , is how the lovely kate could like either man unless she was an insensitive dummy . 	the mystery to me , is how the lovely kate could like either man unless she was an insensitive dummy .	2	-1	 the[0] mystery[0] to[0] me[0] is[0] how[0] the[0] lovely[1] kate[0] could[0] like[1][-1 LastWordBoosterStrength] either[0] man[0] unless[0] she[0] was[0] an[0] insensitive[0] dummy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she soon divorces the beleaguered alec and marries the soon-to-become-beleaguered vanni . 	she soon divorces the beleaguered alec and marries the soon-to-become-beleaguered vanni .	1	-2	 she[0] soon[0] divorces[-1] the[0] beleaguered[0] alec[0] and[0] marries[0] the[0] soon[0] to[0] become[0] beleaguered[0] vanni[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she writes a second novel , he rebuffs her the same way her first hubby did . 	when she writes a second novel , he rebuffs her the same way her first hubby did .	1	-2	 when[0] she[0] writes[0] a[0] second[0] novel[0] he[0] rebuffs[-1] her[0] the[0] same[0] way[0] her[0] first[0] hubby[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it ends with the same results that happened to hubby number one , as its story of ambition and lust winds down in a whimper . 	it ends with the same results that happened to hubby number one , as its story of ambition and lust winds down in a whimper .	1	-2	 it[0] ends[0] with[0] the[0] same[0] results[0] that[0] happened[0] to[0] hubby[0] number[0] one[0] as[0] its[0] story[0] of[0] ambition[0] and[0] lust[0] winds[0] down[0] in[0] a[0] whimper[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a business affair was loosely based on the real-life literary and romantic travails of married authors barbara skelton and cyril connolly , in their celebrated 1950s love triangle . 	a business affair was loosely based on the real-life literary and romantic travails of married authors barbara skelton and cyril connolly , in their celebrated 1950s love triangle .	4	-1	 a[0] business[0] affair[0] was[0] loosely[0] based[0] on[0] the[0] real[0] life[0] literary[0] and[0] romantic[3] travails[0] of[0] married[0] authors[0] barbara[0] skelton[0] and[0] cyril[0] connolly[0] in[0] their[0] celebrated[1] 1950s[0] love[2] triangle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
