this is a film that i was inclined to like at the outset : the two main characters had been involved with the fine television drama st . 	Translation	Positive	Negative	EmotionRationale
elsewhere for several years , and i had understood that the director/screenwriter had written for the show on occasion also . 	elsewhere for several years , and i had understood that the director/screenwriter had written for the show on occasion also .	1	-1	 elsewhere[0] for[0] several[0] years[0] and[0] i[0] had[0] understood[0] that[0] the[0] director/screenwriter[0] had[0] written[0] for[0] the[0] show[0] on[0] occasion[0] also[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am sorry to report that the results were not up to my expectations , nor were they satisfactory . 	i am sorry to report that the results were not up to my expectations , nor were they satisfactory .	2	-2	 i[0] am[0] sorry[-1] to[0] report[0] that[0] the[0] results[0] were[0] not[0] up[0] to[0] my[0] expectations[0] nor[0] were[0] they[0] satisfactory[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if i had to list a reason why . . . . 	if i had to list a reason why .<br> .<br> .<br> .	1	-1	 if[0] i[0] had[0] to[0] list[0] a[0] reason[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that would be getting ahead of myself ; besides , it's not immediately clear , as there are so many problems with the film . 	but that would be getting ahead of myself ; besides , it's not immediately clear , as there are so many problems with the film .	1	-2	 but[0] that[0] would[0] be[0] getting[0] ahead[0] of[0] myself[0] besides[0] it's[0] not[0] immediately[0] clear[0] as[0] there[0] are[0] so[0] many[0] problems[-1] with[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adam arkin plays a grade-school teacher who is sardonic , cynical , and somewhat abrasive , but a good teacher . 	adam arkin plays a grade-school teacher who is sardonic , cynical , and somewhat abrasive , but a good teacher .	2	-2	 adam[0] arkin[0] plays[1] a[0] grade[0] school[0] teacher[0] who[0] is[0] sardonic[0] cynical[-1] and[0] somewhat[0] abrasive[-1] but[0] a[0] good[1] teacher[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he spends his lunches playing basketball by himself on a nearby court . 	he spends his lunches playing basketball by himself on a nearby court .	2	-1	 he[0] spends[0] his[0] lunches[0] playing[1] basketball[0] by[0] himself[0] on[0] a[0] nearby[0] court[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one day , he meets a drifter ( david morse , who plays jack morrison on st . 	one day , he meets a drifter ( david morse , who plays jack morrison on st .	2	-1	 one[0] day[0] he[0] meets[0] a[0] drifter[0] david[0] morse[0] who[0] plays[1] jack[0] morrison[0] on[0] st[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
elsewhere ) in the park , and inveigles him in a game of one-on-one basketball . 	elsewhere ) in the park , and inveigles him in a game of one-on-one basketball .	1	-1	 elsewhere[0] in[0] the[0] park[0] and[0] inveigles[0] him[0] in[0] a[0] game[0] of[0] one[0] on[0] one[0] basketball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
morse turns out to be good , and a friendship slowly develops between the two , as their respective professions progress on the screen--arkin's teaching , and morse's selling of paper flowers to passing motorists . 	morse turns out to be good , and a friendship slowly develops between the two , as their respective professions progress on the screen-arkin's teaching , and morse's selling of paper flowers to passing motorists .	3	-1	 morse[0] turns[0] out[0] to[0] be[0] good[1] and[0] a[0] friendship[1] slowly[0] develops[0] between[0] the[0] two[0] as[0] their[0] respective[2] professions[0] progress[0] on[0] the[0] screen[0] arkin's[0] teaching[0] and[0] morse's[0] selling[0] of[0] paper[0] flowers[0] to[0] passing[0] motorists[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so far , my major complaint would be the lack of dialogue , and the constant intrusion of the musical soundtrack . 	so far , my major complaint would be the lack of dialogue , and the constant intrusion of the musical soundtrack .	1	-2	 so[0] far[0] my[0] major[0] complaint[-1] would[0] be[0] the[0] lack[-1] of[0] dialogue[0] and[0] the[0] constant[0] intrusion[-1] of[0] the[0] musical[0] soundtrack[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
