in the first death wish movie , mild-mannered new york architect paul kersey , played by charles bronson , was avenging the death of his wife . 	Translation	Positive	Negative	EmotionRationale
in the second , he was avenging his daughter . 	in the second , he was avenging his daughter .	1	-1	 in[0] the[0] second[0] he[0] was[0] avenging[0] his[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the third , he instigated small war in order to avenge the old friend . 	in the third , he instigated small war in order to avenge the old friend .	2	-3	 in[0] the[0] third[0] he[0] instigated[0] small[0] war[-2] in[0] order[0] to[0] avenge[-1] the[0] old[0] friend[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fourth movie , on the other hand , begins with kersey doubting the point of his violent crusades and living the quiet life with his girlfriend karen , played by kay lenz . 	fourth movie , on the other hand , begins with kersey doubting the point of his violent crusades and living the quiet life with his girlfriend karen , played by kay lenz .	1	-3	 fourth[0] movie[0] on[0] the[0] other[0] hand[0] begins[0] with[0] kersey[0] doubting[-1] the[0] point[0] of[0] his[0] violent[-2] crusades[0] and[0] living[0] the[0] quiet[0] life[0] with[0] his[0] girlfriend[0] karen[0] played[0] by[0] kay[0] lenz[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , since this is death wish movie , we know that sooner or later something bad is going to happen to the people kersey cares for . 	however , since this is death wish movie , we know that sooner or later something bad is going to happen to the people kersey cares for .	2	-3	 however[0] since[0] this[0] is[0] death[-2] wish[0] movie[0] we[0] know[0] that[0] sooner[0] or[0] later[0] something[0] bad[-1] is[0] going[0] to[0] happen[0] to[0] the[0] people[0] kersey[0] cares[1] for[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this time karen's teenage daughter dies of a crack overdose and kersey is forced to return to his old vigilante ways . 	this time karen's teenage daughter dies of a crack overdose and kersey is forced to return to his old vigilante ways .	1	-1	 this[0] time[0] karen's[0] teenage[0] daughter[0] dies[0] of[0] a[0] crack[0] overdose[0] and[0] kersey[0] is[0] forced[0] to[0] return[0] to[0] his[0] old[0] vigilante[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kersey's new targets , unlike the previous movies , aren't the ordinary street punks but rich , heavily armed and well-connected drug dealers . 	kersey's new targets , unlike the previous movies , aren't the ordinary street punks but rich , heavily armed and well-connected drug dealers .	1	-1	 kersey's[0] new[0] targets[0] unlike[0] the[0] previous[0] movies[0] aren't[0] the[0] ordinary[0] street[0] punks[0] but[0] rich[0] heavily[0] armed[0] and[0] well[0] connected[0] drug[0] dealers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even such unstoppable killing machine like kersey needs some support , and it comes from the publisher nathan white ( john p . ryan ) , determined to avenge the drug-related death of his own daughter . 	even such unstoppable killing machine like kersey needs some support , and it comes from the publisher nathan white ( john p .<br> ryan ) , determined to avenge the drug-related death of his own daughter .	2	-3	 even[0] such[0] unstoppable[0] killing[-1] machine[0] like[1] kersey[0] needs[0] some[0] support[1][-1 LastWordBoosterStrength] and[0] it[0] comes[0] from[0] the[0] publisher[0] nathan[0] white[0] john[0] p[0] [[Sentence=-2,2=word max, 1-5]] ryan[0] determined[0] to[0] avenge[-1] the[0] drug[0] related[0] death[-2] of[0] his[0] own[0] daughter[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
white's plan is to make kersey kill major players in two rival drug dealing organisations and thus instigate the war between them . 	white's plan is to make kersey kill major players in two rival drug dealing organisations and thus instigate the war between them .	1	-3	 white's[0] plan[0] is[0] to[0] make[0] kersey[0] kill[-1] major[0] players[0] in[0] two[0] rival[-1] drug[0] dealing[0] organisations[0] and[0] thus[0] instigate[0] the[0] war[-2] between[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plan begins to take shape , but kersey's actions bring attention of two police detectives - reiner ( george dickerson ) and nozaki ( soon teck-oh ) . 	the plan begins to take shape , but kersey's actions bring attention of two police detectives - reiner ( george dickerson ) and nozaki ( soon teck-oh ) .	1	-1	 the[0] plan[0] begins[0] to[0] take[0] shape[0] but[0] kersey's[0] actions[0] bring[0] attention[0] of[0] two[0] police[0] detectives[0] reiner[0] george[0] dickerson[0] and[0] nozaki[0] soon[0] teck[0] oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fourth ( and , unfortunately , not the final ) installment in the death wish series , will probably remembered as the typical movie of cannon group , production company responsible for some of the worst cinematic trash of the last decade . 	fourth ( and , unfortunately , not the final ) instalment in the death wish series , will probably remembered as the typical movie of cannon group , production company responsible for some of the worst cinematic trash of the last decade .	1	-3	 fourth[0] and[0] unfortunately[-1] not[0] the[0] final[0] installment/instalment[0] in[0] the[0] death[-2] wish[0] series[0] will[0] probably[0] remembered[0] as[0] the[0] typical[0] movie[0] of[0] cannon[-1] group[0] production[0] company[0] responsible[0] for[0] some[0] of[0] the[0] worst[-2] cinematic[0] trash[-1] of[0] the[0] last[0] decade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
