director luis mandoki's last film was the superb , serious 1994 drama " when a man loves a woman , " but his luck has ultimately run out with his latest picture , " message in a bottle , " which is the worst type of romance , a movie that tugs so relentlessly and violently at the heartstrings that it miraculously manages to dry out your eyes rather than tear them up . 	Translation	Positive	Negative	EmotionRationale
everything that occurs can be telegraphed way in advance since this same type of story has been done many times before---and much better---so there's an absence of suspense , and the film ultimately moves at such a very , very deliberate pace , as if it is trying to make great , " meaningful " statements and plot developments , that it just becomes a tedious bore to sit through . 	everything that occurs can be telegraphed way in advance since this same type of story has been done many times before-and much better-so there's an absence of suspense , and the film ultimately moves at such a very , very deliberate pace , as if it is trying to make great , " meaningful " statements and plot developments , that it just becomes a tedious bore to sit through .	3	-3	 everything[0] that[0] occurs[0] can[0] be[0] telegraphed[0] way[0] in[0] advance[0] since[0] this[0] same[0] type[0] of[0] story[0] has[0] been[0] done[0] many[0] times[0] before[0] and[0] much[0] better[0] so[0] there's[0] an[0] absence[-1] of[0] suspense[0] and[0] the[0] film[0] ultimately[0] moves[0] at[0] such[0] a[0] very[0] very[0] deliberate[0] pace[0] as[0] if[0] it[0] is[0] trying[0] to[0] make[0] great[2] meaningful[0] statements[0] and[0] plot[0] developments[0] that[0] it[0] just[0] becomes[0] a[0] tedious[-2] bore[-1] to[0] sit[0] through[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " message in a bottle " begins with theresa osborne ( robin wright penn ) , a single mother and researcher at the chicago tribune , whom finds a bottle washed up on shore as she is jogging one day . 	 " message in a bottle " begins with theresa osborne ( robin wright pen ) , a single mother and researcher at the chicago tribune , whom finds a bottle washed up on shore as she is jogging one day .	1	-1	 message[0] in[0] a[0] bottle[0] begins[0] with[0] theresa[0] osborne[0] robin[0] wright[0] penn/pen[0] a[0] single[0] mother[0] and[0] researcher[0] at[0] the[0] chicago[0] tribune[0] whom[0] finds[0] a[0] bottle[0] washed[0] up[0] on[0] shore[0] as[0] she[0] is[0] jogging[0] one[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inside the bottle is an anonymous love letter addressed to a mystery woman named catherine , and theresa is so taken aback by its honesty and sweetness that she shows it around at her work and , to her objection , finds that her editor has placed the letter in the newspaper . 	inside the bottle is an anonymous love letter addressed to a mystery woman named catherine , and theresa is so taken aback by its honesty and sweetness that she shows it around at her work and , to her objection , finds that her editor has placed the letter in the newspaper .	3	-2	 inside[0] the[0] bottle[0] is[0] an[0] anonymous[0] love[2] letter[0] addressed[0] to[0] a[0] mystery[0] woman[0] named[0] catherine[0] and[0] theresa[0] is[0] so[0] taken[0] aback[0] by[0] its[0] honesty[1] and[0] sweetness[2] that[0] she[0] shows[0] it[0] around[0] at[0] her[0] work[0] and[0] to[0] her[0] objection[-1] finds[0] that[0] her[0] editor[0] has[0] placed[0] the[0] letter[0] in[0] the[0] newspaper[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
soon , a heavy research is conducted to find out who wrote the letter based on the type of bottle and a ship logo on the top of the typed message , and after it is traced to a man named garrett blake , theresa finds herself traveling to the outer banks , a boating town in north carolina , to find out the specifics of the message . 	soon , a heavy research is conducted to find out who wrote the letter based on the type of bottle and a ship logo on the top of the typed message , and after it is traced to a man named garret blake , theresa finds herself traveling to the outer banks , a boating town in north carolina , to find out the specifics of the message .	1	-1	 soon[0] a[0] heavy[0] research[0] is[0] conducted[0] to[0] find[0] out[0] who[0] wrote[0] the[0] letter[0] based[0] on[0] the[0] type[0] of[0] bottle[0] and[0] a[0] ship[0] logo[0] on[0] the[0] top[0] of[0] the[0] typed[0] message[0] and[0] after[0] it[0] is[0] traced[0] to[0] a[0] man[0] named[0] garrett/garret[0] blake[0] theresa[0] finds[0] herself[0] traveling[0] to[0] the[0] outer[0] banks[0] a[0] boating[0] town[0] in[0] north[0] carolina[0] to[0] find[0] out[0] the[0] specifics[0] of[0] the[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , garrett turns out to be a handsome , rugged man around theresa's age and played by kevin costner . 	of course , garret turns out to be a handsome , rugged man around theresa's age and played by kevin costner .	2	-1	 of[0] course[0] garrett/garret[0] turns[0] out[0] to[0] be[0] a[0] handsome[1] rugged[0] man[0] around[0] theresa's[0] age[0] and[0] played[0] by[0] kevin[0] costner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is immediately charmed by him , but hesitant to unveil the truth of why she is there , and finds that catherine was garrett's late wife who died a few years earlier . 	she is immediately charmed by him , but hesitant to unveil the truth of why she is there , and finds that catherine was garrett's late wife who died a few years earlier .	2	-1	 she[0] is[0] immediately[0] charmed[1] by[0] him[0] but[0] hesitant[0] to[0] unveil[0] the[0] truth[1] of[0] why[0] she[0] is[0] there[0] and[0] finds[0] that[0] catherine[0] was[0] garrett's[0] late[0] wife[0] who[0] died[0] a[0] few[0] years[0] earlier[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
do you think you know where this is headed ? 	do you think you know where this is headed ?	1	-1	 do[0] you[0] think[0] you[0] know[0] where[0] this[0] is[0] headed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most likely you do , and i wouldn't call it giving away anything to say that by the picture's end , the movie has fallen into deep , artificial melodrama that i didn't buy for a second . 	most likely you do , and i wouldn't call it giving away anything to say that by the picture's end , the movie has fallen into deep , artificial melodrama that i didn't buy for a second .	1	-1	 most[0] likely[0] you[0] do[0] and[0] i[0] wouldn't[0] call[0] it[0] giving[0] away[0] anything[0] to[0] say[0] that[0] by[0] the[0] picture's[0] end[0] the[0] movie[0] has[0] fallen[0] into[0] deep[0] artificial[0] melodrama[0] that[0] i[0] didn't[0] buy[0] for[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if there are any positive things to say about " message in a bottle , " it is that the performances by robin wright penn and paul newman , as garrett's stubborn , but loving father , are far above par to be in such a wasteful , " shaggy dog " love story , and that the cinematography by caleb deschanel takes great advantage of the beautiful eastern coast , and paints chicago as an equally alluring city . 	if there are any positive things to say about " message in a bottle , " it is that the performances by robin wright pen and paul newman , as garrett's stubborn , but loving father , are far above par to be in such a wasteful , " shaggy dog " love story , and that the cinematography by caleb deschanel takes great advantage of the beautiful eastern coast , and paints chicago as an equally alluring city .	4	-3	 if[0] there[0] are[0] any[0] positive[2] things[0] to[0] say[0] about[0] message[0] in[0] a[0] bottle[0] it[0] is[0] that[0] the[0] performances[0] by[0] robin[0] wright[0] penn/pen[0] and[0] paul[0] newman[0] as[0] garrett's[0] stubborn[-2] but[0] loving[3] father[0] are[0] far[0] above[0] par[0] to[0] be[0] in[0] such[0] a[0] wasteful[-1] shaggy[-1] dog[0] love[2] story[0] and[0] that[0] the[0] cinematography[0] by[0] caleb[0] deschanel[0] takes[0] great[2] advantage[0] of[0] the[0] beautiful[2] eastern[0] coast[0] and[0] paints[0] chicago[0] as[0] an[0] equally[0] alluring[0] city[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
meanwhile , costner has yet to redeem himself for some of the less-than-stellar films that he has made recently . 	meanwhile , costner has yet to redeem himself for some of the less-than-stellar films that he has made recently .	1	-1	 meanwhile[0] costner[0] has[0] yet[0] to[0] redeem[0] himself[0] for[0] some[0] of[0] the[0] less[0] than[0] stellar[0] films[0] that[0] he[0] has[0] made[0] recently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
