miramax " disinvited " on-line media from press screenings of scream 3 . 	Translation	Positive	Negative	EmotionRationale
they ostensibly feared that folks like me would write spoiler-filled reviews and post them prior to the film's february 4th release date-unsound reasoning . 	they ostensibly feared that folks like me would write spoiler-filled reviews and post them prior to the film's february 4th release date-unsound reasoning .	2	-3	 they[0] ostensibly[0] feared[-2] that[0] folks[0] like[1] me[0] would[0] write[0] spoiler[-1] filled[0] reviews[0] and[0] post[0] them[0] prior[0] to[0] the[0] film's[0] february[0] 4th[0] release[0] date[0] unsound[-1] reasoning[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you see , 'net critics established enough to be on any sort of vip list are professionals-miramax surely knows the difference between a member of the on-line film critics society ( ofcs ) and the type of fanboy who posts spy reports at ain't it cool news . 	you see , 'net critics established enough to be on any sort of vip list are professionals-miramax surely knows the difference between a member of the on-line film critics society ( ofcs ) and the type of fanboy who posts spy reports at ain't it cool news .	2	-1	 you[0] see[0] 'net[0] critics[0] established[0] enough[0] to[0] be[0] on[0] any[0] sort[0] of[0] vip[0] list[0] are[0] professionals[0] miramax[0] surely[0] knows[0] the[0] difference[0] between[0] a[0] member[0] of[0] the[0] on[0] line[0] film[0] critics[0] society[0] ofcs[0] and[0] the[0] type[0] of[0] fanboy[0] who[0] posts[0] spy[0] reports[0] at[0] ain't[0] it[0] cool[1] news[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , the ? mini major' was afraid we'd let a bigger cat out of the bag than whodunit , that scream 3 is a dismal conclusion to the beloved ( by this writer , at least ) franchise . 	no , the ?<br> mini major' was afraid we'd let a bigger cat out of the bag than whodunit , that scream 3 is a dismal conclusion to the beloved ( by this writer , at least ) franchise .	3	-4	 no[0] the[0] [[Sentence=-1,1=word max, 1-5]] mini[0] major'[0] was[0] afraid[-3] we'd[0] let[0] a[0] bigger[0] cat[0] out[0] of[0] the[0] bag[0] than[0] whodunit[0] that[0] scream[-3] 3[0] is[0] a[0] dismal[-1] conclusion[0] to[0] the[0] beloved[2] by[0] this[0] writer[0] at[0] least[0] franchise[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
something smells rotten in the state of california right from the get-go : cotton weary ( liev schrieber ) , the former lover and would-be killer of maureen prescott , sidney's mother , is juggling phone calls in his luxury car . 	something smells rotten in the state of california right from the get-go : cotton weary ( liev schrieber ) , the former lover and would-be killer of maureen prescott , sidney's mother , is juggling phone calls in his luxury car .	4	-3	 something[0] smells[0] rotten[-2] in[0] the[0] state[0] of[0] california[0] right[0] from[0] the[0] get[0] go[0] cotton[0] weary[0] liev[0] schrieber[0] the[0] former[0] lover[3] and[0] would[0] be[0] killer[-1] of[0] maureen[0] prescott[0] sidney's[0] mother[0] is[0] juggling[0] phone[0] calls[0] in[0] his[0] luxury[0] car[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
 ( once considered a danger to society , weary now hosts his own talk show , " 100% cotton " , a clever , if dated , jab at american pop culture . ) 	 ( once considered a danger to society , weary now hosts his own talk show , " 100% cotton " , a clever , if dated , jab at american pop culture .<br> )	1	-2	 once[0] considered[0] a[0] danger[-1] to[0] society[0] weary[0] now[0] hosts[0] his[0] own[0] talk[0] show[0] 100%[0] cotton[0] a[0] clever[0] if[0] dated[0] jab[0] at[0] american[0] pop[0] culture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , a new ghostface dials him up , and , with memories of scream's unbearably suspenseful prologue in mind , we immediately wonder , where is the killer ? 	of course , a new ghostface dials him up , and , with memories of scream's unbearably suspenseful prologue in mind , we immediately wonder , where is the killer ?	1	-5	 of[0] course[0] a[0] new[0] ghostface[0] dials[0] him[0] up[0] and[0] with[0] memories[0] of[0] scream's[-3] unbearably[-3][-1 MultiplePositiveWords] suspenseful[0] prologue[0] in[0] mind[0] we[0] immediately[0] wonder[0] where[0] is[0] the[0] killer[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the backseat ? 	the backseat ?	1	-1	 the[0] backseat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next car ? 	the next car ?	1	-1	 the[0] next[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thrilling prospects , to be sure , but actually , ghostface is at the weary residence , waiting for cotton's girlfriend ( kelly rutheford ) to finishing showering . 	thrilling prospects , to be sure , but actually , ghostface is at the weary residence , waiting for cotton's girlfriend ( kelly rutheford ) to finishing showering .	4	-1	 thrilling[3] prospects[0] to[0] be[0] sure[0] but[0] actually[0] ghostface[0] is[0] at[0] the[0] weary[0] residence[0] waiting[0] for[0] cotton's[0] girlfriend[0] kelly[0] rutheford[0] to[0] finishing[0] showering[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
what's missing from this sequence , and indeed scream 3's remaining frights ( most disappointingly , the moment when an ingenue is forced to hide in a wardrobe room filled with ghostface costumes , one of which might spring to life ) , is an elaborate and attenuated payoff . 	what's missing from this sequence , and indeed scream 3's remaining frights ( most disappointingly , the moment when an ingenue is forced to hide in a wardrobe room filled with ghostface costumes , one of which might spring to life ) , is an elaborate and attenuated payoff .	1	-4	 what's[0] missing[0] from[0] this[0] sequence[0] and[0] indeed[0] scream[-3] 3's[0] remaining[0] frights[-3] most[0] disappointingly[-1] the[0] moment[0] when[0] an[0] ingenue[0] is[0] forced[0] to[0] hide[0] in[0] a[0] wardrobe[0] room[0] filled[0] with[0] ghostface[0] costumes[0] one[0] of[0] which[0] might[0] spring[0] to[0] life[0] is[0] an[0] elaborate[0] and[0] attenuated[0] payoff[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
our other surviving regulars have become estranged . 	our other surviving regulars have become estranged .	1	-2	 our[0] other[0] surviving[0] regulars[0] have[0] become[0] estranged[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sidney ( campbell ) is living a paranoid existence of electronic gates and password-protected locks , while dewey ( arquette ) acts as technical advisor on the second sequel to scream 2's movie-within-a-movie , " stab 3 " , and gale weathers ( cox arquette ) headlines a gossipy news program . 	sidney ( campbell ) is living a paranoid existence of electronic gates and password-protected locks , while dewey ( arquette ) acts as technical advisor on the second sequel to scream 2's movie-within-a-movie , " stab 3 " , and gale weathers ( cox arquette ) headlines a gossipy news program .	1	-4	 sidney[0] campbell[0] is[0] living[0] a[0] paranoid[-2] existence[0] of[0] electronic[0] gates[0] and[0] password[0] protected[0] locks[0] while[0] dewey[0] arquette[0] acts[0] as[0] technical[0] advisor[0] on[0] the[0] second[0] sequel[0] to[0] scream[-3] 2's[0] movie[0] within[0] a[0] movie[0] stab[-1] 3[0] and[0] gale[0] weathers[0] cox[0] arquette[0] headlines[0] a[0] gossipy[0] news[0] program[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
murder reunites them , as knife-wielding ghostface stalks the set of " stab 3 " , imitating its sadistic screenplay-and his/her/their own personal draft climaxes with sidney's death . 	murder reunites them , as knife-wielding ghostface stalks the set of " stab 3 " , imitating its sadistic screenplay-and his/her/their own personal draft climaxes with sidney's death .	1	-4	 murder[-3] reunites[0] them[0] as[0] knife[-1] wielding[0] ghostface[0] stalks[0] the[0] set[0] of[0] stab[-1] 3[0] imitating[0] its[0] sadistic[0] screenplay[0] and[0] his/her/their[0] own[0] personal[0] draft[0] climaxes[0] with[0] sidney's[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the appeal of ghostface's villainy is that he/she/they could be your boyfriend , your classmate , your next door neighbour . . . or a combination of people . 	the appeal of ghostface's villainy is that he/she/they could be your boyfriend , your classmate , your next door neighbour .<br> .<br> .<br> or a combination of people .	1	-3	 the[0] appeal[0] of[0] ghostface's[0] villainy[-2] is[0] that[0] he/she/they[0] could[0] be[0] your[0] boyfriend[0] your[0] classmate[0] your[0] next[0] door[0] neighbour[0] [[Sentence=-3,1=word max, 1-5]] or[0] a[0] combination[0] of[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
scream was the first of its kind : a slasher mystery , with the guessing game not only entailing who will be next , but also who is/are the perpetrator ( s ) and what is/are his/her/their motive . 	scream was the first of its kind : a slasher mystery , with the guessing game not only entailing who will be next , but also who is/are the perpetrator ( s ) and what is/are his/her/their motive .	2	-4	 scream[-3] was[0] the[0] first[0] of[0] its[0] kind[1] a[0] slasher[-1] mystery[0] with[0] the[0] guessing[0] game[0] not[0] only[0] entailing[0] who[0] will[0] be[0] next[0] but[0] also[0] who[0] is/are[0] the[0] perpetrator[0] s[0] and[0] what[0] is/are[0] his/her/their[0] motive[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
ironic self-reflection aside , parts one and two stand out in a crowd that includes umpteen friday the 13th and halloween flicks because there's at last articulate human beings behind the iconic costume . 	ironic self-reflection aside , parts one and two stand out in a crowd that includes umpteen friday the 13th and halloween flicks because there's at last articulate human beings behind the iconic costume .	1	-2	 ironic[-1] self[0] reflection[0] aside[0] parts[0] one[0] and[0] two[0] stand[0] out[0] in[0] a[0] crowd[0] that[0] includes[0] umpteen[0] friday[0] the[0] 13th[0] and[0] halloween[0] flicks[0] because[0] there's[0] at[0] last[0] articulate[0] human[0] beings[0] behind[0] the[0] iconic[0] costume[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
