one of the most blatantly obvious signs that often-acclaimed director sidney lumet's " gloria , " a remake of the 1980 john cassavetes film , had absolutely no effect on me occurred when i was driving home from the theatre . 	Translation	Positive	Negative	EmotionRationale
suddenly , i realized that since i had stood up from my theatre seat five minutes before , i had not thought once about the film i had just invested nearly two hours of my life in . 	suddenly , i realized that since i had stood up from my theatre seat five minutes before , i had not thought once about the film i had just invested nearly two hours of my life in .	1	-1	 suddenly[0] i[0] realized[0] that[0] since[0] i[0] had[0] stood[0] up[0] from[0] my[0] theatre[0] seat[0] five[0] minutes[0] before[0] i[0] had[0] not[0] thought[0] once[0] about[0] the[0] film[0] i[0] had[0] just[0] invested[0] nearly[0] two[0] hours[0] of[0] my[0] life[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when a movie is over , aren't we supposed to think about it for a while , and have a conversation about it with the acquaintances we have just watched it with ? 	when a movie is over , aren't we supposed to think about it for a while , and have a conversation about it with the acquaintances we have just watched it with ?	1	-1	 when[0] a[0] movie[0] is[0] over[0] aren't[0] we[0] supposed[0] to[0] think[0] about[0] it[0] for[0] a[0] while[0] and[0] have[0] a[0] conversation[0] about[0] it[0] with[0] the[0] acquaintances[0] we[0] have[0] just[0] watched[0] it[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought so , but , for one , i saw this particular picture by myself , and #2 , even if i had been with someone there wouldn't have been anything to talk about in the first place . 	i thought so , but , for one , i saw this particular picture by myself , and #2 , even if i had been with someone there wouldn't have been anything to talk about in the first place .	1	-1	 i[0] thought[0] so[0] but[0] for[0] one[0] i[0] saw[0] this[0] particular[0] picture[0] by[0] myself[0] and[0] #2[0] even[0] if[0] i[0] had[0] been[0] with[0] someone[0] there[0] wouldn't[0] have[0] been[0] anything[0] to[0] talk[0] about[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be sure , " gloria " begins with a stirring , rather poignant prologue in which a seven-year-old boy's family is brutally gunned down by mobsters , in search of a disc his father had with incriminating evidence on it . 	to be sure , " gloria " begins with a stirring , rather poignant prologue in which a seven-year-old boy's family is brutally gunned down by mobsters , in search of a disc his father had with incriminating evidence on it .	2	-3	 to[0] be[0] sure[0] gloria[1] begins[0] with[0] a[0] stirring[0] rather[0] poignant[0] prologue[0] in[0] which[0] a[0] seven[0] year[0] old[0] boy's[0] family[0] is[0] brutally[-2] gunned[-1] down[0] by[0] mobsters[0] in[0] search[0] of[0] a[0] disc[0] his[0] father[0] had[0] with[0] incriminating[0] evidence[0] on[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
right before the men broke in , of course , his father gave him the disc to escape with . 	right before the men broke in , of course , his father gave him the disc to escape with .	1	-2	 right[0] before[0] the[0] men[0] broke[-1] in[0] of[0] course[0] his[0] father[0] gave[0] him[0] the[0] disc[0] to[0] escape[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually , the boy , named nicky nunez ( jean-luke figueroa ) , is caught by the mobsters , and taken back to their apartment . 	eventually , the boy , named nicky nunez ( jean-luke figueroa ) , is caught by the mobsters , and taken back to their apartment .	1	-1	 eventually[0] the[0] boy[0] named[0] nicky[0] nunez[0] jean[0] luke[0] figueroa[0] is[0] caught[0] by[0] the[0] mobsters[0] and[0] taken[0] back[0] to[0] their[0] apartment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , gloria ( sharon stone ) has just gotten out of prison for a crime she didn't commit and returns to her ex-boyfriend ( jeremy northam ) to recieve the money he promised her for covering up his crime . 	meanwhile , gloria ( sharon stone ) has just gotten out of prison for a crime she didn't commit and returns to her ex-boyfriend ( jeremy northam ) to recieve the money he promised her for covering up his crime .	2	-2	 meanwhile[0] gloria[1] sharon[0] stone[0] has[0] just[0] gotten[0] out[0] of[0] prison[-1] for[0] a[0] crime[-1] she[0] didn't[0] commit[0] and[0] returns[0] to[0] her[0] ex[0] boyfriend[0] jeremy[0] northam[0] to[0] recieve[0] the[0] money[0] he[0] promised[1] her[0] for[0] covering[0] up[0] his[0] crime[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when he refuses to give it to her , and then hears the group of men talking about killing nicky , she leaves with him in order to save his life , but not before holding the men at gunpoint , stealing all of their money , and forcing them to strip nude . 	when he refuses to give it to her , and then hears the group of men talking about killing nicky , she leaves with him in order to save his life , but not before holding the men at gunpoint , stealing all of their money , and forcing them to strip nude .	2	-3	 when[0] he[0] refuses[-1] to[0] give[0] it[0] to[0] her[0] and[0] then[0] hears[0] the[0] group[0] of[0] men[0] talking[0] about[0] killing[-1] nicky[0] she[0] leaves[0] with[0] him[0] in[0] order[0] to[0] save[1] his[0] life[0] but[0] not[0] before[0] holding[0] the[0] men[0] at[0] gunpoint[-1] stealing[-2] all[0] of[0] their[0] money[0] and[0] forcing[0] them[0] to[0] strip[0] nude[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
gloria is the type of fast-talking , smart-mouthed new yorker who always seems to get involved with the wrong people , and she never expected to be stuck with a kid , but she has a heart of gold ( don't they always in this type of movie ) and is only trying to protect the boy , whom she quickly begins to form a close bond with . 	gloria is the type of fast-talking , smart-mouthed new yorker who always seems to get involved with the wrong people , and she never expected to be stuck with a kid , but she has a heart of gold ( don't they always in this type of movie ) and is only trying to protect the boy , whom she quickly begins to form a close bond with .	2	-2	 gloria[1] is[0] the[0] type[0] of[0] fast[0] talking[0] smart[1] mouthed[0] new[0] yorker[0] who[0] always[0] seems[0] to[0] get[0] involved[0] with[0] the[0] wrong[-1] people[0] and[0] she[0] never[0] expected[0] to[0] be[0] stuck[0] with[0] a[0] kid[0] but[0] she[0] has[0] a[0] heart[0] of[0] gold[0] don't[0] they[0] always[0] in[0] this[0] type[0] of[0] movie[0] and[0] is[0] only[0] trying[0] to[0] protect[0] the[0] boy[0] whom[0] she[0] quickly[0] begins[0] to[0] form[0] a[0] close[0] bond[0] with[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the previous incarnation of " gloria " by cassavetes and starring the luminous gena rowlands , remains unseen by me , but was no doubt superior , even though i can't really imagine how this considerably dull story could be transformed into an entertaining one , regardless of the director or stars . 	the previous incarnation of " gloria " by cassavetes and starring the luminous gena rowlands , remains unseen by me , but was no doubt superior , even though i can't really imagine how this considerably dull story could be transformed into an entertaining one , regardless of the director or stars .	3	-2	 the[0] previous[0] incarnation[0] of[0] gloria[1] by[0] cassavetes[0] and[0] starring[0] the[0] luminous[0] gena[0] rowlands[0] remains[0] unseen[0] by[0] me[0] but[0] was[0] no[0] doubt[-1] superior[2] even[0] though[0] i[0] can't[0] really[0] imagine[0] how[0] this[0] considerably[0] dull[-1] story[0] could[0] be[0] transformed[0] into[0] an[0] entertaining[0] one[0] regardless[-1] of[0] the[0] director[0] or[0] stars[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
