writing a screenplay for a thriller is hard . 	Translation	Positive	Negative	EmotionRationale
harder than pouring concrete under the texas sun . 	harder than pouring concrete under the texas sun .	1	-1	 harder[0] than[0] pouring[0] concrete[0] under[0] the[0] texas[0] sun[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harder than building a bridge over troubled waters . 	harder than building a bridge over troubled waters .	1	-2	 harder[0] than[0] building[0] a[0] bridge[0] over[0] troubled[-1] waters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and incidentally , a whole heck of a lot harder than writing a movie review . 	and incidentally , a whole heck of a lot harder than writing a movie review .	1	-1	 and[0] incidentally[0] a[0] whole[0] heck[0] of[0] a[0] lot[0] harder[0] than[0] writing[0] a[0] movie[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thrillers are all variations on a theme . 	thrillers are all variations on a theme .	2	-1	 thrillers[1] are[0] all[0] variations[0] on[0] a[0] theme[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you have a smart , resourceful , and powerful bad guy , who has a goal he has to meet . 	you have a smart , resourceful , and powerful bad guy , who has a goal he has to meet .	2	-2	 you[0] have[0] a[0] smart[1] resourceful[0] and[0] powerful[0] bad[-1] guy[0] who[0] has[0] a[0] goal[0] he[0] has[0] to[0] meet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you have a noble and brave good guy , who has to protect the innocent , kill the bad guy , and not get killed himself in the process . 	you have a noble and brave good guy , who has to protect the innocent , kill the bad guy , and not get killed himself in the process .	4	-2	 you[0] have[0] a[0] noble[0] and[0] brave[2] good[1] guy[0] who[0] has[0] to[0] protect[0] the[0] innocent[1] kill[-1] the[0] bad[-1] guy[0] and[0] not[0] get[0] killed[-3][NegatedDueToPreviousWord] himself[0] in[0] the[0] process[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the trick of thriller writing is doing all of this in an interesting and novel manner . 	the trick of thriller writing is doing all of this in an interesting and novel manner .	2	-2	 the[0] trick[-1] of[0] thriller[1] writing[0] is[0] doing[0] all[0] of[0] this[0] in[0] an[0] interesting[1] and[0] novel[0] manner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this simple formula can lead to classic movies like north by northwest , high noon , or silence of the lambs , or big summer blockbusters like men in black , the fugitive , or air force one , or it can lead to utter dreck like masterminds , event horizon , kull the conqueror . . . . 	this simple formula can lead to classic movies like north by northwest , high noon , or silence of the lambs , or big summer blockbusters like men in black , the fugitive , or air force one , or it can lead to utter dreck like masterminds , event horizon , kull the conqueror .<br> .<br> .<br> .	2	-2	 this[0] simple[0] formula[0] can[0] lead[0] to[0] classic[0] movies[0] like[1] north[0] by[0] northwest[0] high[0] noon[0] or[0] silence[0] of[0] the[0] lambs[0] or[0] big[0] summer[0] blockbusters[-1] like[1] men[0] in[0] black[0] the[0] fugitive[-1] or[0] air[0] force[-1] one[0] or[0] it[0] can[0] lead[0] to[0] utter[0] dreck[0] like[1] masterminds[0] event[0] horizon[0] kull[0] the[0] conqueror[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is anyone else getting depressed here ? 	is anyone else getting depressed here ?	1	-4	 is[0] anyone[0] else[0] getting[0] depressed[-3] here[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
point is , it's not enough to follow the formula . 	point is , it's not enough to follow the formula .	1	-1	 point[0] is[0] it's[0] not[0] enough[0] to[0] follow[0] the[0] formula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
