in my opinion , a movie reviewer's most important task is to offer an explanation for his opinion . 	Translation	Positive	Negative	EmotionRationale
but with soul survivors , i'm so full of critical rage that this review is liable to turn into a venomous , uncontrollable rant , obligations damned . 	but with soul survivors , i'm so full of critical rage that this review is liable to turn into a venomous , uncontrollable rant , obligations damned .	1	-4	 but[0] with[0] soul[0] survivors[0] i'm[0] so[0] full[0] of[0] critical[-1] rage[-3] that[0] this[0] review[0] is[0] liable[-1] to[0] turn[0] into[0] a[0] venomous[-3] uncontrollable[-1] rant[0] obligations[0] damned[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , protocol forces me to do otherwise . 	however , protocol forces me to do otherwise .	1	-1	 however[0] protocol[0] forces[0] me[0] to[0] do[0] otherwise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soul survivors tells the story of four college-bound friends : cassandra ( melissa sagemiller ) is sweet and innocent . 	soul survivors tells the story of four college-bound friends : cassandra ( melissa sagemiller ) is sweet and innocent .	2	-2	 soul[0] survivors[0] tells[0] the[0] story[0] of[0] four[0] college[0] bound[0] friends[1] cassandra[0] melissa[0] sagemiller[-1] is[0] sweet[1] and[0] innocent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
party girl annabel ( eliza dushku of bring it on ) is dating world-weary harvard student matt ( wes bentley ) . 	party girl annabel ( eliza dushku of bring it on ) is dating world-weary harvard student matt ( wes bentley ) .	1	-1	 party[0] girl[0] annabel[0] eliza[0] dushku[0] of[0] bring[0] it[0] on[0] is[0] dating[0] world[0] weary[0] harvard[0] student[0] matt[0] wes[0] bentley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matt still has feelings for cassie , who is now dating sean ( casey affleck ) . 	matt still has feelings for cassie , who is now dating sean ( casey affleck ) .	1	-1	 matt[0] still[0] has[0] feelings[0] for[0] cassie[0] who[0] is[0] now[0] dating[0] sean[0] casey[0] affleck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
driving back from a creepy , gothic party , the quartet gets into a horrific car crash . 	driving back from a creepy , gothic party , the quartet gets into a horrific car crash .	1	-4	 driving[0] back[0] from[0] a[0] creepy[0] gothic[0] party[0] the[0] quartet[0] gets[0] into[0] a[0] horrific[-3] car[0] crash[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sean dies , leaving cassie crestfallen and guilty , made worse because sean saw matt kiss cassie just minutes after sean revealed his love for her . 	sean dies , leaving cassie crestfallen and guilty , made worse because sean saw matt kiss cassie just minutes after sean revealed his love for her .	3	-4	 sean[0] dies[0] leaving[0] cassie[0] crestfallen[0] and[0] guilty[-3] made[0] worse[-2] because[0] sean[0] saw[0] matt[0] kiss[2] cassie[0] just[0] minutes[0] after[0] sean[0] revealed[0] his[0] love[2] for[0] her[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as cassie mopes through her classes , she sees the ghost of sean all over the place , urging her to follow him . 	as cassie mopes through her classes , she sees the ghost of sean all over the place , urging her to follow him .	1	-1	 as[0] cassie[0] mopes[0] through[0] her[0] classes[0] she[0] sees[0] the[0] ghost[0] of[0] sean[0] all[0] over[0] the[0] place[0] urging[0] her[0] to[0] follow[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with being plagued by other ghastly visions , cassie is also followed by thugs from that strange party . 	along with being plagued by other ghastly visions , cassie is also followed by thugs from that strange party .	1	-2	 along[0] with[0] being[0] plagued[-1] by[0] other[0] ghastly[-1] visions[0] cassie[0] is[0] also[0] followed[0] by[0] thugs[0] from[0] that[0] strange[0] party[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
annabel and matt try calming her down , but no one shares cass's visions . 	annabel and matt try calming her down , but no one shares cass's visions .	2	-1	 annabel[0] and[0] matt[0] try[0] calming[1] her[0] down[0] but[0] no[0] one[0] shares[0] cass's[0] visions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she has to figure out this purgatory all by herself . 	she has to figure out this purgatory all by herself .	1	-1	 she[0] has[0] to[0] figure[0] out[0] this[0] purgatory[0] all[0] by[0] herself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rarely have i seen a director so thoroughly mishandle material . 	rarely have i seen a director so thoroughly mishandle material .	1	-2	 rarely[0] have[0] i[0] seen[0] a[0] director[0] so[0] thoroughly[0] mishandle[-1] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his directorial debut , steve carpenter does nothing to provoke the audience into feeling any emotion . 	in his directorial debut , steve carpenter does nothing to provoke the audience into feeling any emotion .	1	-2	 in[0] his[0] directorial[0] debut[0] steve[0] carpenter[0] does[0] nothing[0] to[0] provoke[-1] the[0] audience[0] into[0] feeling[0] any[0] emotion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the movie's camerawork isn't pedestrian , it's clich ? d . 	when the movie's camerawork isn't pedestrian , it's clich ?<br> d .	1	-1	 when[0] the[0] movie's[0] camerawork[0] isn't[0] pedestrian[0] it's[0] clich[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carpenter's need for close-ups , his camera following sagemiller from behind , drain the movie of any anticipation . 	carpenter's need for close-ups , his camera following sagemiller from behind , drain the movie of any anticipation .	1	-2	 carpenter's[0] need[0] for[0] close[0] ups[0] his[0] camera[0] following[0] sagemiller[-1] from[0] behind[0] drain[0] the[0] movie[0] of[0] any[0] anticipation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we already know what to look for , so why should we be surprised ? 	we already know what to look for , so why should we be surprised ?	1	-1	 we[0] already[0] know[0] what[0] to[0] look[0] for[0] so[0] why[0] should[0] we[0] be[0] surprised[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the sense of scary atmosphere , which was recently done so well in the others , is nowhere to be found here . 	and the sense of scary atmosphere , which was recently done so well in the others , is nowhere to be found here .	1	-4	 and[0] the[0] sense[0] of[0] scary[-3] atmosphere[0] which[0] was[0] recently[0] done[0] so[0] well[0] in[0] the[0] others[0] is[0] nowhere[0] to[0] be[0] found[0] here[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
carpenter's script relies on random twists and turns with a minimum of logic and loads of laziness . 	carpenter's script relies on random twists and turns with a minimum of logic and loads of laziness .	1	-1	 carpenter's[0] script[0] relies[0] on[0] random[0] twists[0] and[0] turns[0] with[0] a[0] minimum[0] of[0] logic[0] and[0] loads[0] of[0] laziness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
