come on hollywood , surprise me . 	Translation	Positive	Negative	EmotionRationale
stop giving us these poorly written thrillers with banal dialogue , sketchy characters and plots as predictable as the sunset . 	stop giving us these poorly written thrillers with banal dialogue , sketchy characters and plots as predictable as the sunset .	2	-2	 stop[0] giving[0] us[0] these[0] poorly[-1] written[0] thrillers[1] with[0] banal[-1] dialogue[0] sketchy[-1] characters[0] and[0] plots[0] as[0] predictable[0] as[0] the[0] sunset[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the always watchable morgan freeman plays a detective who becomes personally involved in a case involving missing girls . 	the always watchable morgan freeman plays a detective who becomes personally involved in a case involving missing girls .	2	-1	 the[0] always[0] watchable[0] morgan[0] freeman[0] plays[1] a[0] detective[0] who[0] becomes[0] personally[0] involved[0] in[0] a[0] case[0] involving[0] missing[0] girls[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
personal , because his niece is one of the victims . 	personal , because his niece is one of the victims .	1	-3	 personal[0] because[0] his[0] niece[0] is[0] one[0] of[0] the[0] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a slobbering psychopath , of course , but this time there's a twist . 	it's a slobbering psychopath , of course , but this time there's a twist .	1	-1	 it's[0] a[0] slobbering[0] psychopath[0] of[0] course[0] but[0] this[0] time[0] there's[0] a[0] twist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
freeman notes that each of the young women who've disappeared are all strong willed , assertive , and more successful in their careers than the average girl . 	freeman notes that each of the young women who've disappeared are all strong willed , assertive , and more successful in their careers than the average girl .	3	-1	 freeman[0] notes[0] that[0] each[0] of[0] the[0] young[0] women[0] who've[0] disappeared[0] are[0] all[0] strong[0] willed[0] assertive[0] and[0] more[0] successful[2] in[0] their[0] careers[0] than[0] the[0] average[0] girl[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we soon learn that the guy calls himself casanova , whose aim is to " dominate " these modern gals by imprisoning them in some dungeon and keeping them as his personal harem . 	we soon learn that the guy calls himself casanova , whose aim is to " dominate " these modern gals by imprisoning them in some dungeon and keeping them as his personal harem .	1	-2	 we[0] soon[0] learn[0] that[0] the[0] guy[0] calls[0] himself[0] casanova[0] whose[0] aim[0] is[0] to[0] dominate[-1] these[0] modern[0] gals[0] by[0] imprisoning[-1] them[0] in[0] some[0] dungeon[-1][--1 LastWordBoosterStrength] and[0] keeping[0] them[0] as[0] his[0] personal[0] harem[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , one of the women manages to escape ( ashly judd ) and teams up with freeman to . . . well , 	anyway , one of the women manages to escape ( ashly judd ) and teams up with freeman to .<br> .<br> .<br> well ,	1	-1	 anyway[0] one[0] of[0] the[0] women[0] manages[0] to[0] escape[0] ashly[0] judd[0] and[0] teams[0] up[0] with[0] freeman[0] to[0] [[Sentence=-1,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know the rest . 	you know the rest .	1	-1	 you[0] know[0] the[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a brief glance at the plot to silence of the lambs , with which this film is constantly being compared to by the hype merchants , may suggest lambs also has a fairly predictable story . 	a brief glance at the plot to silence of the lambs , with which this film is constantly being compared to by the hype merchants , may suggest lambs also has a fairly predictable story .	1	-1	 a[0] brief[0] glance[0] at[0] the[0] plot[0] to[0] silence[0] of[0] the[0] lambs[0] with[0] which[0] this[0] film[0] is[0] constantly[0] being[0] compared[0] to[0] by[0] the[0] hype[0] merchants[0] may[0] suggest[0] lambs[0] also[0] has[0] a[0] fairly[0] predictable[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps , but that film also has superbly drawn characters and smart dialogue . 	perhaps , but that film also has superbly drawn characters and smart dialogue .	2	-1	 perhaps[0] but[0] that[0] film[0] also[0] has[0] superbly[0] drawn[0] characters[0] and[0] smart[1] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
