there was a time when john carpenter was a great horror director . 	Translation	Positive	Negative	EmotionRationale
of course , his best film was 1978's masterpiece , " halloween , " but he also made 1980's " the fog , " and 1987's underrated , " prince of darkness . " 	of course , his best film was 1978's masterpiece , " halloween , " but he also made 1980's " the fog , " and 1987's underrated , " prince of darkness .<br> "	2	-1	 of[0] course[0] his[0] best[1] film[0] was[0] 1978's[0] masterpiece[0] halloween[0] but[0] he[0] also[0] made[0] 1980's[0] the[0] fog[0] and[0] 1987's[0] underrated[0] prince[0] of[0] darkness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
heck , he even made a good film in 1995 , with " in the mouth of madness . " 	heck , he even made a good film in 1995 , with " in the mouth of madness .<br> "	2	-2	 heck[0] he[0] even[0] made[0] a[0] good[1] film[0] in[0] 1995[0] with[0] in[0] the[0] mouth[0] of[0] madness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but something terribly wrong happened to him in 1992 , with the terrible comedy , " memoirs of an invisible man . " 	but something terribly wrong happened to him in 1992 , with the terrible comedy , " memoirs of an invisible man .<br> "	1	-4	 but[0] something[0] terribly[-3] wrong[-1] happened[0] to[0] him[0] in[0] 1992[0] with[0] the[0] terrible[-3] comedy[0] memoirs[0] of[0] an[0] invisible[-1] man[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
somehow , carpenter has lost his touch , with junk like his failed 1995 remake of , " village of the damned , " to his uninspired 1996 sequel , " escape from l . a . " those movies , however , look like cinematic works of art compared to his latest film , " john carpenter's vampires . " 	somehow , carpenter has lost his touch , with junk like his failed 1995 remake of , " village of the damned , " to his uninspired 1996 sequel , " escape from l .<br> a .<br> " those movies , however , look like cinematic works of art compared to his latest film , " john carpenter's vampires .<br> "	2	-3	 somehow[0] carpenter[0] has[0] lost[0] his[0] touch[0] with[0] junk[-1] like[1] his[0] failed[-2] 1995[0] remake[0] of[0] village[0] of[0] the[0] damned[-1] to[0] his[0] uninspired[0] 1996[0] sequel[0] escape[0] from[0] l[0] [[Sentence=-3,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] those[0] movies[0] however[0] look[0] like[1] cinematic[0] works[0] of[0] art[0] compared[0] to[0] his[0] latest[0] film[0] john[0] carpenter's[0] vampires[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
if i was him , i definately wouldn't want to put my own name in the title . 	if i was him , i definately wouldn't want to put my own name in the title .	1	-1	 if[0] i[0] was[0] him[0] i[0] definately[0] wouldn't[0] want[0] to[0] put[0] my[0] own[0] name[0] in[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a sad state of affairs when carpenter can make something as misguided and flatly written and filmed as , " vampires . " 	it is a sad state of affairs when carpenter can make something as misguided and flatly written and filmed as , " vampires .<br> "	1	-4	 it[0] is[0] a[0] sad[-3] state[0] of[0] affairs[0] when[0] carpenter[0] can[0] make[0] something[0] as[0] misguided[0] and[0] flatly[0] written[0] and[0] filmed[0] as[0] vampires[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story is simple . 	the story is simple .	1	-1	 the[0] story[0] is[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack crow ( james woods ) is a vampire hunter who , along with one of his partners , montoya ( daniel baldwin ) , and a prostitute , katrina ( sheryl lee ) , survives an attack from the master vampire , valek ( thomas ian griffith ) . 	jack crow ( james woods ) is a vampire hunter who , along with one of his partners , montoya ( daniel baldwin ) , and a prostitute , katrina ( sheryl lee ) , survives an attack from the master vampire , valek ( thomas ian griffith ) .	1	-3	 jack[0] crow[0] james[0] woods[0] is[0] a[0] vampire[0] hunter[-1] who[0] along[0] with[0] one[0] of[0] his[0] partners[0] montoya[0] daniel[0] baldwin[0] and[0] a[0] prostitute[0] katrina[0] sheryl[0] lee[0] survives[0] an[0] attack[-2] from[0] the[0] master[0] vampire[0] valek[0] thomas[0] ian[0] griffith[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since katrina was previously bitten by him , crow takes her along because anyone who is bitten by valek becomes telepathically linked to him until they themselves turn into vampires a couple days later , and crow is hoping to find him with the help of her . 	since katrina was previously bitten by him , crow takes her along because anyone who is bitten by valek becomes telepathically linked to him until they themselves turn into vampires a couple days later , and crow is hoping to find him with the help of her .	2	-1	 since[0] katrina[0] was[0] previously[0] bitten[0] by[0] him[0] crow[0] takes[0] her[0] along[0] because[0] anyone[0] who[0] is[0] bitten[0] by[0] valek[0] becomes[0] telepathically[0] linked[0] to[0] him[0] until[0] they[0] themselves[0] turn[0] into[0] vampires[0] a[0] couple[0] days[0] later[0] and[0] crow[0] is[0] hoping[1] to[0] find[0] him[0] with[0] the[0] help[0] of[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seems valek's mission is to steal a black , wooden cross from a roman catholic church that will enable him to become so powerful that sunlight will not destroy him . 	it seems valek's mission is to steal a black , wooden cross from a roman catholic church that will enable him to become so powerful that sunlight will not destroy him .	3	-3	 it[0] seems[0] valek's[0] mission[0] is[0] to[0] steal[-2] a[0] black[0] wooden[0] cross[-1] from[0] a[0] roman[0] catholic[0] church[0] that[0] will[0] enable[0] him[0] to[0] become[0] so[0] powerful[0] that[0] sunlight[0] will[0] not[0] destroy[-2][NegatedDueToPreviousWord] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
