capsule : where are you tonight , leni rienfenstal ? 	Translation	Positive	Negative	EmotionRationale
starship troopers is an expensive , hateful and unenjoyable piece of violent pornography -- and bad pornography , at that . 	starship troopers is an expensive , hateful and unenjoyable piece of violent pornography - and bad pornography , at that .	1	-4	 starship[0] troopers[0] is[0] an[0] expensive[-1] hateful[-3] and[0] unenjoyable[0] piece[0] of[0] violent[-2] pornography[0] and[0] bad[-1] pornography[0] at[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is not good cinema , not good storytelling , and not even stupid fun : it's so cynically , calculatedly bone-headed that even the least demanding members of the audience i was with were alternately bored and revulsed . 	it is not good cinema , not good storytelling , and not even stupid fun : it's so cynically , calculatedly bone-headed that even the least demanding members of the audience i was with were alternately bored and revulsed .	2	-2	 it[0] is[0] not[0] good[1][NegatedDueToPreviousWord] cinema[0] not[0] good[1][NegatedDueToPreviousWord] storytelling[0] and[0] not[0] even[0] stupid[-1][NegatedDueToPreviousWord] fun[1] it's[0] so[0] cynically[-1] calculatedly[0] bone[0] headed[0] that[0] even[0] the[0] least[0] demanding[0] members[0] of[0] the[0] audience[0] i[0] was[0] with[0] were[0] alternately[0] bored[-1] and[0] revulsed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's one of the worst movies i've seen in a long time . 	it's one of the worst movies i've seen in a long time .	1	-3	 it's[0] one[0] of[0] the[0] worst[-2] movies[0] i've[0] seen[0] in[0] a[0] long[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why am i calling this movie pornography ? 	why am i calling this movie pornography ?	1	-1	 why[0] am[0] i[0] calling[0] this[0] movie[0] pornography[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pornography , in the abstract , is anything which is calculated to appeal to the baser instincts . 	pornography , in the abstract , is anything which is calculated to appeal to the baser instincts .	1	-1	 pornography[0] in[0] the[0] abstract[0] is[0] anything[0] which[0] is[0] calculated[0] to[0] appeal[0] to[0] the[0] baser[0] instincts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i remember reading a review of full metal jacket which described the climact moment at the end of the movie , where private joker has to shoot the downed vc sniper , as " a near-pornographic eternity " . 	i remember reading a review of full metal jacket which described the climact moment at the end of the movie , where private joker has to shoot the downed vc sniper , as " a near-pornographic eternity " .	2	-2	 i[0] remember[0] reading[0] a[0] review[0] of[0] full[0] metal[0] jacket[0] which[0] described[0] the[0] climact[0] moment[0] at[0] the[0] end[0] of[0] the[0] movie[0] where[0] private[0] joker[1] has[0] to[0] shoot[-1] the[0] downed[0] vc[0] sniper[0] as[0] a[0] near[0] pornographic[0] eternity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i didn't agree with that assessment , but i could see what was being implied : the reviewer felt as if the audience was being incited to stand up and pump their fists and shout " do 'er , man , do 'er ! " 	i didn't agree with that assessment , but i could see what was being implied : the reviewer felt as if the audience was being incited to stand up and pump their fists and shout " do 'er , man , do 'er !<br> "	1	-1	 i[0] didn't[0] agree[0] with[0] that[0] assessment[0] but[0] i[0] could[0] see[0] what[0] was[0] being[0] implied[0] the[0] reviewer[0] felt[0] as[0] if[0] the[0] audience[0] was[0] being[0] incited[0] to[0] stand[0] up[0] and[0] pump[0] their[0] fists[0] and[0] shout[0] do[0] 'er[0] man[0] do[0] 'er[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that sentiment is echoed ad nauseam throughout starship troopers . 	that sentiment is echoed ad nauseam throughout starship troopers .	1	-1	 that[0] sentiment[0] is[0] echoed[0] ad[0] nauseam[0] throughout[0] starship[0] troopers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's * literally * like a giant recruitment film that has gone berserk . 	it's * literally * like a giant recruitment film that has gone berserk .	2	-2	 it's[0] literally[0] like[1] a[0] giant[0] recruitment[0] film[0] that[0] has[0] gone[0] berserk[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it tries frantically to enlist our emotions but it winds up only being dull or sickening . 	it tries frantically to enlist our emotions but it winds up only being dull or sickening .	1	-4	 it[0] tries[0] frantically[-1] to[0] enlist[0] our[0] emotions[0] but[0] it[0] winds[0] up[0] only[0] being[0] dull[-1] or[0] sickening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
