susan granger's review of " session 9 " ( usa films ) 	Translation	Positive	Negative	EmotionRationale
sometimes you just get more than your bargained for . . . like when boston-based hazmat elimination , run by scottish actor peter mullan and his trusty assistant , david caruso , assures a town engineer ( paul guilifoyle ) that they can remove insidious asbestos fibers from a victorian hospital facility in a week . 	sometimes you just get more than your bargained for .<br> .<br> .<br> like when boston-based hazmat elimination , run by scottish actor peter mullan and his trusty assistant , david caruso , assures a town engineer ( paul guilifoyle ) that they can remove insidious asbestos fibers from a victorian hospital facility in a week .	2	-3	 sometimes[0] you[0] just[0] get[0] more[0] than[0] your[0] bargained[0] for[0] [[Sentence=-1,1=word max, 1-5]] like[1] when[0] boston[0] based[0] hazmat[0] elimination[-1] run[0] by[0] scottish[0] actor[0] peter[0] mullan[0] and[0] his[0] trusty[1] assistant[0] david[0] caruso[0] assures[0] a[0] town[0] engineer[0] paul[0] guilifoyle[0] that[0] they[0] can[0] remove[0] insidious[-2] asbestos[0] fibers[0] from[0] a[0] victorian[0] hospital[0] facility[0] in[0] a[0] week[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
erected in 1871 , deserted and decomposing since 1985 , the danvers mental hospital , is one of the most malevolent " locations " ever chosen for a film . 	erected in 1871 , deserted and decomposing since 1985 , the danvers mental hospital , is one of the most malevolent " locations " ever chosen for a film .	1	-2	 erected[0] in[0] 1871[0] deserted[0] and[0] decomposing[-1] since[0] 1985[0] the[0] danvers[0] mental[0] hospital[0] is[0] one[0] of[0] the[0] most[0] malevolent[0] locations[0] ever[0] chosen[0] for[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the structure is so massive - with its labyrinth of rubble-strewn corridors , collapsing floors , stagnant pools of water , isolation cells , and ominous surgical chambers where experimental pre-frontal lobotomies were performed - that their task seems impossible within that time frame . 	the structure is so massive - with its labyrinth of rubble-strewn corridors , collapsing floors , stagnant pools of water , isolation cells , and ominous surgical chambers where experimental pre-frontal lobotomies were performed - that their task seems impossible within that time frame .	1	-3	 the[0] structure[0] is[0] so[0] massive[0] with[0] its[0] labyrinth[0] of[0] rubble[0] strewn[0] corridors[0] collapsing[0] floors[0] stagnant[-1] pools[0] of[0] water[0] isolation[-1] cells[0] and[0] ominous[-2] surgical[0] chambers[0] where[0] experimental[0] pre[0] frontal[0] lobotomies[0] were[0] performed[0] that[0] their[0] task[0] seems[0] impossible[0] within[0] that[0] time[0] frame[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and each member of their inexperienced crew ( stephan gevedon , brandon sexton iii , and josh lucas ) is coping with his own personal demons as , one by one , their minds seem to be affected by the grim areas in which they're working . 	and each member of their inexperienced crew ( stephan gevedon , brandon sexton i , and josh lucas ) is coping with his own personal demons as , one by one , their minds seem to be affected by the grim areas in which they're working .	2	-3	 and[0] each[0] member[0] of[0] their[0] inexperienced[0] crew[0] stephan[0] gevedon[0] brandon[0] sexton[0] iii/i[0][+0.6 MultipleLetters] and[0] josh[0] lucas[0] is[0] coping[0] with[0] his[0] own[0] personal[0] demons[0] as[0] one[0] by[0] one[0] their[0] minds[0] seem[0] to[0] be[0] affected[0] by[0] the[0] grim[-2] areas[0] in[0] which[0] they're[0] working[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film's title is derived from salvaged reel-to-reel audio-recorded sessions involving the demonic possession of a young woman who is suffering from multiple personalities . 	the film's title is derived from salvaged reel-to-reel audio-recorded sessions involving the demonic possession of a young woman who is suffering from multiple personalities .	1	-4	 the[0] film's[0] title[0] is[0] derived[0] from[0] salvaged[0] reel[0] to[0] reel[0] audio[0] recorded[0] sessions[0] involving[0] the[0] demonic[0] possession[0] of[0] a[0] young[0] woman[0] who[0] is[0] suffering[-3] from[0] multiple[0] personalities[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
by the time session 9 occurs so do dreadful disasters . 	by the time session 9 occurs so do dreadful disasters .	1	-4	 by[0] the[0] time[0] session[0] 9[0] occurs[0] so[0] do[0] dreadful[-3] disasters[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
filmmaker brad anderson obviously envisioned this as a gruesome chainsaw-massacre-type ghost story but the script lacks structure and isn't particularly scary . 	filmmaker brad anderson obviously envisioned this as a gruesome chainsaw-massacre-type ghost story but the script lacks structure and isn't particularly scary .	4	-2	 filmmaker[0] brad[0] anderson[0] obviously[0] envisioned[0] this[0] as[0] a[0] gruesome[0] chainsaw[0] massacre[-1] type[0] ghost[0] story[0] but[0] the[0] script[0] lacks[0] structure[0] and[0] isn't[0] particularly[0] scary[-3][NegatedDueToPreviousWord] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the conclusion is more ludicrous than convincing . 	the conclusion is more ludicrous than convincing .	1	-3	 the[0] conclusion[0] is[0] more[0] ludicrous[-2] than[0] convincing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the granger movie gauge of 1 to 10 , " session 9 " is a dark , gloomy 4 . silly me . . . at 	on the granger movie gauge of 1 to 10 , " session 9 " is a dark , gloomy 4 .<br> silly me .<br> .<br> .<br> at	1	-3	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] session[0] 9[0] is[0] a[0] dark[0] gloomy[-2] 4[0] [[Sentence=-3,1=word max, 1-5]] silly[-1] me[0] [[Sentence=-2,1=word max, 1-5]] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
first , i thought that the original name of the danvers lunatic asylum bore some reference to mrs . danvers , the creepy housekeeper played by judith anderson in alfred hitchcock's truly terrifying " rebecca " that also involved a cavernous mansion called manderley . 	first , i thought that the original name of the danvers lunatic asylum bore some reference to mrs .<br> danvers , the creepy housekeeper played by judith anderson in alfred hitchcock's truly terrifying " rebecca " that also involved a cavernous mansion called manderley .	2	-4	 first[0] i[0] thought[0] that[0] the[0] original[0] name[0] of[0] the[0] danvers[0] lunatic[-1] asylum[0] bore[-1] some[0] reference[0] to[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] danvers[0] the[0] creepy[0] housekeeper[0] played[0] by[0] judith[0] anderson[0] in[0] alfred[0] hitchcock's[0] truly[1] terrifying[-3] rebecca[0] that[0] also[0] involved[0] a[0] cavernous[0] mansion[0] called[0] manderley[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
