the first scene of operation condor has jackie chan preparing for a secret mission . 	Translation	Positive	Negative	EmotionRationale
he attempts to pop a couple of pieces of chewing gum into his mouth , but misses . 	he attempts to pop a couple of pieces of chewing gum into his mouth , but misses .	1	-3	 he[0] attempts[0] to[0] pop[0] a[0] couple[0] of[0] pieces[0] of[0] chewing[0] gum[0] into[0] his[0] mouth[0] but[0] misses[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after they ricochet off his face , he says , " not a good start . " 	after they ricochet off his face , he says , " not a good start .<br> "	1	-2	 after[0] they[0] ricochet[0] off[0] his[0] face[0] he[0] says[0] not[0] a[0] good[1][NegatedDueToPreviousWord] start[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as it turns out , this line not only gives foreshadowing to the opening sequence , but to the rest of the movie as well . 	as it turns out , this line not only gives foreshadowing to the opening sequence , but to the rest of the movie as well .	1	-1	 as[0] it[0] turns[0] out[0] this[0] line[0] not[0] only[0] gives[0] foreshadowing[0] to[0] the[0] opening[0] sequence[0] but[0] to[0] the[0] rest[0] of[0] the[0] movie[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this , the latest of the jackie chan movies to be released in america after first runs in hong kong , chan plays an international operative codenamed " condor " , and is tasked by the united nations with finding a stash of gold hidden at a secret base by the nazi's during their retreat across the saharan desert during the second world war . 	in this , the latest of the jackie chan movies to be released in america after first runs in hong kong , chan plays an international operative codenamed " condor " , and is tasked by the united nations with finding a stash of gold hidden at a secret base by the nazi's during their retreat across the saharan desert during the second world war .	2	-3	 in[0] this[0] the[0] latest[0] of[0] the[0] jackie[0] chan[0] movies[0] to[0] be[0] released[0] in[0] america[0] after[0] first[0] runs[0] in[0] hong[0] kong[0] chan[0] plays[1] an[0] international[0] operative[0] codenamed[0] condor[0] and[0] is[0] tasked[0] by[0] the[0] united[0] nations[0] with[0] finding[0] a[0] stash[0] of[0] gold[0] hidden[0] at[0] a[0] secret[0] base[0] by[0] the[0] nazi's[-1] during[0] their[0] retreat[-1] across[0] the[0] saharan[0] desert[0] during[0] the[0] second[0] world[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for some reason , condor is given his mission at the u . s . embassy in spain . 	for some reason , condor is given his mission at the you .<br> s .<br> embassy in spain .	1	-1	 for[0] some[0] reason[0] condor[0] is[0] given[0] his[0] mission[0] at[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] embassy[0] in[0] spain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think this may have been done so that in a chase scene , they could honor the time old tradition of knocking over a fruit cart . 	i think this may have been done so that in a chase scene , they could honor the time old tradition of knocking over a fruit cart .	1	-2	 i[0] think[0] this[0] may[0] have[0] been[0] done[0] so[0] that[0] in[0] a[0] chase[-1] scene[0] they[0] could[0] honor[0] the[0] time[0] old[0] tradition[0] of[0] knocking[0] over[0] a[0] fruit[0] cart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watch for it in any chase scene set in a foreign country , most notably in europe . 	watch for it in any chase scene set in a foreign country , most notably in europe .	1	-2	 watch[0] for[0] it[0] in[0] any[0] chase[-1] scene[0] set[0] in[0] a[0] foreign[-1] country[0] most[0] notably[0] in[0] europe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the chase will take itself through a marketplace , and a fruit cart will be overturned . 	the chase will take itself through a marketplace , and a fruit cart will be overturned .	1	-2	 the[0] chase[-1] will[0] take[0] itself[0] through[0] a[0] marketplace[0] and[0] a[0] fruit[0] cart[0] will[0] be[0] overturned[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's almost a guarantee . 	it's almost a guarantee .	1	-1	 it's[0] almost[0] a[0] guarantee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway . . . . 	anyway .<br> .<br> .<br> .	1	-1	 anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
condor is given a key which is supposed to unlock a giant vault in which the gold is hidden ; the problem is that the key has insulators integrated into it , which may mean a booby trap might be electronically triggered if the key is used improperly . 	condor is given a key which is supposed to unlock a giant vault in which the gold is hidden ; the problem is that the key has insulators integrated into it , which may mean a booby trap might be electronically triggered if the key is used improperly .	1	-2	 condor[0] is[0] given[0] a[0] key[0] which[0] is[0] supposed[0] to[0] unlock[0] a[0] giant[0] vault[0] in[0] which[0] the[0] gold[0] is[0] hidden[0] the[0] problem[-1] is[0] that[0] the[0] key[0] has[0] insulators[0] integrated[0] into[0] it[0] which[0] may[0] mean[0] a[0] booby[0] trap[-1] might[0] be[0] electronically[0] triggered[0] if[0] the[0] key[0] is[0] used[0] improperly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to help him figure out where the gold is hidden and how to use the key correctly , condor is accompanied by a desert expert ( carol cheng ) and the granddaughter of the captain who was in charge of hiding the gold ( eva cobo ) . 	to help him figure out where the gold is hidden and how to use the key correctly , condor is accompanied by a desert expert ( carol cheng ) and the granddaughter of the captain who was in charge of hiding the gold ( eva cobo ) .	1	-2	 to[0] help[0] him[0] figure[0] out[0] where[0] the[0] gold[0] is[0] hidden[0] and[0] how[0] to[0] use[0] the[0] key[0] correctly[0] condor[0] is[0] accompanied[0] by[0] a[0] desert[0] expert[0] carol[0] cheng[0] and[0] the[0] granddaughter[0] of[0] the[0] captain[0] who[0] was[0] in[0] charge[-1] of[0] hiding[0] the[0] gold[0] eva[0] cobo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there aren't supposed to be any relatives of the nazi captain living in spain , but condor finds the granddaughter by looking her up in the phone book or something . 	there aren't supposed to be any relatives of the nazi captain living in spain , but condor finds the granddaughter by looking her up in the phone book or something .	1	-2	 there[0] aren't[0] supposed[0] to[0] be[0] any[0] relatives[0] of[0] the[0] nazi[-1] captain[0] living[0] in[0] spain[0] but[0] condor[0] finds[0] the[0] granddaughter[0] by[0] looking[0] her[0] up[0] in[0] the[0] phone[0] book[0] or[0] something[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although these two women are supposed to be integral parts of the mission , they prove no help at all except to get in trouble and provide an excuse for chan to jump into his martial arts . 	although these two women are supposed to be integral parts of the mission , they prove no help at all except to get in trouble and provide an excuse for chan to jump into his martial arts .	1	-2	 although[0] these[0] two[0] women[0] are[0] supposed[0] to[0] be[0] integral[0] parts[0] of[0] the[0] mission[0] they[0] prove[0] no[0] help[0] at[0] all[0] except[0] to[0] get[0] in[0] trouble[-1] and[0] provide[0] an[0] excuse[0] for[0] chan[0] to[0] jump[0] into[0] his[0] martial[0] arts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , most of the scenes are so ridiculously contrived that it seems everything is just a way to set up a fight . 	in fact , most of the scenes are so ridiculously contrived that it seems everything is just a way to set up a fight .	1	-3	 in[0] fact[0] most[0] of[0] the[0] scenes[0] are[0] so[0] ridiculously[-2] contrived[0] that[0] it[0] seems[0] everything[0] is[0] just[0] a[0] way[0] to[0] set[0] up[0] a[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suppose this isn't so bad , since chan's action is really the best part of the movie , and the only reason you go to see one of his films anyway . 	i suppose this isn't so bad , since chan's action is really the best part of the movie , and the only reason you go to see one of his films anyway .	2	-1	 i[0] suppose[0] this[0] isn't[0] so[0] bad[-1][NegatedDueToPreviousWord] since[0] chan's[0] action[0] is[0] really[0] the[0] best[1] part[0] of[0] the[0] movie[0] and[0] the[0] only[0] reason[0] you[0] go[0] to[0] see[0] one[0] of[0] his[0] films[0] anyway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you've never seen a jackie chan movie , don't expect a great plot , but do expect to be entertained by his moves . 	if you've never seen a jackie chan movie , don't expect a great plot , but do expect to be entertained by his moves .	3	-1	 if[0] you've[0] never[0] seen[0] a[0] jackie[0] chan[0] movie[0] don't[0] expect[0] a[0] great[2] plot[0] but[0] do[0] expect[0] to[0] be[0] entertained[0] by[0] his[0] moves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are so well choreographed and often so amazing that you wonder if this guy is human . 	they are so well choreographed and often so amazing that you wonder if this guy is human .	3	-3	 they[0] are[0] so[0] well[0] choreographed[-2] and[0] often[0] so[0] amazing[2] that[0] you[0] wonder[0] if[0] this[0] guy[0] is[0] human[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
knowing that he does his own stunts , and knowing that this is the real stuff ( no computer-masked bungee cords here ) makes the action sequences all the more exciting . 	knowing that he does his own stunts , and knowing that this is the real stuff ( no computer-masked bungee cords here ) makes the action sequences all the more exciting .	3	-1	 knowing[0] that[0] he[0] does[0] his[0] own[0] stunts[0] and[0] knowing[0] that[0] this[0] is[0] the[0] real[0] stuff[0] no[0] computer[0] masked[0] bungee[0] cords[0] here[0] makes[0] the[0] action[0] sequences[0] all[0] the[0] more[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you've got to hand it to a guy who's probably broken every bone in his body for the sake of his art . 	you've got to hand it to a guy who's probably broken every bone in his body for the sake of his art .	1	-2	 you've[0] got[0] to[0] hand[0] it[0] to[0] a[0] guy[0] who's[0] probably[0] broken[-1] every[0] bone[0] in[0] his[0] body[0] for[0] the[0] sake[0] of[0] his[0] art[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also of note in this , as in any jackie chan movie , is the humor . 	also of note in this , as in any jackie chan movie , is the humor .	3	-1	 also[0] of[0] note[0] in[0] this[0] as[0] in[0] any[0] jackie[0] chan[0] movie[0] is[0] the[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as far as i know , none of his films take themselves too seriously , and even the dramatic parts have a certain tongue-in-cheek quality about them . 	as far as i know , none of his films take themselves too seriously , and even the dramatic parts have a certain tongue-in-cheek quality about them .	1	-1	 as[0] far[0] as[0] i[0] know[0] none[0] of[0] his[0] films[0] take[0] themselves[0] too[0] seriously[0] and[0] even[0] the[0] dramatic[0] parts[0] have[0] a[0] certain[0] tongue[0] in[0] cheek[0] quality[0] about[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
