libby parsons ( ashley judd ) has the perfect little life -- a rich husband , a cute son , and a house on the ocean -- but when her husband nick ( bruce greenwood ) takes her sailing , she awakes to find him gone and her hands covered with blood . 	Translation	Positive	Negative	EmotionRationale
just as she makes it to the deck and picks up the bloody knife lying there , the coast guard arrives in response to a distress call her vanished husband sent . 	just as she makes it to the deck and picks up the bloody knife lying there , the coast guard arrives in response to a distress call her vanished husband sent .	1	-4	 just[0] as[0] she[0] makes[0] it[0] to[0] the[0] deck[0] and[0] picks[0] up[0] the[0] bloody[-1] knife[-1] lying[-3] there[0] the[0] coast[0] guard[0] arrives[0] in[0] response[0] to[0] a[0] distress[-2] call[0] her[0] vanished[-1] husband[0] sent[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she's convicted of his murder , of course , and leaves her son matty ( benjamin weir ) with her best friend ( annabeth gish ) . 	she's convicted of his murder , of course , and leaves her son matty ( benjamin weir ) with her best friend ( annabeth gish ) .	2	-4	 she's[0] convicted[-1] of[0] his[0] murder[-3] of[0] course[0] and[0] leaves[0] her[0] son[0] matty[0] benjamin[0] weir[0] with[0] her[0] best[1] friend[1] annabeth[0] gish[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
time passes , and the friend disappears with matty . 	time passes , and the friend disappears with matty .	2	-1	 time[0] passes[0] and[0] the[0] friend[1] disappears[0] with[0] matty[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during their last phone conversation libby hears matty yell " daddy ! " 	during their last phone conversation libby hears matty yell " daddy !<br> "	1	-1	 during[0] their[0] last[0] phone[0] conversation[0] libby[0] hears[0] matty[0] yell[0] daddy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and realizes that her husband is still alive . 	and realizes that her husband is still alive .	1	-1	 and[0] realizes[0] that[0] her[0] husband[0] is[0] still[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
libby serves six years , growing harder and driven by the desire to kill nick ( based on the theory that because of the " double jeopardy " amendment she can off him with impunity ) . 	libby serves six years , growing harder and driven by the desire to kill nick ( based on the theory that because of the " double jeopardy " amendment she can off him with impunity ) .	1	-2	 libby[0] serves[0] six[0] years[0] growing[0] harder[0] and[0] driven[0] by[0] the[0] desire[0] to[0] kill[-1] nick[0] based[0] on[0] the[0] theory[0] that[0] because[0] of[0] the[0] double[0] jeopardy[-1] amendment[0] she[0] can[0] off[0] him[0] with[0] impunity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she gets parole , she's sent to a halfway house run by travis lehman ( tommy lee jones ) , a former law professor who ruined his life with a drunk driving accident . 	when she gets parole , she's sent to a halfway house run by travis lehman ( tommy lee jones ) , a former law professor who ruined his life with a drunk driving accident .	1	-2	 when[0] she[0] gets[0] parole[0] she's[0] sent[0] to[0] a[0] halfway[0] house[0] run[0] by[0] travis[0] lehman[0] tommy[0] lee[0] jones[0] a[0] former[0] law[0] professor[0] who[0] ruined[-1] his[0] life[0] with[0] a[0] drunk[-1] driving[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after a little breaking and entering and some destruction of property , libby jumps parole and lams it across the country looking for nick and matty . 	after a little breaking and entering and some destruction of property , libby jumps parole and lams it across the country looking for nick and matty .	1	-1	 after[0] a[0] little[0] breaking[0] and[0] entering[0] and[0] some[0] destruction[-1][--1 LastWordBoosterStrength] of[0] property[0] libby[0] jumps[0] parole[0] and[0] lams[0] it[0] across[0] the[0] country[0] looking[0] for[0] nick[0] and[0] matty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
travis pursues , naturally . 	travis pursues , naturally .	1	-1	 travis[0] pursues[0] naturally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " double jeopardy " is a watered-down version of " the fugitive , " with jones sleep-walking through his well-worn pursuer persona . 	 " double jeopardy " is a watered-down version of " the fugitive , " with jones sleep-walking through his well-worn pursuer persona .	1	-2	 double[0] jeopardy[-1] is[0] a[0] watered[0] down[0] version[0] of[0] the[0] fugitive[-1] with[0] jones[0] sleep[0] walking[0] through[0] his[0] well[0] worn[-1] pursuer[0] persona[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
