burnt money is the perfect festival film . 	Translation	Positive	Negative	EmotionRationale
it will show once or twice , and then no one , thankfully , will ever have to hear from it again . 	it will show once or twice , and then no one , thankfully , will ever have to hear from it again .	2	-1	 it[0] will[0] show[0] once[0] or[0] twice[0] and[0] then[0] no[0] one[0] thankfully[1] will[0] ever[0] have[0] to[0] hear[0] from[0] it[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film from the seattle international film festival 2001's emerging masters series is easily one of the year's worst . 	this film from the seattle international film festival 2001's emerging masters series is easily one of the year's worst .	1	-3	 this[0] film[0] from[0] the[0] seattle[0] international[0] film[0] festival[0] 2001's[0] emerging[0] masters[0] series[0] is[0] easily[0] one[0] of[0] the[0] year's[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
billed as a gay  bonnie and clyde' , this gritty film from director marcelo pi ? eyro has its only highlight in a well-designed title sequence . 	billed as a gay  bonnie and clyde' , this gritty film from director marcelo pi ?<br> eyro has its only highlight in a well-designed title sequence .	1	-2	 billed[0] as[0] a[0] gay[-1] bonnie[0] and[0] clyde'[0] this[0] gritty[0] film[0] from[0] director[0] marcelo[0] pi[0] [[Sentence=-2,1=word max, 1-5]] eyro[0] has[0] its[0] only[0] highlight[0] in[0] a[0] well[0] designed[0] title[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
two gay lovers get involved in a bank robbery that makes a gang leader , whose plan they screwed up , angry . 	two gay lovers get involved in a bank robbery that makes a gang leader , whose plan they screwed up , angry .	4	-4	 two[0] gay[-1] lovers[3] get[0] involved[0] in[0] a[0] bank[0] robbery[-1] that[0] makes[0] a[0] gang[0] leader[0] whose[0] plan[0] they[0] screwed[0] up[0] angry[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
this causes the gang leader to send his boys out to get the gay guys , one of whom may not actually be gay . 	this causes the gang leader to send his boys out to get the gay guys , one of whom may not actually be gay .	1	-2	 this[0] causes[0] the[0] gang[0] leader[0] to[0] send[0] his[0] boys[0] out[0] to[0] get[0] the[0] gay[-1] guys[0] one[0] of[0] whom[0] may[0] not[0] actually[0] be[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hiding out in a prostitute's apartment , the two men must fight off police and gang members in a very long showdown for the movie's conclusion . 	hiding out in a prostitute's apartment , the two men must fight off police and gang members in a very long showdown for the movie's conclusion .	1	-3	 hiding[0] out[0] in[0] a[0] prostitute's[0] apartment[0] the[0] two[0] men[0] must[0] fight[-2] off[0] police[0] and[0] gang[0] members[0] in[0] a[0] very[0] long[0] showdown[0] for[0] the[0] movie's[0] conclusion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if caught , they risk losing all the money , and their love . 	if caught , they risk losing all the money , and their love .	3	-3	 if[0] caught[0] they[0] risk[-1] losing[-2] all[0] the[0] money[0] and[0] their[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as an added emotional bonus , one of the gay men is dying . 	as an added emotional bonus , one of the gay men is dying .	1	-2	 as[0] an[0] added[0] emotional[-1] bonus[0] one[0] of[0] the[0] gay[-1] men[0] is[0] dying[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or something like that . 	or something like that .	2	-1	 or[0] something[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything that happens is so quick and confusing i was completely lost . 	everything that happens is so quick and confusing i was completely lost .	1	-2	 everything[0] that[0] happens[0] is[0] so[0] quick[0] and[0] confusing[-1] i[0] was[0] completely[0] lost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
clarity isn't exactly this movie's striving virtue , so it was a little hard to pick up . 	clarity isn't exactly this movie's striving virtue , so it was a little hard to pick up .	3	-1	 clarity[0] isn't[0] exactly[0] this[0] movie's[0] striving[0] virtue[2] so[0] it[0] was[0] a[0] little[0] hard[0] to[0] pick[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not much could have really happened though . 	not much could have really happened though .	1	-1	 not[0] much[0] could[0] have[0] really[0] happened[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main events in this long two-hour film are explicit homosexual and heterosexual sex , graphic drug use , extreme violence , and strong language . 	the main events in this long two-hour film are explicit homosexual and heterosexual sex , graphic drug use , extreme violence , and strong language .	1	-4	 the[0] main[0] events[0] in[0] this[0] long[0] two[0] hour[0] film[0] are[0] explicit[0] homosexual[0] and[0] heterosexual[0] sex[0] graphic[0] drug[0] use[0] extreme[0] violence[-3] and[0] strong[0] language[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
lots of explicit material is never a bad thing when there's a reason , but there's no purpose to anything in this film . 	lots of explicit material is never a bad thing when there's a reason , but there's no purpose to anything in this film .	2	-1	 lots[0] of[0] explicit[0] material[0] is[0] never[0] a[0] bad[-1][NegatedDueToPreviousWord] thing[0] when[0] there's[0] a[0] reason[0] but[0] there's[0] no[0] purpose[0] to[0] anything[0] in[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the sex and violence scenes come off as silly , while the heavy drug use comes off as ridiculous and depressing . 	most of the sex and violence scenes come off as silly , while the heavy drug use comes off as ridiculous and depressing .	1	-4	 most[0] of[0] the[0] sex[0] and[0] violence[-3] scenes[0] come[0] off[0] as[0] silly[-1] while[0] the[0] heavy[0] drug[0] use[0] comes[0] off[0] as[0] ridiculous[-2] and[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it appears pi ? eyro ( who co-wrote with marcelo figueras , from a novel by ricardo piglia ) purposefully adds more blood and lovemaking for his own amusement . 	it appears pi ?<br> eyro ( who co-wrote with marcelo figueras , from a novel by ricardo piglia ) purposefully adds more blood and lovemaking for his own amusement .	4	-1	 it[0] appears[0] pi[0] [[Sentence=-1,1=word max, 1-5]] eyro[0] who[0] co[0] wrote[0] with[0] marcelo[0] figueras[0] from[0] a[0] novel[0] by[0] ricardo[0] piglia[0] purposefully[0] adds[0] more[0] blood[0] and[0] lovemaking[3] for[0] his[0] own[0] amusement[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he makes the actors as sweaty and dirty as possible , makes them snort cocaine , gives them guns and condoms , and lets them go . 	he makes the actors as sweaty and dirty as possible , makes them snort cocaine , gives them guns and condoms , and lets them go .	1	-2	 he[0] makes[0] the[0] actors[0] as[0] sweaty[0] and[0] dirty[-1] as[0] possible[0] makes[0] them[0] snort[0] cocaine[0] gives[0] them[0] guns[-1] and[0] condoms[0] and[0] lets[0] them[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
burnt money is pointless . 	burnt money is pointless .	1	-2	 burnt[-1] money[0] is[0] pointless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances are bad . 	the performances are bad .	1	-2	 the[0] performances[0] are[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it tries to thrill and shock , but only causes boredom . 	it tries to thrill and shock , but only causes boredom .	4	-3	 it[0] tries[0] to[0] thrill[3] and[0] shock[-2] but[0] only[0] causes[0] boredom[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
god forbid it will ever get a distributor . 	god forbid it will ever get a distributor .	1	-2	 god[0] forbid[-1] it[0] will[0] ever[0] get[0] a[0] distributor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another disappointing film from this year's so-called emerging masters series . 	another disappointing film from this year's so-called emerging masters series .	1	-2	 another[0] disappointing[-1] film[0] from[0] this[0] year's[0] so[0] called[0] emerging[0] masters[0] series[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pass on by . 	pass on by .	1	-1	 pass[0] on[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
