in 1990 , the surprise success an unheralded little movie called ghost instantly rescued the moribund careers of its trio of above-the-title stars , patrick swayze , demi moore , and whoopi goldberg . 	Translation	Positive	Negative	EmotionRationale
eight years later , moore and goldberg's careers aren't exactly thriving , but they have had their share of screen successes since ; the same can't be said of swayze , who has just added yet another turkey to his resume with the aptly named black dog . 	eight years later , more and goldberg's careers aren't exactly thriving , but they have had their share of screen successes since ; the same can't be said of swayze , who has just added yet another turkey to his resume with the aptly named black dog .	3	-1	 eight[0] years[0] later[0] moore/more[0] and[0] goldberg's[0] careers[0] aren't[0] exactly[0] thriving[0] but[0] they[0] have[0] had[0] their[0] share[0] of[0] screen[0] successes[2] since[0] the[0] same[0] can't[0] be[0] said[0] of[0] swayze[0] who[0] has[0] just[0] added[0] yet[0] another[0] turkey[0] to[0] his[0] resume[0] with[0] the[0] aptly[0] named[0] black[0] dog[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
forget the mortal kombat movies--this trucksploitation flick is the closest the movies has come to video games . 	forget the mortal kombat movies-this trucksploitation flick is the closest the movies has come to video games .	1	-1	 forget[0] the[0] mortal[0] kombat[0] movies[0] this[0] trucksploitation[0] flick[0] is[0] the[0] closest[0] the[0] movies[0] has[0] come[0] to[0] video[0] games[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good truck driver jack crews ( swayze ) must drive a cargo of illegal firearms from atlanta to new jersey . 	good truck driver jack crews ( swayze ) must drive a cargo of illegal firearms from atlanta to new jersey .	2	-2	 good[1] truck[0] driver[0] jack[0] crews[0] swayze[0] must[0] drive[0] a[0] cargo[0] of[0] illegal[-1] firearms[0] from[0] atlanta[0] to[0] new[0] jersey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
along the way , jack and his crew of three run into a number of obstacles--such as a highway weigh station , evil truckers , and deadly uzi-firing motorcyclists . 	along the way , jack and his crew of three run into a number of obstacles-such as a highway weigh station , evil truckers , and deadly uzi-firing motorcyclists .	1	-3	 along[0] the[0] way[0] jack[0] and[0] his[0] crew[0] of[0] three[0] run[0] into[0] a[0] number[0] of[0] obstacles[-1] such[0] as[0] a[0] highway[0] weigh[0] station[0] evil[-2] truckers[0] and[0] deadly[-1] uzi[0] firing[0] motorcyclists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every so often , like at the end of a video game " level " or " stage , " the main baddie pops up : red ( meat loaf , fresh from the triumph of spice world ) , who wants to steal the cache of guns . 	every so often , like at the end of a video game " level " or " stage , " the main baddie pops up : red ( meat loaf , fresh from the triumph of spice world ) , who wants to steal the cache of guns .	3	-3	 every[0] so[0] often[0] like[1] at[0] the[0] end[0] of[0] a[0] video[0] game[0] level[0] or[0] stage[0] the[0] main[0] baddie[0] pops[0] up[0] red[0] meat[0] loaf[0] fresh[0] from[0] the[0] triumph[2] of[0] spice[0] world[0] who[0] wants[0] to[0] steal[-2] the[0] cache[0] of[0] guns[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
just in case you forget his name or have trouble keeping track of who's driving what , all of red's vehicles , be it a pickup or a big rig , are painted--you guessed it--red . 	just in case you forget his name or have trouble keeping track of who's driving what , all of red's vehicles , be it a pickup or a big rig , are painted-you guessed it-red .	1	-2	 just[0] in[0] case[0] you[0] forget[0] his[0] name[0] or[0] have[0] trouble[-1] keeping[0] track[0] of[0] who's[0] driving[0] what[0] all[0] of[0] red's[0] vehicles[0] be[0] it[0] a[0] pickup[0] or[0] a[0] big[0] rig[0] are[0] painted[0] you[0] guessed[0] it[0] red[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i could go into more of the plot specifics ( such as jack's dream of having a nice home with his family , the past trauma that sent him to prison and cost him his trucking license , the fbi/atf crew tracking the cargo ) , but they are of little importance . 	i could go into more of the plot specifics ( such as jack's dream of having a nice home with his family , the past trauma that sent him to prison and cost him his trucking license , the fbi/atf crew tracking the cargo ) , but they are of little importance .	2	-4	 i[0] could[0] go[0] into[0] more[0] of[0] the[0] plot[0] specifics[0] such[0] as[0] jack's[0] dream[0] of[0] having[0] a[0] nice[1] home[0] with[0] his[0] family[0] the[0] past[0] trauma[-3] that[0] sent[0] him[0] to[0] prison[-1] and[0] cost[0] him[0] his[0] trucking[0] license[0] the[0] fbi/atf[0] crew[0] tracking[0] the[0] cargo[0] but[0] they[0] are[0] of[0] little[0] importance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
all that matters to director kevin hooks and writers william mickelberry and dan vining are the obstacles jack confronts in his drive from point a to point b . but they fail at even this modest goal , for none of the highway chaos , as credibly staged as it is , is terribly interesting , let alone exciting . 	all that matters to director kevin hooks and writers william mickelberry and dan vining are the obstacles jack confronts in his drive from point a to point b .<br> but they fail at even this modest goal , for none of the highway chaos , as credibly staged as it is , is terribly interesting , let alone exciting .	3	-4	 all[0] that[0] matters[0] to[0] director[0] kevin[0] hooks[0] and[0] writers[0] william[0] mickelberry[0] and[0] dan[0] vining[0] are[0] the[0] obstacles[-1] jack[0] confronts[-2] in[0] his[0] drive[0] from[0] point[0] a[0] to[0] point[0] b[0] [[Sentence=-3,1=word max, 1-5]] but[0] they[0] fail[-2] at[0] even[0] this[0] modest[0] goal[0] for[0] none[0] of[0] the[0] highway[0] chaos[-1] as[0] credibly[0] staged[0] as[0] it[0] is[0] is[0] terribly[-3] interesting[1] let[0] alone[0] exciting[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
once you've seen a couple of trucks bang against each other or a big rig explode the first time , you've seen it every time . 	once you've seen a couple of trucks bang against each other or a big rig explode the first time , you've seen it every time .	1	-2	 once[0] you've[0] seen[0] a[0] couple[0] of[0] trucks[0] bang[0] against[-1] each[0] other[0] or[0] a[0] big[0] rig[0] explode[-1] the[0] first[0] time[0] you've[0] seen[0] it[0] every[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as dreary as black dog is as an entertainment , the saddest part about the film has nothing to do with what shows up onscreen ; it's that swayze has to reduce himself to such work . 	as dreary as black dog is as an entertainment , the saddest part about the film has nothing to do with what shows up onscreen ; it's that swayze has to reduce himself to such work .	1	-4	 as[0] dreary[-1] as[0] black[0] dog[0] is[0] as[0] an[0] entertainment[0] the[0] saddest[-3] part[0] about[0] the[0] film[0] has[0] nothing[0] to[0] do[0] with[0] what[0] shows[0] up[0] onscreen[0] it's[0] that[0] swayze[0] has[0] to[0] reduce[0] himself[0] to[0] such[0] work[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while far from the best of actors , he is certainly not horrible , and he is a charismatic presence . 	while far from the best of actors , he is certainly not horrible , and he is a charismatic presence .	4	-1	 while[0] far[0] from[0] the[0] best[1] of[0] actors[0] he[0] is[0] certainly[0] not[0] horrible[-3][NegatedDueToPreviousWord] and[0] he[0] is[0] a[0] charismatic[0] presence[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i don't know if it's his judgment or the dearth of quality job offers that leads him to involve himself with bombs such as black dog . 	i don't know if it's his judgment or the dearth of quality job offers that leads him to involve himself with bombs such as black dog .	1	-2	 i[0] don't[0] know[0] if[0] it's[0] his[0] judgment[0] or[0] the[0] dearth[-1] of[0] quality[0] job[0] offers[0] that[0] leads[0] him[0] to[0] involve[0] himself[0] with[0] bombs[-1] such[0] as[0] black[0] dog[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
regardless , if he continues on this career track , could a tv series be far behind ? 	regardless , if he continues on this career track , could a tv series be far behind ?	1	-2	 regardless[-1] if[0] he[0] continues[0] on[0] this[0] career[0] track[0] could[0] a[0] tv[0] series[0] be[0] far[0] behind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
