when considering david fincher's latest film , " the game " , four words come to mind . 	Translation	Positive	Negative	EmotionRationale
 " don't believe the hype . " 	 " don't believe the hype .<br> "	1	-1	 don't[0] believe[0] the[0] hype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this michael douglas vehicle , from the director of " seven " , isn't nearly as clever or innovatively suspenseful as it would have us believe . 	this michael douglas vehicle , from the director of " seven " , isn't nearly as clever or innovatively suspenseful as it would have us believe .	1	-1	 this[0] michael[0] douglas[0] vehicle[0] from[0] the[0] director[0] of[0] seven[0] isn't[0] nearly[0] as[0] clever[0] or[0] innovatively[0] suspenseful[0] as[0] it[0] would[0] have[0] us[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film draws us in with an intriguing concept ( aided no doubt by the riveting trailer ) where a jaded millionaire ( douglas ) is presented with the opportunity to enter into a living fantasy . 	the film draws us in with an intriguing concept ( aided no doubt by the riveting trailer ) where a jaded millionaire ( douglas ) is presented with the opportunity to enter into a living fantasy .	1	-3	 the[0] film[0] draws[0] us[0] in[0] with[0] an[0] intriguing[0] concept[0] aided[0] no[0] doubt[-1] by[0] the[0] riveting[0] trailer[0] where[0] a[0] jaded[-2] millionaire[0] douglas[0] is[0] presented[0] with[0] the[0] opportunity[0] to[0] enter[0] into[0] a[0] living[0] fantasy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this isn't simply virtual reality . 	this isn't simply virtual reality .	1	-1	 this[0] isn't[0] simply[0] virtual[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is real life with a deadly twist . 	this is real life with a deadly twist .	1	-2	 this[0] is[0] real[0] life[0] with[0] a[0] deadly[-1] twist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on his 48th birthday , nicholas van orton ( douglas ) is invited to dinner by his underachieving younger brother , conrad ( sean penn ) . 	on his 48th birthday , nicholas van orton ( douglas ) is invited to dinner by his underachieving younger brother , conrad ( sean pen ) .	1	-1	 on[0] his[0] 48th[0] birthday[0] nicholas[0] van[0] orton[0] douglas[0] is[0] invited[0] to[0] dinner[0] by[0] his[0] underachieving[0] younger[0] brother[0] conrad[0] sean[0] penn/pen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conrad has a special birthday present for his brother . 	conrad has a special birthday present for his brother .	2	-1	 conrad[0] has[0] a[0] special[1] birthday[0] present[0] for[0] his[0] brother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he hands nicholas a gift certificate and tells him to contact a company called consumer recreation services . 	he hands nicholas a gift certificate and tells him to contact a company called consumer recreation services .	1	-1	 he[0] hands[0] nicholas[0] a[0] gift[0] certificate[0] and[0] tells[0] him[0] to[0] contact[0] a[0] company[0] called[0] consumer[0] recreation[0] services[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " they make your life fun , " conrad tells him . 	 " they make your life fun , " conrad tells him .	2	-1	 they[0] make[0] your[0] life[0] fun[1] conrad[0] tells[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nicholas humors his brother , telling him he'll call , but it's clear he has no time for any foolish , " fantasy role-playing , " as he calls it . 	nicholas humors his brother , telling him he'll call , but it's clear he has no time for any foolish , " fantasy role-playing , " as he calls it .	3	-2	 nicholas[0] humors[2] his[0] brother[0] telling[0] him[0] he'll[0] call[0] but[0] it's[0] clear[0] he[0] has[0] no[0] time[0] for[0] any[0] foolish[-1] fantasy[0] role[0] playing[1] as[0] he[0] calls[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
then , for reasons that are never really made clear , nicholas decides to go to crs and see what they're all about . 	then , for reasons that are never really made clear , nicholas decides to go to crs and see what they're all about .	1	-1	 then[0] for[0] reasons[0] that[0] are[0] never[0] really[0] made[0] clear[0] nicholas[0] decides[0] to[0] go[0] to[0] crs[0] and[0] see[0] what[0] they're[0] all[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
