at the end of an action scene in " lara croft : tomb raider , " a wall collapses near the nubile warrior . 	Translation	Positive	Negative	EmotionRationale
with her face on the floor , she gazes into the rubble , then grins abruptly and says " oh , my car keys ! " 	with her face on the floor , she gazes into the rubble , then grins abruptly and says " oh , my car keys !<br> "	2	-1	 with[0] her[0] face[0] on[0] the[0] floor[0] she[0] gazes[0] into[0] the[0] rubble[0] then[0] grins[1] abruptly[0] and[0] says[0] oh[0] my[0] car[0] keys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i mention this scene because it was the only moment in the whole damned production that made me smile . 	i mention this scene because it was the only moment in the whole damned production that made me smile .	3	-2	 i[0] mention[0] this[0] scene[0] because[0] it[0] was[0] the[0] only[0] moment[0] in[0] the[0] whole[0] damned[-1] production[0] that[0] made[0] me[0] smile[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
based on an incredibly popular video game , " lara croft : tomb raider " is a lousy movie . 	based on an incredibly popular video game , " lara croft : tomb raider " is a lousy movie .	1	-3	 based[0] on[0] an[0] incredibly[0] popular[0] video[0] game[0] lara[0] croft[0] tomb[0] raider[0] is[0] a[0] lousy[-2] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the structure goes like this : poorly-staged action sequence , boring exposition , poorly-staged action sequence , boring exposition , etc . etc . , the end . 	the structure goes like this : poorly-staged action sequence , boring exposition , poorly-staged action sequence , boring exposition , etc .<br> etc .<br> , the end .	2	-2	 the[0] structure[0] goes[0] like[1] this[0] poorly[-1] staged[0] action[0] sequence[0] boring[-1] exposition[0] poorly[-1] staged[0] action[0] sequence[0] boring[-1] exposition[0] etc[0] [[Sentence=-2,2=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
basically , the film exists to showcase angelina jolie's puffy lips and enhanced tits . 	basically , the film exists to showcase angelina jolie's puffy lips and enhanced tits .	1	-1	 basically[0] the[0] film[0] exists[0] to[0] showcase[0] angelina[0] jolie's[0] puffy[0] lips[0] and[0] enhanced[0] tits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
close-ups are framed oh-so-carefully to include her million dollar bazooms . 	close-ups are framed oh-so-carefully to include her million dollar bazooms .	1	-1	 close[0] ups[0] are[0] framed[0] oh[0] so[0] carefully[0] to[0] include[0] her[0] million[0] dollar[0] bazooms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
running scenes highlight her bouncing breasts in vintage " baywatch " fashion . 	running scenes highlight her bouncing breasts in vintage " baywatch " fashion .	1	-1	 running[0] scenes[0] highlight[0] her[0] bouncing[0] breasts[0] in[0] vintage[0] baywatch[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's even include a shower scene that offers a brief side view of them . 	there's even include a shower scene that offers a brief side view of them .	1	-1	 there's[0] even[0] include[0] a[0] shower[0] scene[0] that[0] offers[0] a[0] brief[0] side[0] view[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the filmmakers are so inept they can't even flash the audience correctly . 	but the filmmakers are so inept they can't even flash the audience correctly .	1	-1	 but[0] the[0] filmmakers[0] are[0] so[0] inept[0] they[0] can't[0] even[0] flash[0] the[0] audience[0] correctly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one extended display of nudity is of - get ready for this - a guy . 	the one extended display of nudity is of - get ready for this - a guy .	1	-1	 the[0] one[0] extended[0] display[0] of[0] nudity[0] is[0] of[0] get[0] ready[0] for[0] this[0] a[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
