it was with a huge lack of something to do that i decided to watch this on good old upn on sunday afternoon , when the only good things on tv are the second-rate movies they show ( some are good : they showed " total recall " before this one ) . 	Translation	Positive	Negative	EmotionRationale
if you know me , i think seagal is probably the most boring action star to ever live . 	if you know me , i think seagal is probably the most boring action star to ever live .	1	-2	 if[0] you[0] know[0] me[0] i[0] think[0] seagal[0] is[0] probably[0] the[0] most[0] boring[-1] action[0] star[0] to[0] ever[0] live[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and this includes keanu reeves . 	and this includes keanu reeves .	1	-1	 and[0] this[0] includes[0] keanu[0] reeves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what do i hate about seagal ? 	what do i hate about seagal ?	1	-4	 what[0] do[0] i[0] hate[-3] about[0] seagal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i hate how he uses one facial expression for every single threatening and non-threatening situation ( the squint ) . 	i hate how he uses one facial expression for every single threatening and non-threatening situation ( the squint ) .	1	-4	 i[0] hate[-3] how[0] he[0] uses[0] one[0] facial[0] expression[0] for[0] every[0] single[0] threatening[-2] and[0] non[0] threatening[-2] situation[0] the[0] squint[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i hate those scenes in every movie where he goes around , bullying people up , saying stupid lines with a brooklyn accent more fake than burt reynold's hairpiece in " boogie nights . " 	i hate those scenes in every movie where he goes around , bullying people up , saying stupid lines with a brooklyn accent more fake than burt reynold's hairpiece in " boogie nights .<br> "	1	-4	 i[0] hate[-3] those[0] scenes[0] in[0] every[0] movie[0] where[0] he[0] goes[0] around[0] bullying[0] people[0] up[0] saying[0] stupid[-1] lines[0] with[0] a[0] brooklyn[0] accent[0] more[0] fake[-1] than[0] burt[0] reynold's[0] hairpiece[0] in[0] boogie[0] nights[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i despise how he never gets a bruise in any of his fights . 	i despise how he never gets a bruise in any of his fights .	1	-4	 i[0] despise[-3] how[0] he[0] never[0] gets[0] a[0] bruise[-1] in[0] any[0] of[0] his[0] fights[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i hate how every single plot twist leads to just a melodramatic fight between he and the chief villain . 	i hate how every single plot twist leads to just a melodramatic fight between he and the chief villain .	1	-4	 i[0] hate[-3] how[0] every[0] single[0] plot[0] twist[0] leads[0] to[0] just[0] a[0] melodramatic[-1] fight[-2] between[0] he[0] and[0] the[0] chief[0] villain[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i hate his non-satirical messages ( in the beginning of this one , he slaps on a quote from arthur miller , which has nothing to do with the film , except it's about brooklyn where this film takes place ) . 	i hate his non-satirical messages ( in the beginning of this one , he slaps on a quote from arthur miller , which has nothing to do with the film , except it's about brooklyn where this film takes place ) .	1	-4	 i[0] hate[-3] his[0] non[0] satirical[0] messages[0] in[0] the[0] beginning[0] of[0] this[0] one[0] he[0] slaps[-1] on[0] a[0] quote[0] from[0] arthur[0] miller[0] which[0] has[0] nothing[0] to[0] do[0] with[0] the[0] film[0] except[0] it's[0] about[0] brooklyn[0] where[0] this[0] film[0] takes[0] place[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and i hate how he's so narcissistic that he thinks that he can actually fucking sing ( during the end credits , he has a good old hill billy rock tune sung and penned by him ) . 	and i hate how he's so narcissistic that he thinks that he can actually fucking sing ( during the end credits , he has a good old hill billy rock tune sung and penned by him ) .	2	-4	 and[0] i[0] hate[-3] how[0] he's[0] so[0] narcissistic[0] that[0] he[0] thinks[0] that[0] he[0] can[0] actually[0] fucking[0] sing[0] during[0] the[0] end[0] credits[0] he[0] has[0] a[0] good[1] old[0] hill[0] billy[0] rock[1] tune[0] sung[0] and[0] penned[0] by[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sure , the guy's probably a nice guy in person ( i actually found him very non-threatening when he was on letterman not too long ago ) . 	sure , the guy's probably a nice guy in person ( i actually found him very non-threatening when he was on letterman not too long ago ) .	2	-3	 sure[0] the[0] guy's[0] probably[0] a[0] nice[1] guy[0] in[0] person[0] i[0] actually[0] found[0] him[0] very[0] non[0] threatening[-2] when[0] he[0] was[0] on[0] letterman[0] not[0] too[0] long[0] ago[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
