so what do you get when you mix together plot elements from various successful sci-fi films such as close encounters of the third kind , 2001 : a space odyssey , apollo 13 and contact ? 	Translation	Positive	Negative	EmotionRationale
well , whatever it is , you'd sure as hell hope that it would be a thousand times better than this shoddy attempt at such a melange , considering the disastrous results we're left with here . 	well , whatever it is , you'd sure as hell hope that it would be a thousand times better than this shoddy attempt at such a melange , considering the disastrous results we're left with here .	3	-4	 well[0] whatever[0] it[0] is[0] you'd[0] sure[0] as[0] hell[-1] hope[2] that[0] it[0] would[0] be[0] a[0] thousand[0] times[0] better[0] than[0] this[0] shoddy[-1] attempt[0] at[0] such[0] a[0] melange[0] considering[0] the[0] disastrous[-3] results[0] we're[0] left[0] with[0] here[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is a film that takes a little bit of everything , but ultimately adds up to a lot of nothing ! 	this is a film that takes a little bit of everything , but ultimately adds up to a lot of nothing !	1	-1	 this[0] is[0] a[0] film[0] that[0] takes[0] a[0] little[0] bit[0] of[0] everything[0] but[0] ultimately[0] adds[0] up[0] to[0] a[0] lot[0] of[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's like i said . . . this 	it's like i said .<br> .<br> .<br> this	2	-1	 it's[0] like[1] i[0] said[0] [[Sentence=-1,2=word max, 1-5]] this[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
movie sucks . 	movie sucks .	1	-2	 movie[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : a rescue crew of astronauts is sent down to mars in the year 2020 , after an unknown energy force leads to a loss of contact with the previous gang of space aviators to visit the red planet . 	plot : a rescue crew of astronauts is sent down to mars in the year 2020 , after an unknown energy force leads to a loss of contact with the previous gang of space aviators to visit the red planet .	1	-3	 plot[0] a[0] rescue[0] crew[0] of[0] astronauts[0] is[0] sent[0] down[0] to[0] mars[0] in[0] the[0] year[0] 2020[0] after[0] an[0] unknown[0] energy[0] force[-1] leads[0] to[0] a[0] loss[-2] of[0] contact[0] with[0] the[0] previous[0] gang[0] of[0] space[0] aviators[0] to[0] visit[0] the[0] red[0] planet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : extremely underwhelming is the best way to describe this movie . 	critique : extremely underwhelming is the best way to describe this movie .	2	-1	 critique[0] extremely[0] underwhelming[0] is[0] the[0] best[1] way[0] to[0] describe[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
uneven , would be another . 	uneven , would be another .	1	-2	 uneven[-1] would[0] be[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the trailer for this movie actually showed some promise , the buzz around it had been so-so , and even the film itself starts off with a decent first twenty minutes , all leading you to believe that it's actually going to go " somewhere " . 	the trailer for this movie actually showed some promise , the buz around it had been so-so , and even the film itself starts off with a decent first twenty minutes , all leading you to believe that it's actually going to go " somewhere " .	1	-1	 the[0] trailer[0] for[0] this[0] movie[0] actually[0] showed[0] some[0] promise[1][-1 LastWordBoosterStrength] the[0] buzz/buz[0] around[0] it[0] had[0] been[0] so[0] so[0] and[0] even[0] the[0] film[0] itself[0] starts[0] off[0] with[0] a[0] decent[0] first[0] twenty[0] minutes[0] all[0] leading[0] you[0] to[0] believe[0] that[0] it's[0] actually[0] going[0] to[0] go[0] somewhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it isn't long before the entire movie downshifts into neutral , features more space walks than anything interesting on the cherry-colored planet , tries too hard to get us into the " pain " of some its characters and unsuccessfully tosses some romance into the mix . 	but it isn't long before the entire movie downshifts into neutral , features more space walks than anything interesting on the cherry-colored planet , tries too hard to get us into the " pain " of some its characters and unsuccessfully tosses some romance into the mix .	3	-4	 but[0] it[0] isn't[0] long[0] before[0] the[0] entire[0] movie[0] downshifts[0] into[0] neutral[0] features[0] more[0] space[0] walks[0] than[0] anything[0] interesting[1] on[0] the[0] cherry[0] colored[0] planet[0] tries[0] too[0] hard[0] to[0] get[0] us[0] into[0] the[0] pain[-3] of[0] some[0] its[0] characters[0] and[0] unsuccessfully[-2] tosses[0] some[0] romance[3][-1 LastWordBoosterStrength] into[0] the[0] mix[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in a sci-fi movie ? 	in a sci-fi movie ?	1	-1	 in[0] a[0] sci[0] fi[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i don't know , much of it just seemed like a bunch of nerdies talking techie jargon for about an hour and a half , only to figure out some big secret in the end , a secret which practically had me yawning with excitement . 	well , i don't know , much of it just seemed like a bunch of nerdies talking techie jargon for about an hour and a half , only to figure out some big secret in the end , a secret which practically had me yawning with excitement .	3	-3	 well[0] i[0] don't[0] know[0] much[0] of[0] it[0] just[0] seemed[0] like[1] a[0] bunch[0] of[0] nerdies[-2] talking[0] techie[0] jargon[0] for[0] about[0] an[0] hour[0] and[0] a[0] half[0] only[0] to[0] figure[0] out[0] some[0] big[0] secret[0] in[0] the[0] end[0] a[0] secret[0] which[0] practically[0] had[0] me[0] yawning[0] with[0] excitement[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ultimately , this is a movie that starts off with a decent premise , joins the crew in their " misadventures in space " for the main crux of its journey , and eventually settles down for one of the most anti-climactic endings this side of contact . 	ultimately , this is a movie that starts off with a decent premise , joins the crew in their " misadventures in space " for the main crux of its journey , and eventually settles down for one of the most anti-climactic endings this side of contact .	1	-1	 ultimately[0] this[0] is[0] a[0] movie[0] that[0] starts[0] off[0] with[0] a[0] decent[0] premise[0] joins[0] the[0] crew[0] in[0] their[0] misadventures[0] in[0] space[0] for[0] the[0] main[0] crux[0] of[0] its[0] journey[0] and[0] eventually[0] settles[0] down[0] for[0] one[0] of[0] the[0] most[0] anti[0] climactic[0] endings[0] this[0] side[0] of[0] contact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
