for better or worse , the appearance of basic instinct in the movie marketplace gave the greenlight to a whole slew of overheated , oversexed , underwritten thrillers . 	Translation	Positive	Negative	EmotionRationale
apparently not having joe eszterhas as the writer doesn't change a thing , since body of evidence wasn't written by him , but has a puzzling eszterhas-ish presence all over it . 	apparently not having joe eszterhas as the writer doesn't change a thing , since body of evidence wasn't written by him , but has a puzling eszterhas-ish presence all over it .	1	-1	 apparently[0] not[0] having[0] joe[0] eszterhas[0] as[0] the[0] writer[0] doesn't[0] change[0] a[0] thing[0] since[0] body[0] of[0] evidence[0] wasn't[0] written[0] by[0] him[0] but[0] has[0] a[0] puzzling/puzling[0] eszterhas[0] ish[0] presence[0] all[0] over[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words , it's a ) really dirty and b ) really , really stupid . 	in other words , it's a ) really dirty and b ) really , really stupid .	1	-3	 in[0] other[0] words[0] it's[0] a[0] really[0] dirty[-1][-1 LastWordBoosterStrength] and[0] b[0] really[0] really[0] stupid[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
madonna ( first warning sign ) stars in body of evidence as a woman who has piles of money and no apparent job ; she lives on a houseboat and likes to parade around semi-naked , presumably for the edification of the shrimp . 	madonna ( first warning sign ) stars in body of evidence as a woman who has piles of money and no apparent job ; she lives on a houseboat and likes to parade around semi-naked , presumably for the edification of the shrimp .	3	-1	 madonna[0] first[0] warning[0] sign[0] stars[0] in[0] body[0] of[0] evidence[0] as[0] a[0] woman[0] who[0] has[0] piles[0] of[0] money[0] and[0] no[0] apparent[0] job[0] she[0] lives[0] on[0] a[0] houseboat[0] and[0] likes[2] to[0] parade[0] around[0] semi[0] naked[0] presumably[0] for[0] the[0] edification[0] of[0] the[0] shrimp[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she's been accused of having murdered an older man who was her lover . 	she's been accused of having murdered an older man who was her lover .	4	-4	 she's[0] been[0] accused[-1] of[0] having[0] murdered[-3] an[0] older[0] man[0] who[0] was[0] her[0] lover[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
already two classic examples of hollywood sexism are in effect -- the first being that any woman in a movie cannot be sexual unless she's under thirty ( or at least looks it ) , and that they usually only exist for the sake of studs or filthy rich older men . 	already two classic examples of hollywood sexism are in effect - the first being that any woman in a movie cannot be sexual unless she's under thirty ( or at least looks it ) , and that they usually only exist for the sake of studs or filthy rich older men .	1	-2	 already[0] two[0] classic[0] examples[0] of[0] hollywood[0] sexism[0] are[0] in[0] effect[0] the[0] first[0] being[0] that[0] any[0] woman[0] in[0] a[0] movie[0] cannot[0] be[0] sexual[0] unless[0] she's[0] under[0] thirty[0] or[0] at[0] least[0] looks[0] it[0] and[0] that[0] they[0] usually[0] only[0] exist[0] for[0] the[0] sake[0] of[0] studs[0] or[0] filthy[-1] rich[0] older[0] men[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's worse is that the movie confirms all the above , and wallows in them as well . 	what's worse is that the movie confirms all the above , and wallows in them as well .	1	-3	 what's[0] worse[-2] is[0] that[0] the[0] movie[0] confirms[0] all[0] the[0] above[0] and[0] wallows[-1] in[0] them[0] as[0] well[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
madonna's character is accused of forcing sex on the old goat when she knew darned well he had a heart condition . 	madonna's character is accused of forcing sex on the old goat when she knew darned well he had a heart condition .	1	-2	 madonna's[0] character[0] is[0] accused[-1] of[0] forcing[0] sex[0] on[0] the[0] old[0] goat[0] when[0] she[0] knew[0] darned[0] well[0] he[0] had[0] a[0] heart[0] condition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( and yes , there are the obligatory cracks from the cops about how at least he died happy . 	 ( and yes , there are the obligatory cracks from the cops about how at least he died happy .	2	-1	 and[0] yes[0] there[0] are[0] the[0] obligatory[0] cracks[0] from[0] the[0] cops[0] about[0] how[0] at[0] least[0] he[0] died[0] happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie leave no scummy stone unturned . ) 	this movie leave no scummy stone unturned .<br> )	1	-2	 this[0] movie[0] leave[0] no[0] scummy[-1] stone[0] unturned[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway . willem dafoe ( very good but completely wasted ) also stars as the lawyer who is doomed to run afoul of madonna's sexuality . 	anyway .<br> willem dafoe ( very good but completely wasted ) also stars as the lawyer who is doomed to run afoul of madonna's sexuality .	3	-3	 anyway[0] [[Sentence=-1,1=word max, 1-5]] willem[0] dafoe[0] very[0] good[1][1 LastWordBoosterStrength] but[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] also[0] stars[0] as[0] the[0] lawyer[0] who[0] is[0] doomed[-1] to[0] run[0] afoul[0] of[0] madonna's[0] sexuality[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
how do we know this ? 	how do we know this ?	1	-1	 how[0] do[0] we[0] know[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because his character is set up with the token wife and kids . 	because his character is set up with the token wife and kids .	1	-1	 because[0] his[0] character[0] is[0] set[0] up[0] with[0] the[0] token[0] wife[0] and[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
